This file was created by using the 202605 CRSP database.  It,,
contains a momentum factor, constructed from six value-weight portfolios formed,
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
MOM is the average of the returns on two (big and small) high prior return portfolios,,
minus the average of the returns on two low prior return portfolios.  The portfolios,,
are constructed daily.  Big means a firm is above the median market cap on the NYSE,,
at the end of the previous day; small firms are below the median NYSE market cap.,,
Prior return is measured from day - 250 to - 21.  Firms in the low prior return,,
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above,,
the 70th NYSE percentile.,,
,,
Missing data are indicated by -99.99 or -999.,,
,,
,Mom,
19460202,0.07,
19460204,-0.34,
19460205,0.24,
19460206,-0.63,
19460207,-0.07,
19460208,-0.3,
19460209,-0.72,
19460211,-0.26,
19460213,-0.62,
19460214,1.27,
19460215,1.54,
19460216,-0.02,
19460218,-1.21,
19460219,-1.75,
19460220,-0.18,
19460221,1.49,
19460225,-3.13,
19460226,0.33,
19460227,1.53,
19460228,0.19,
19460301,-0.03,
19460302,-0.94,
19460304,0.35,
19460305,0.19,
19460306,-0.53,
19460307,0.68,
19460308,-0.05,
19460309,0.26,
19460311,-0.4,
19460312,0.32,
19460313,-1.63,
19460314,0.01,
19460315,1.09,
19460316,0.41,
19460318,0.14,
19460319,-0.09,
19460320,0.37,
19460321,0.82,
19460322,0.22,
19460323,0.08,
19460325,0.09,
19460326,-0.41,
19460327,-0.34,
19460328,-0.02,
19460329,0.46,
19460330,0.17,
19460401,-0.17,
19460402,0.06,
19460403,0.79,
19460404,0.63,
19460405,0.69,
19460406,0.24,
19460408,-0.03,
19460409,0.16,
19460410,-0.42,
19460411,-0.28,
19460412,0.15,
19460413,-0.01,
19460415,-0.12,
19460416,0.45,
19460417,-0.07,
19460418,0.44,
19460420,0.01,
19460422,-0.13,
19460423,0.14,
19460424,0.14,
19460425,0.32,
19460426,0.53,
19460427,0.22,
19460429,0.29,
19460430,-0.28,
19460501,-0.01,
19460502,-0.16,
19460503,-0.18,
19460504,-0.39,
19460506,-0.17,
19460507,0.87,
19460508,0.88,
19460509,0.89,
19460510,0.61,
19460511,0.02,
19460513,0,
19460514,-0.49,
19460515,0.03,
19460516,-0.04,
19460517,-0.19,
19460518,0,
19460520,0.15,
19460521,-0.12,
19460522,0.1,
19460523,-0.15,
19460524,-0.3,
19460527,-0.16,
19460528,-0.73,
19460529,-0.79,
19460531,-0.35,
19460603,0.03,
19460604,-0.19,
19460605,-0.47,
19460606,-0.09,
19460607,0.11,
19460610,0.01,
19460611,-0.34,
19460612,-0.57,
19460613,-0.33,
19460614,0.13,
19460617,-0.35,
19460618,-0.84,
19460619,-0.32,
19460620,-0.76,
19460621,0.25,
19460624,0.31,
19460625,-0.1,
19460626,-0.39,
19460627,0.98,
19460628,0.31,
19460701,0.56,
19460702,-0.24,
19460703,-0.17,
19460705,-0.08,
19460708,-0.04,
19460709,0.24,
19460710,0.68,
19460711,-0.17,
19460712,-0.49,
19460715,-0.79,
19460716,-0.35,
19460717,0.14,
19460718,0.35,
19460719,0.04,
19460722,-0.59,
19460723,-1.46,
19460724,0.32,
19460725,0.56,
19460726,0.41,
19460729,0.61,
19460730,0.31,
19460731,0.16,
19460801,0.33,
19460802,-0.03,
19460805,-0.07,
19460806,-0.32,
19460807,0.45,
19460808,0.29,
19460809,0.2,
19460812,0.15,
19460813,-0.06,
19460814,0.01,
19460815,-0.07,
19460816,0,
19460819,-0.2,
19460820,0.34,
19460821,0.05,
19460822,-0.35,
19460823,0.1,
19460826,-0.39,
19460827,-0.78,
19460828,0.36,
19460829,0.45,
19460830,0.08,
19460903,-0.67,
19460904,0.13,
19460905,0.12,
19460906,-0.16,
19460909,-1.07,
19460910,0.06,
19460911,0.69,
19460912,0.63,
19460913,0.42,
19460916,0.44,
19460917,0.12,
19460918,-0.79,
19460919,-0.15,
19460920,0.64,
19460923,0.57,
19460924,0.3,
19460925,0.5,
19460926,-0.35,
19460927,0.8,
19460930,0.17,
19461001,0.35,
19461002,0.18,
19461003,0.34,
19461004,0.5,
19461005,0.18,
19461007,0.23,
19461008,0.61,
19461009,0.27,
19461010,-0.7,
19461011,-0.34,
19461014,0.18,
19461015,-1.9,
19461016,0.28,
19461017,0.79,
19461018,0.28,
19461019,0.35,
19461021,0.16,
19461022,0.88,
19461023,0.18,
19461024,-0.67,
19461025,0.28,
19461026,0.06,
19461028,0.39,
19461029,0.04,
19461030,-0.71,
19461031,-2.51,
19461101,-1.41,
19461102,-0.65,
19461104,-0.36,
19461106,3.23,
19461107,-0.56,
19461108,-0.02,
19461109,-1.27,
19461112,0.82,
19461113,0.37,
19461114,-0.39,
19461115,0.61,
19461116,0.02,
19461118,0.68,
19461119,-0.04,
19461120,0.96,
19461121,1.19,
19461122,-0.23,
19461123,-1.59,
19461125,1.44,
19461126,-0.68,
19461127,-0.5,
19461129,-0.51,
19461130,0.42,
19461202,1.17,
19461203,-0.42,
19461204,-1.03,
19461205,1.04,
19461206,-0.03,
19461207,-1.01,
19461209,-2.87,
19461210,0.34,
19461211,0.44,
19461212,1.13,
19461213,0.49,
19461214,-0.51,
19461216,0.7,
19461217,0.48,
19461218,-0.43,
19461219,-1.25,
19461220,-1.06,
19461221,-0.12,
19461223,1.16,
19461224,0.33,
19461226,1.05,
19461227,0.88,
19461228,-0.33,
19461230,1.12,
19461231,-0.21,
19470102,0.25,
19470103,-1.8,
19470104,-0.27,
19470106,-0.98,
19470107,1.07,
19470108,-0.66,
19470109,-0.05,
19470110,0.98,
19470111,0.29,
19470113,0.59,
19470114,-0.52,
19470115,0.29,
19470116,-0.42,
19470117,-1.69,
19470118,-0.2,
19470120,0.75,
19470121,0.23,
19470122,-0.42,
19470123,-1.11,
19470124,-0.05,
19470125,0.13,
19470127,-1.26,
19470128,-0.49,
19470129,-1.03,
19470130,0.14,
19470131,-0.38,
19470201,-0.95,
19470203,-0.25,
19470204,-0.28,
19470205,-0.54,
19470206,-0.03,
19470207,-1.94,
19470208,-0.42,
19470210,1.2,
19470211,-1.05,
19470213,1.37,
19470214,0.05,
19470215,-0.28,
19470217,-0.09,
19470218,0.4,
19470219,0.32,
19470220,-0.26,
19470221,-0.36,
19470224,1.06,
19470225,1.25,
19470226,0.56,
19470227,-1,
19470228,0.26,
19470301,0.38,
19470303,0.58,
19470304,-0.36,
19470305,-1.09,
19470306,0.42,
19470307,1.44,
19470308,0.17,
19470310,0.31,
19470311,0.48,
19470312,-0.85,
19470313,0.55,
19470314,0.51,
19470315,-0.06,
19470317,-0.13,
19470318,-0.25,
19470319,-0.04,
19470320,0.33,
19470321,-0.34,
19470322,-0.17,
19470324,0.5,
19470325,0.62,
19470326,-0.6,
19470327,-0.85,
19470328,0.23,
19470329,0.15,
19470331,0.81,
19470401,-0.18,
19470402,-0.03,
19470403,0.26,
19470405,0.26,
19470407,0.76,
19470408,0.8,
19470409,0.18,
19470410,-0.42,
19470411,0.47,
19470412,0.72,
19470414,2.32,
19470415,-0.28,
19470416,-0.96,
19470417,0.24,
19470418,1.58,
19470419,-1.02,
19470421,-0.61,
19470422,-0.38,
19470423,0.47,
19470424,0.86,
19470425,0.62,
19470426,0.03,
19470428,0.38,
19470429,0.2,
19470430,-0.49,
19470501,-0.44,
19470502,0.06,
19470503,0.09,
19470505,0.55,
19470506,1.14,
19470507,0.34,
19470508,0.57,
19470509,0.25,
19470510,-0.02,
19470512,1.08,
19470513,1.59,
19470514,0.79,
19470515,-0.47,
19470516,2.07,
19470517,1.15,
19470519,-0.58,
19470520,-1.1,
19470521,-1.08,
19470522,-0.83,
19470523,-0.38,
19470524,-0.15,
19470526,0.97,
19470527,0.34,
19470528,-1.38,
19470529,-0.57,
19470602,1.18,
19470603,-0.57,
19470604,0.94,
19470605,0.68,
19470606,-0.4,
19470609,0.74,
19470610,-0.46,
19470611,-2.83,
19470612,0.32,
19470613,-0.98,
19470616,0.44,
19470617,0.2,
19470618,-0.23,
19470619,-0.43,
19470620,-1.23,
19470623,-0.77,
19470624,1.86,
19470625,-0.48,
19470626,0.16,
19470627,0.34,
19470630,0.55,
19470701,-1.42,
19470702,-0.67,
19470703,-1.66,
19470707,-0.7,
19470708,-0.96,
19470709,0.33,
19470710,-0.68,
19470711,-1.18,
19470714,-1.27,
19470715,0.13,
19470716,0.24,
19470717,0.84,
19470718,0.68,
19470721,0.39,
19470722,0.41,
19470723,0.1,
19470724,0.09,
19470725,0.04,
19470728,0.74,
19470729,0.91,
19470730,0.94,
19470731,-0.56,
19470801,0.53,
19470804,0.55,
19470805,0.17,
19470806,0.16,
19470807,0.35,
19470808,-0.09,
19470811,0.07,
19470812,-0.29,
19470813,0.03,
19470814,0.1,
19470815,-0.02,
19470818,0.25,
19470819,0.27,
19470820,0.01,
19470821,-0.02,
19470822,0.13,
19470825,-0.24,
19470826,-0.11,
19470827,-0.22,
19470828,-0.36,
19470829,-0.01,
19470902,0.16,
19470903,0.05,
19470904,0,
19470905,-0.19,
19470908,0.21,
19470909,-0.12,
19470910,-0.42,
19470911,0.1,
19470912,0.49,
19470915,0.06,
19470916,0.1,
19470917,-0.15,
19470918,0.03,
19470919,-0.02,
19470922,0.21,
19470923,-0.03,
19470924,-0.11,
19470925,0.47,
19470926,0.16,
19470929,-0.02,
19470930,-0.26,
19471001,-0.15,
19471002,0.29,
19471003,-0.31,
19471004,-0.4,
19471006,0.24,
19471007,0.08,
19471008,0.12,
19471009,0.07,
19471010,-0.17,
19471011,-0.34,
19471014,-0.16,
19471015,-0.71,
19471016,-0.01,
19471017,0.47,
19471018,0.35,
19471020,-0.29,
19471021,0.09,
19471022,0.2,
19471023,-0.11,
19471024,0.33,
19471025,0.12,
19471027,0.16,
19471028,0.66,
19471029,0.18,
19471030,0.05,
19471031,0.47,
19471101,0.17,
19471103,0.08,
19471105,0.41,
19471106,0.39,
19471107,0.33,
19471108,-0.04,
19471110,0.08,
19471112,0.52,
19471113,0.13,
19471114,0.18,
19471115,0.03,
19471117,0.29,
19471118,0.29,
19471119,0.2,
19471120,0.46,
19471121,-0.09,
19471122,-0.24,
19471124,0.28,
19471125,0.38,
19471126,0.14,
19471128,0.2,
19471129,-0.47,
19471201,0.38,
19471202,0.23,
19471203,0,
19471204,0.41,
19471205,-0.28,
19471206,-0.18,
19471208,0.56,
19471209,0.36,
19471210,-0.01,
19471211,0.24,
19471212,0.15,
19471213,-0.67,
19471215,-0.09,
19471216,0.16,
19471217,-0.2,
19471218,0.02,
19471219,-0.23,
19471220,-0.22,
19471222,0.62,
19471223,0.66,
19471224,0.08,
19471226,0.76,
19471227,-0.16,
19471229,0.99,
19471230,-0.48,
19471231,-0.01,
19480102,-2.27,
19480105,-0.75,
19480106,-0.41,
19480107,-0.42,
19480108,-0.64,
19480109,0.36,
19480110,0.1,
19480112,-0.02,
19480113,0.02,
19480114,-0.45,
19480115,-0.14,
19480116,-0.53,
19480117,-0.17,
19480119,-0.18,
19480120,-0.07,
19480121,-0.26,
19480122,-0.43,
19480123,0.02,
19480124,-0.26,
19480126,-0.13,
19480127,-0.05,
19480128,0.07,
19480129,0.7,
19480130,0.45,
19480131,-0.1,
19480202,0.1,
19480203,0.02,
19480204,0.06,
19480205,-0.36,
19480206,0.08,
19480207,-0.13,
19480209,-0.05,
19480210,-0.72,
19480211,-0.12,
19480213,-0.05,
19480214,-0.1,
19480216,0.54,
19480217,0.29,
19480218,0.21,
19480219,0.41,
19480220,0.21,
19480221,0.04,
19480224,0.29,
19480225,0.26,
19480226,0.21,
19480227,0,
19480228,-0.01,
19480301,-0.02,
19480302,0.75,
19480303,0.05,
19480304,-0.1,
19480305,-0.4,
19480306,-0.25,
19480308,0.25,
19480309,-0.15,
19480310,0.11,
19480311,-0.2,
19480312,0.05,
19480313,0.11,
19480315,0.33,
19480316,-0.37,
19480317,0.26,
19480318,0.1,
19480319,0.03,
19480320,-0.27,
19480322,-1.04,
19480323,0.09,
19480324,0.51,
19480325,0.17,
19480327,0,
19480329,0.33,
19480330,-0.03,
19480331,-0.18,
19480401,-0.04,
19480402,-0.03,
19480403,0.31,
19480405,-0.07,
19480406,0.37,
19480407,0.08,
19480408,0.56,
19480409,0.21,
19480410,0.15,
19480412,-0.24,
19480413,-0.03,
19480414,0.22,
19480415,1.06,
19480416,0.15,
19480417,-0.13,
19480419,0.72,
19480420,-0.36,
19480421,0.86,
19480422,0.37,
19480423,0.04,
19480424,-0.13,
19480426,-0.88,
19480427,0.39,
19480428,0.22,
19480429,0.16,
19480430,0,
19480501,-0.17,
19480503,0.88,
19480504,0.64,
19480505,-0.64,
19480506,0.44,
19480507,0.24,
19480508,-0.18,
19480510,0.39,
19480511,-0.09,
19480512,-0.08,
19480513,-0.5,
19480514,-0.13,
19480515,-1.04,
19480517,-0.31,
19480518,-0.53,
19480519,0.23,
19480520,0.83,
19480521,-0.43,
19480522,0.25,
19480524,-0.23,
19480525,-0.15,
19480526,-0.04,
19480527,0.27,
19480528,0.55,
19480601,0.1,
19480602,0.41,
19480603,0.05,
19480604,-0.2,
19480607,-0.07,
19480608,1.31,
19480609,0.07,
19480610,0.63,
19480611,0.42,
19480614,0.46,
19480615,0.82,
19480616,0.34,
19480617,0.54,
19480618,-0.03,
19480621,-0.65,
19480622,0.71,
19480623,0.51,
19480624,-0.1,
19480625,-0.53,
19480628,-0.6,
19480629,0.43,
19480630,0.41,
19480701,0.05,
19480702,0.53,
19480706,0.24,
19480707,-0.14,
19480708,0.14,
19480709,0.5,
19480712,-0.05,
19480713,0.08,
19480714,0.28,
19480715,-1.41,
19480716,-0.81,
19480719,-2.35,
19480720,1.4,
19480721,0.35,
19480722,0.44,
19480723,0.32,
19480726,-0.47,
19480727,0.86,
19480728,0.08,
19480729,-0.47,
19480730,-0.66,
19480802,-0.32,
19480803,0.29,
19480804,1.29,
19480805,-0.16,
19480806,-0.08,
19480809,-0.51,
19480810,-0.34,
19480811,-0.69,
19480812,0.22,
19480813,-0.18,
19480816,0.08,
19480817,0.36,
19480818,-0.32,
19480819,0.08,
19480820,0.54,
19480823,-0.63,
19480824,0.26,
19480825,-0.09,
19480826,-0.2,
19480827,0.2,
19480830,0.22,
19480831,0.01,
19480901,0.43,
19480902,-0.07,
19480903,0.3,
19480907,-0.31,
19480908,-0.55,
19480909,-0.44,
19480910,0.19,
19480913,-0.38,
19480914,0.23,
19480915,0.06,
19480916,0.2,
19480917,-0.14,
19480920,-0.53,
19480921,0.44,
19480922,0.57,
19480923,-0.06,
19480924,0.38,
19480927,-1.36,
19480928,1.02,
19480929,0.51,
19480930,-0.09,
19481001,0.73,
19481002,-0.01,
19481004,0.15,
19481005,-0.02,
19481006,0.38,
19481007,0.05,
19481008,-0.07,
19481009,0.08,
19481011,-0.16,
19481013,0.52,
19481014,-0.11,
19481015,0.16,
19481016,0.19,
19481018,0.13,
19481019,0.25,
19481020,0.23,
19481021,0.34,
19481022,-0.1,
19481023,-0.37,
19481025,-0.21,
19481026,-0.24,
19481027,-0.01,
19481028,-0.33,
19481029,0.65,
19481030,0.14,
19481101,0.02,
19481103,-1.54,
19481104,0.4,
19481105,-1.41,
19481106,0.49,
19481108,0.4,
19481109,-1.43,
19481110,0.55,
19481112,0.55,
19481113,0.14,
19481115,0.21,
19481116,0.36,
19481117,0.18,
19481118,0.56,
19481119,0.15,
19481120,0.22,
19481122,0,
19481123,0.17,
19481124,-0.23,
19481126,-0.14,
19481127,0.08,
19481129,0.22,
19481130,0.06,
19481201,0.74,
19481202,0.08,
19481203,0.24,
19481204,0.16,
19481206,0.17,
19481207,0.26,
19481208,0.26,
19481209,0.13,
19481210,0.1,
19481211,0.02,
19481213,0.49,
19481214,-0.14,
19481215,0.1,
19481216,0.06,
19481217,0.07,
19481218,-0.12,
19481220,0.15,
19481221,0.18,
19481222,0.31,
19481223,-0.22,
19481224,-0.19,
19481227,0.52,
19481228,0.24,
19481229,0.08,
19481230,0.16,
19481231,-0.09,
19490103,-1.98,
19490104,-0.54,
19490105,-0.15,
19490106,-0.36,
19490107,-0.83,
19490108,-0.38,
19490110,-0.33,
19490111,-0.11,
19490112,-0.02,
19490113,-0.06,
19490114,0.13,
19490115,0.12,
19490117,0.47,
19490118,-0.51,
19490119,-0.08,
19490120,0.27,
19490121,-0.44,
19490122,-0.11,
19490124,0.04,
19490125,-0.15,
19490126,0,
19490127,-0.04,
19490128,0.13,
19490129,0.24,
19490131,0.1,
19490201,0.05,
19490202,0.15,
19490203,0.39,
19490204,-0.63,
19490205,-0.31,
19490207,-0.02,
19490208,-0.24,
19490209,-0.01,
19490210,-0.07,
19490211,0.36,
19490214,0.02,
19490215,-0.1,
19490216,-0.14,
19490217,0.21,
19490218,-0.21,
19490219,-0.05,
19490221,0.11,
19490223,0.28,
19490224,-0.04,
19490225,-0.09,
19490226,-0.4,
19490228,-0.19,
19490301,-0.05,
19490302,0.08,
19490303,0.11,
19490304,-0.25,
19490305,-0.64,
19490307,-0.33,
19490308,-0.12,
19490309,0.19,
19490310,0.15,
19490311,-0.49,
19490312,-0.56,
19490314,0.24,
19490315,0.42,
19490316,0.3,
19490317,-0.06,
19490318,0.6,
19490319,-0.45,
19490321,0.14,
19490322,1,
19490323,-0.73,
19490324,-0.46,
19490325,0.43,
19490326,-0.11,
19490328,-0.06,
19490329,-1.87,
19490330,-0.66,
19490331,0.38,
19490401,0.58,
19490402,-0.42,
19490404,-0.19,
19490405,0.15,
19490406,0.36,
19490407,0.47,
19490408,-0.39,
19490409,0.01,
19490411,0.03,
19490412,0.18,
19490413,0.58,
19490414,0.32,
19490416,-0.23,
19490418,0.43,
19490419,0.19,
19490420,0.25,
19490421,0.92,
19490422,-0.12,
19490423,-0.32,
19490425,0.26,
19490426,-0.03,
19490427,0.29,
19490428,0.61,
19490429,0.27,
19490430,-0.25,
19490502,0.43,
19490503,0.16,
19490504,-0.92,
19490505,-0.06,
19490506,0.6,
19490507,0.16,
19490509,0.34,
19490510,0.24,
19490511,-0.1,
19490512,0.18,
19490513,-0.45,
19490514,-0.79,
19490516,0.22,
19490517,0.44,
19490518,-0.05,
19490519,0.54,
19490520,0.16,
19490521,-0.1,
19490523,0.83,
19490524,0.55,
19490525,-0.55,
19490526,0.17,
19490527,0.19,
19490531,1.11,
19490601,-0.26,
19490602,-0.13,
19490603,0.28,
19490606,0.71,
19490607,-0.69,
19490608,-0.37,
19490609,-0.23,
19490610,0.6,
19490613,1.67,
19490614,-0.58,
19490615,-1.08,
19490616,-0.05,
19490617,0.03,
19490620,-0.94,
19490621,-0.04,
19490622,0.56,
19490623,-0.58,
19490624,0.11,
19490627,0.32,
19490628,0.72,
19490629,-0.09,
19490630,-0.21,
19490701,-0.94,
19490705,-0.06,
19490706,-0.54,
19490707,0.27,
19490708,0.07,
19490711,0.4,
19490712,-0.36,
19490713,-0.94,
19490714,-0.45,
19490715,0.29,
19490718,0.09,
19490719,-0.65,
19490720,-0.26,
19490721,0.29,
19490722,0.14,
19490725,-0.47,
19490726,-0.12,
19490727,-0.05,
19490728,0.59,
19490729,0.37,
19490801,0.36,
19490802,-0.17,
19490803,0.14,
19490804,0.17,
19490805,-0.43,
19490808,-1.02,
19490809,-0.45,
19490810,-0.77,
19490811,0.24,
19490812,0.33,
19490815,0.5,
19490816,0.34,
19490817,-0.46,
19490818,0.07,
19490819,0.44,
19490822,0.31,
19490823,0.29,
19490824,0.17,
19490825,0.13,
19490826,0.14,
19490829,0.64,
19490830,0.1,
19490831,0.08,
19490901,-0.56,
19490902,0.07,
19490906,0.57,
19490907,-0.24,
19490908,0.11,
19490909,0.38,
19490912,-0.8,
19490913,-1.7,
19490914,-0.24,
19490915,0.63,
19490916,-0.39,
19490919,0.37,
19490920,0.94,
19490921,-0.46,
19490922,-0.92,
19490923,0.22,
19490926,0.08,
19490927,0.55,
19490928,-0.66,
19490929,0.26,
19490930,0.12,
19491001,0.18,
19491003,-0.01,
19491004,-0.32,
19491005,-0.05,
19491006,-0.49,
19491007,-0.09,
19491008,-0.45,
19491010,0.01,
19491011,-0.67,
19491013,0.09,
19491014,0.4,
19491015,-0.01,
19491017,0.61,
19491018,-0.56,
19491019,-0.13,
19491020,0.61,
19491021,0.05,
19491022,0.04,
19491024,0.19,
19491025,-0.25,
19491026,-0.32,
19491027,-0.15,
19491028,0.83,
19491029,-0.01,
19491031,0.08,
19491101,0.02,
19491102,-0.17,
19491103,-0.09,
19491104,0.08,
19491105,-0.01,
19491107,0.03,
19491109,0.77,
19491110,0.31,
19491112,0.12,
19491114,0.27,
19491115,-0.03,
19491116,-0.14,
19491117,-0.01,
19491118,-0.52,
19491119,-0.32,
19491121,0.37,
19491122,-0.1,
19491123,-0.17,
19491125,0.21,
19491126,0.01,
19491128,0.28,
19491129,0.04,
19491130,0.14,
19491201,-0.47,
19491202,-0.46,
19491203,-0.71,
19491205,0.22,
19491206,0.22,
19491207,0.02,
19491208,-0.15,
19491209,0.52,
19491210,0.12,
19491212,0.03,
19491213,-0.55,
19491214,-0.64,
19491215,-0.03,
19491216,-0.21,
19491217,0.03,
19491219,0.12,
19491220,0.52,
19491221,0.48,
19491222,-0.03,
19491223,-0.04,
19491227,0.66,
19491228,-0.53,
19491229,-0.29,
19491230,-0.04,
19491231,-0.23,
19500103,-0.65,
19500104,-0.86,
19500105,-0.59,
19500106,-0.16,
19500107,-0.45,
19500109,-0.74,
19500110,-0.07,
19500111,-0.37,
19500112,0.16,
19500113,-0.43,
19500114,-0.13,
19500116,0.17,
19500117,0.33,
19500118,-0.11,
19500119,0.28,
19500120,0.43,
19500121,-0.01,
19500123,0.29,
19500124,0.13,
19500125,0.04,
19500126,0.14,
19500127,0.07,
19500128,0.12,
19500130,-0.42,
19500131,0.2,
19500201,0.18,
19500202,0.22,
19500203,-0.22,
19500204,0.15,
19500206,0.24,
19500207,0.25,
19500208,0.23,
19500209,0.07,
19500210,0.14,
19500211,0,
19500214,-0.03,
19500215,0.03,
19500216,0.1,
19500217,-0.46,
19500218,-0.26,
19500220,0.22,
19500221,0.43,
19500223,0.3,
19500224,-0.07,
19500225,-0.2,
19500227,-0.19,
19500228,0.03,
19500301,-0.22,
19500302,0.13,
19500303,0.15,
19500304,0.03,
19500306,-0.08,
19500307,-0.29,
19500308,-0.33,
19500309,0.47,
19500310,-0.27,
19500311,0.14,
19500313,0.04,
19500314,0.02,
19500315,0.23,
19500316,0.14,
19500317,0.29,
19500318,-0.05,
19500320,-0.13,
19500321,0.19,
19500322,0.23,
19500323,0.25,
19500324,-0.25,
19500325,0.44,
19500327,-0.07,
19500328,0.32,
19500329,-0.13,
19500330,0.12,
19500331,-0.01,
19500401,-0.07,
19500403,0.38,
19500404,0.16,
19500405,0.07,
19500406,0.19,
19500408,-0.12,
19500410,-0.13,
19500411,0.02,
19500412,0.09,
19500413,0.1,
19500414,0.42,
19500415,0.23,
19500417,0.12,
19500418,-0.57,
19500419,0.07,
19500420,-0.27,
19500421,0.21,
19500422,0.07,
19500424,0.01,
19500425,-0.01,
19500426,-0.13,
19500427,0.37,
19500428,0.43,
19500429,0.21,
19500501,0,
19500502,-0.3,
19500503,0.6,
19500504,-0.74,
19500505,0.04,
19500506,0.31,
19500508,-0.46,
19500509,-0.16,
19500510,-0.26,
19500511,-0.48,
19500512,-0.3,
19500513,0.18,
19500515,0.51,
19500516,0.55,
19500517,0.08,
19500518,-0.07,
19500519,0.18,
19500520,-0.06,
19500522,-0.21,
19500523,0.29,
19500524,-0.06,
19500525,0.04,
19500526,0.04,
19500527,0.09,
19500529,0.24,
19500531,0.41,
19500601,0.08,
19500602,-0.08,
19500605,-0.68,
19500606,1.08,
19500607,0.2,
19500608,0.27,
19500609,0.77,
19500612,0.32,
19500613,-0.22,
19500614,-0.72,
19500615,0.14,
19500616,0.23,
19500619,-0.4,
19500620,-0.24,
19500621,0.51,
19500622,0.38,
19500623,-0.16,
19500626,-3.23,
19500627,0.27,
19500628,0.72,
19500629,-1.98,
19500630,0.98,
19500703,-0.58,
19500705,0.32,
19500706,0.5,
19500707,-1.12,
19500710,-0.6,
19500711,-1.25,
19500712,-1.57,
19500713,0.04,
19500714,0.76,
19500717,-0.59,
19500718,1.71,
19500719,0.93,
19500720,0.36,
19500721,-0.43,
19500724,-0.89,
19500725,-0.89,
19500726,0.17,
19500727,-0.04,
19500728,0.22,
19500731,0.86,
19500801,0.49,
19500802,-0.11,
19500803,0.15,
19500804,0.12,
19500807,0.5,
19500808,0.46,
19500809,0.39,
19500810,-0.15,
19500811,-0.23,
19500814,0.19,
19500815,0.03,
19500816,0.27,
19500817,0.48,
19500818,-0.14,
19500821,-0.37,
19500822,-0.23,
19500823,0.46,
19500824,-0.28,
19500825,-0.35,
19500828,0.03,
19500829,0.17,
19500830,-0.06,
19500831,-0.05,
19500901,0.25,
19500905,-0.06,
19500906,-0.2,
19500907,0.2,
19500908,0.11,
19500911,-0.37,
19500912,0.71,
19500913,0.23,
19500914,0.02,
19500915,-0.22,
19500918,-0.48,
19500919,-0.24,
19500920,-0.52,
19500921,0.23,
19500922,0.05,
19500925,-0.59,
19500926,-1.07,
19500927,0.46,
19500928,-0.1,
19500929,-0.03,
19501002,0.59,
19501003,0.13,
19501004,1.29,
19501005,-0.19,
19501006,0.71,
19501007,0.03,
19501009,-0.28,
19501010,-0.39,
19501011,0.53,
19501013,0.06,
19501014,-0.46,
19501016,0.17,
19501017,0.48,
19501018,0.55,
19501019,-0.26,
19501020,-0.22,
19501021,0.42,
19501023,-0.16,
19501024,0.09,
19501025,-0.31,
19501026,-1.32,
19501027,0.63,
19501028,0.39,
19501030,-0.82,
19501031,-0.28,
19501101,0.46,
19501102,0.78,
19501103,0.03,
19501104,-0.34,
19501106,-0.99,
19501108,1.17,
19501109,1.22,
19501110,0.3,
19501113,0.35,
19501114,0.25,
19501115,-0.13,
19501116,-0.12,
19501117,0.81,
19501118,0.14,
19501120,-0.45,
19501121,0.24,
19501122,0.76,
19501124,0.17,
19501125,-0.15,
19501127,-0.34,
19501128,-0.91,
19501129,-0.23,
19501130,0.68,
19501201,0.81,
19501202,-0.3,
19501204,-0.96,
19501205,1.18,
19501206,0.95,
19501207,-0.16,
19501208,0.57,
19501209,-0.02,
19501211,0.6,
19501212,-0.05,
19501213,0.06,
19501214,-0.52,
19501215,0.38,
19501216,1.35,
19501218,1.17,
19501219,0.61,
19501220,-0.04,
19501221,-1.19,
19501222,-0.24,
19501226,-0.15,
19501227,0.93,
19501228,0.02,
19501229,-0.5,
19501230,0.19,
19510102,0.19,
19510103,-0.3,
19510104,0.38,
19510105,-0.25,
19510106,-0.23,
19510108,0.02,
19510109,0.26,
19510110,-0.74,
19510111,0.63,
19510112,-0.3,
19510113,0.04,
19510115,0.78,
19510116,0.39,
19510117,0.53,
19510118,-0.24,
19510119,-0.36,
19510120,-0.3,
19510122,-0.75,
19510123,-0.07,
19510124,-0.16,
19510125,-0.69,
19510126,0.82,
19510127,0.97,
19510129,0.23,
19510130,0.22,
19510131,-0.21,
19510201,0.39,
19510202,0.22,
19510203,0.16,
19510205,-0.24,
19510206,-0.28,
19510207,-0.15,
19510208,0.51,
19510209,0.41,
19510210,0.08,
19510213,-0.2,
19510214,-0.37,
19510215,-0.08,
19510216,0.25,
19510217,0.4,
19510219,-0.95,
19510220,0.09,
19510221,0.11,
19510223,-0.24,
19510224,-0.15,
19510226,-0.86,
19510227,-0.66,
19510228,0.02,
19510301,0.59,
19510302,0.01,
19510303,-0.16,
19510305,-0.31,
19510306,-0.31,
19510307,0.1,
19510308,0.17,
19510309,0.06,
19510310,-0.27,
19510312,-0.74,
19510313,-1.18,
19510314,-0.5,
19510315,-0.59,
19510316,1.36,
19510317,0.01,
19510319,-0.74,
19510320,-0.23,
19510321,0.25,
19510322,0.23,
19510324,-1.21,
19510326,0.26,
