This file was created by using the 202605 CRSP database.  It,,
contains a momentum factor, constructed from six value-weight portfolios formed,
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
MOM is the average of the returns on two (big and small) high prior return portfolios,,
minus the average of the returns on two low prior return portfolios.  The portfolios,,
are constructed daily.  Big means a firm is above the median market cap on the NYSE,,
at the end of the previous day; small firms are below the median NYSE market cap.,,
Prior return is measured from day - 250 to - 21.  Firms in the low prior return,,
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above,,
the 70th NYSE percentile.,,
,,
Missing data are indicated by -99.99 or -999.,,
,,
,Mom,
19271110,0.27,
19271111,0.81,
19271112,-0.21,
19271114,0.49,
19271115,-0.93,
19271116,0.15,
19271117,0.01,
19271118,-0.04,
19271119,0.3,
19271121,-0.69,
19271122,0.55,
19271123,-0.31,
19271125,-0.42,
19271126,-0.45,
19271128,-0.73,
19271129,0.15,
19271130,1.24,
19271201,0.06,
19271202,0.81,
19271203,0.38,
19271205,-0.1,
19271206,0.15,
19271207,0.48,
19271208,-0.21,
19271209,0.84,
19271210,0.05,
19271212,-0.03,
19271213,-0.11,
19271214,-0.37,
19271215,0.05,
19271216,0.49,
19271217,-1.02,
19271219,0.27,
19271220,0.4,
19271221,-0.05,
19271222,-0.16,
19271223,0.34,
19271224,0.38,
19271227,0.19,
19271228,-0.3,
19271229,0.33,
19271230,-1.07,
19271231,-0.25,
19280103,-0.41,
19280104,-0.39,
19280105,-0.75,
19280106,0.56,
19280107,-0.01,
19280109,-0.87,
19280110,-0.08,
19280111,-0.21,
19280112,-0.22,
19280113,-0.24,
19280114,-0.24,
19280116,-0.25,
19280117,0.32,
19280118,0.32,
19280119,0.38,
19280120,-0.05,
19280121,0.03,
19280123,1.02,
19280124,0.52,
19280125,-0.29,
19280126,0.31,
19280127,0.07,
19280128,-0.4,
19280130,-0.06,
19280131,0.8,
19280201,0.56,
19280202,0.28,
19280203,-0.36,
19280204,0.28,
19280206,0.16,
19280207,0.36,
19280208,0.6,
19280209,-0.31,
19280210,-0.15,
19280211,0.11,
19280214,-0.28,
19280215,-0.09,
19280216,0.12,
19280217,-0.19,
19280218,-0.42,
19280220,-0.39,
19280221,0.21,
19280223,-0.35,
19280224,-0.17,
19280225,-0.53,
19280227,0.47,
19280228,-0.32,
19280229,-0.2,
19280301,0.07,
19280302,0.04,
19280303,0.69,
19280305,0.72,
19280306,0.9,
19280307,0.38,
19280308,-0.45,
19280309,1.52,
19280310,-0.07,
19280312,-0.08,
19280313,0.16,
19280314,-0.27,
19280315,0.1,
19280316,0.03,
19280317,-0.26,
19280319,-0.26,
19280320,0.5,
19280321,0.86,
19280322,0.25,
19280323,1.47,
19280324,0.52,
19280326,0.75,
19280327,-0.74,
19280328,-1.11,
19280329,-0.1,
19280330,1.45,
19280331,-0.34,
19280402,-0.82,
19280403,0.56,
19280404,0.2,
19280405,0.18,
19280409,-0.26,
19280410,-0.33,
19280411,-0.17,
19280412,0.25,
19280413,-0.27,
19280414,-0.14,
19280416,-1.66,
19280417,0.07,
19280418,-0.08,
19280419,0.13,
19280420,0.08,
19280423,-0.48,
19280424,0.54,
19280425,-1.06,
19280426,0,
19280427,0.6,
19280428,-1.11,
19280430,0.07,
19280501,0.66,
19280502,0.45,
19280503,0.55,
19280504,1.18,
19280507,0.55,
19280508,-0.21,
19280509,-0.77,
19280510,0.03,
19280511,0.38,
19280514,0.33,
19280515,0.46,
19280516,-0.49,
19280517,0.76,
19280518,-0.72,
19280521,-0.31,
19280522,-1.26,
19280523,1.24,
19280524,0.25,
19280525,0.21,
19280528,-0.94,
19280529,1.06,
19280531,0.72,
19280601,0.13,
19280602,0.46,
19280604,-1.13,
19280605,0.55,
19280606,-0.46,
19280607,0.36,
19280608,-0.57,
19280609,-0.32,
19280611,-1.58,
19280612,-1.56,
19280613,1.12,
19280614,1.17,
19280615,-1.21,
19280616,0.47,
19280618,-0.25,
19280619,-0.13,
19280620,1.27,
19280621,-0.91,
19280622,-0.01,
19280623,-0.36,
19280625,0.12,
19280626,1.01,
19280627,0.89,
19280628,1.18,
19280629,0.22,
19280630,0.03,
19280702,-0.85,
19280703,1.18,
19280705,0.21,
19280706,-0.52,
19280707,-0.12,
19280709,0.27,
19280710,0.56,
19280711,-1.03,
19280712,-0.6,
19280713,0.35,
19280714,-0.19,
19280716,-0.17,
19280717,0.72,
19280718,0.69,
19280719,-0.14,
19280720,0.06,
19280721,-0.01,
19280723,0.03,
19280724,0.01,
19280725,0.21,
19280726,0.09,
19280727,0.39,
19280728,0.23,
19280730,0.2,
19280731,0.08,
19280801,0.07,
19280802,-0.25,
19280803,0.24,
19280804,-0.03,
19280806,0.69,
19280807,-0.02,
19280808,-0.9,
19280809,0.49,
19280810,-0.1,
19280811,-0.33,
19280813,0.22,
19280814,-0.49,
19280815,0.78,
19280816,0.21,
19280817,0.2,
19280818,-0.03,
19280820,-0.01,
19280821,0.06,
19280822,0.45,
19280823,0.37,
19280824,1.13,
19280825,0.06,
19280827,-0.6,
19280828,-0.04,
19280829,0.26,
19280830,0.49,
19280831,0.5,
19280901,-0.11,
19280904,0.08,
19280905,0.47,
19280906,-0.05,
19280907,0.68,
19280908,-0.49,
19280910,0.04,
19280911,0.6,
19280912,0.42,
19280913,0.19,
19280914,-0.45,
19280915,-0.01,
19280917,0.69,
19280918,0.45,
19280919,0.03,
19280920,0.76,
19280921,1.15,
19280922,0.12,
19280924,0.71,
19280925,0.29,
19280926,-0.38,
19280927,-1.14,
19280928,0.31,
19280929,0.88,
19281001,0.07,
19281002,0.33,
19281003,0.22,
19281004,0.77,
19281005,0.05,
19281006,-0.13,
19281008,-0.09,
19281009,0.6,
19281010,0.22,
19281011,0.99,
19281013,0.44,
19281015,-0.03,
19281016,0,
19281017,0.15,
19281018,0.32,
19281019,0.55,
19281020,-0.44,
19281022,-0.41,
19281023,0.73,
19281024,0.2,
19281025,-0.05,
19281026,-0.64,
19281027,0.73,
19281029,-0.14,
19281030,-0.41,
19281031,-0.51,
19281101,0.49,
19281102,0.03,
19281103,-0.27,
19281105,0.69,
19281107,0.82,
19281108,-0.41,
19281109,-0.14,
19281110,0.65,
19281112,0.24,
19281113,-0.07,
19281114,-0.6,
19281115,0.19,
19281116,-0.01,
19281117,0.05,
19281119,-0.49,
19281120,0.27,
19281121,-0.57,
19281122,0.9,
19281123,0.63,
19281126,-0.2,
19281127,-0.19,
19281128,0.92,
19281130,0.48,
19281201,0.13,
19281203,-0.65,
19281204,0.67,
19281205,-0.21,
19281206,-1.81,
19281207,-1.88,
19281208,-1.5,
19281210,1.33,
19281211,1.38,
19281212,-0.59,
19281213,-0.81,
19281214,-0.09,
19281215,-0.31,
19281217,-0.7,
19281218,1.28,
19281219,0.98,
19281220,0.53,
19281221,0.89,
19281222,0.41,
19281224,0.51,
19281226,-0.41,
19281227,0.72,
19281228,0.46,
19281229,0.22,
19281231,0.34,
19290102,0.95,
19290103,-0.1,
19290104,-0.74,
19290105,-0.2,
19290107,0.15,
19290108,0.24,
19290109,0.79,
19290110,0.03,
19290111,-0.23,
19290112,-0.07,
19290114,-0.23,
19290115,-0.43,
19290116,0.97,
19290117,1.36,
19290118,-0.13,
19290119,0.41,
19290121,0.06,
19290122,0.53,
19290123,-0.15,
19290124,0.05,
19290125,0.4,
19290126,0.34,
19290128,0.15,
19290129,-0.04,
19290130,0.22,
19290131,-0.57,
19290201,0.67,
19290202,0.1,
19290204,0.02,
19290205,0.52,
19290206,-0.36,
19290207,-1.14,
19290208,-0.64,
19290211,2.29,
19290213,0.42,
19290214,-0.19,
19290215,-1.19,
19290216,-0.64,
19290218,1.46,
19290219,0.48,
19290220,0.41,
19290221,-0.11,
19290225,0.11,
19290226,0.15,
19290227,0.59,
19290228,0.78,
19290301,0.64,
19290302,-0.24,
19290304,-0.22,
19290305,-0.44,
19290306,-0.29,
19290307,0.51,
19290308,0.19,
19290309,-0.32,
19290311,-0.85,
19290312,0.39,
