part,window,coef,control_rate,coef_over_control,mde80,mde_over_control,mde_exceeds_control,t_recomputed,p_recomputed,p_committed,abs_diff,df
F2,30,0.004,0.0439,0.0911,0.0944,2.1494,True,,,,,
F2,90,-0.041,0.1453,-0.2822,0.2234,1.5378,True,,,,,
F2,180,0.0233,0.2466,0.0945,0.2815,1.1414,True,,,,,
F5,30,,,,,,,0.11976,0.904877,0.9061,0.00122345,118.0
F5,90,,,,,,,-0.518331,0.605198,0.6053,0.00010223,118.0
F5,180,,,,,,,0.233936,0.81544,0.8159,0.00045975,118.0
