window,sensitivity,y,n,G,G1,coef,se_hc3,p_hc3,se_cv1,p_cv1,se_cv3,p_cv3,ci_cv3_lo,ci_cv3_hi,mde80_cv3,treated_mean,control_mean,p_wcr,B_wcr,row_type,hc3_status,test,p_bh
30,year FE (reported year),exec_departure_30_rd,405,119,13,0.0078,0.0244,0.7484,0.0217,0.7187,0.0302,0.796,-0.052,0.0677,0.0854,0.0367,0.0439,0.744,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance),F3 year FE (reported year) 30d,0.9864
30,two-digit SIC FE,exec_departure_30_rd,405,119,13,0.0395,inf,1.0,0.0224,0.0804,0.0341,0.2485,-0.0279,0.1069,0.0962,0.0367,0.0439,0.1551,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance),F3 two-digit SIC FE 30d,0.9864
30,breach_date anchor,exec_departure_30_bd,405,119,13,-0.0208,0.0334,0.5339,0.034,0.5425,0.0395,0.5997,-0.099,0.0574,0.1116,0.055,0.0574,0.554,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance),F3 breach_date anchor 30d,0.9864
30,excluding pre-announced departures,exec_departure_nopre_30_rd,405,119,13,0.0171,0.0232,0.4598,0.0238,0.4722,0.0303,0.572,-0.0428,0.0771,0.0855,0.0367,0.0372,0.5269,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance),F3 excluding pre-announced departures 30d,0.9864
30,excluding the F2 baseline control,exec_departure_30_rd,405,119,13,0.0038,0.0252,0.8809,0.0245,0.8781,0.0317,0.9054,-0.0589,0.0665,0.0894,0.0367,0.0439,0.8933,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance),F3 excluding the F2 baseline control 30d,0.9864
30,restatement-dated outcome (rs),rs_exec_departure_30_rd,405,119,13,0.0342,0.0306,0.2639,0.0427,0.4243,0.0589,0.562,-0.0823,0.1508,0.1663,0.0642,0.0439,0.6665,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance),F3 restatement-dated outcome (rs) 30d,0.9864
30,"recall-corrected, audit point estimates (r_T=0.842, r_C=0.750)",y_corr,405,119,13,0.0007,0.0325,0.982,0.0318,0.9816,0.043,0.9864,-0.0844,0.0859,0.1215,0.0436,0.0586,0.9837,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance),"F3 recall-corrected, audit point estimates (r_T=0.842, r_C=0.750) 30d",0.9864
30,"recall-corrected, treated recall at CI low / control at CI high (r_T=0.604, r_C=0.927)",y_corr,405,119,13,0.0222,0.0337,0.5103,0.0319,0.4876,0.0437,0.6126,-0.0644,0.1088,0.1235,0.0608,0.0474,0.5737,9999,BOUNDING EXERCISE (recall CI endpoints; not an estimate),DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance),"F3 recall-corrected, treated recall at CI low / control at CI high (r_T=0.604, r_C=0.927) 30d",0.9864
30,"recall-corrected, treated recall at CI high / control at CI low (r_T=0.966, r_C=0.476)",y_corr,405,119,13,-0.0248,0.045,0.5811,0.045,0.582,0.0611,0.685,-0.1457,0.0961,0.1725,0.038,0.0923,0.6331,9999,BOUNDING EXERCISE (recall CI endpoints; not an estimate),DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance),"F3 recall-corrected, treated recall at CI high / control at CI low (r_T=0.966, r_C=0.476) 30d",0.9864
90,year FE (reported year),exec_departure_90_rd,405,119,13,-0.0165,0.0456,0.7169,0.0446,0.7117,0.0705,0.815,-0.1562,0.1231,0.1993,0.1009,0.1453,0.7504,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance),F3 year FE (reported year) 90d,0.9864
