window,variable,n,events,event_pct,pseudo_r2,logit_coef,logit_se,logit_z,logit_p,ame_dydx,ame_se,ame_p,ame_discrete_pp
30d,immediate_disclosure,896,416,46.4,0.0518,-0.8583,0.2003,-4.284,0.0,-0.1988,0.0446,0.0,-19.43
30d,fcc_reportable,896,416,46.4,0.0518,0.0448,0.1774,0.253,0.8006,0.0104,0.0411,0.8006,1.04
90d,immediate_disclosure,896,599,66.9,0.0534,-1.2609,0.1886,-6.686,0.0,-0.2598,0.035,0.0,-29.43
90d,fcc_reportable,896,599,66.9,0.0534,0.0071,0.1871,0.038,0.9697,0.0015,0.0385,0.9697,0.15
180d,immediate_disclosure,896,605,67.5,0.0488,-1.1964,0.1877,-6.374,0.0,-0.2456,0.0351,0.0,-27.82
180d,fcc_reportable,896,605,67.5,0.0488,-0.0603,0.1863,-0.324,0.7462,-0.0124,0.0382,0.7461,-1.25
