window,variable,logit_coef,logit_se,logit_p
30d,fcc_reportable,0.06382423736185433,0.2545163071774375,0.8019944190098113
30d,health_breach,0.24653879103960327,0.40152183670173547,0.5392081133492579
30d,prior_breaches_total,-0.018661064506147927,0.01656834829574009,0.26003514019718466
30d,firm_size_log,0.11874073599432988,0.08283011035510349,0.15170199180671812
30d,leverage,0.16395420125329943,0.4138870228294448,0.6920071051543202
30d,roa,2.295825290231609,2.921231656746278,0.43192019177318886
90d,fcc_reportable,0.1508905236355511,0.20802047463649082,0.46822887005728386
90d,health_breach,0.12001144295005103,0.34131428276004677,0.7251265277632986
90d,prior_breaches_total,-0.00967544991013867,0.012041480500581866,0.42168002335460675
90d,firm_size_log,0.16397311315973573,0.06792087758236957,0.015770739964142067
90d,leverage,0.6440817394805441,0.3427397013816845,0.06021508194277532
90d,roa,2.1569102136920004,2.3254541892165483,0.35365550924576983
180d,fcc_reportable,0.32161028181341583,0.24909354282505228,0.19666119751398947
180d,health_breach,-0.08361956516764793,0.36799852622316276,0.8202464645758496
180d,prior_breaches_total,0.00626870466995034,0.013581353638522533,0.6443918632704797
180d,firm_size_log,0.18631879695195872,0.07566728502031513,0.013803265476276472
180d,leverage,0.9757936610875824,0.3978044555075565,0.014169080225245854
180d,roa,-2.0073497779064957,2.434068200681489,0.4095480599262523
