Case,Company,Breach Date,Immediate,FCC,Penalty USD,Enforcement Type
1,"Charter Communications, Inc.",2023-01-01,1,1,550.0,FCC
2,T-Mobile,2021-01-18,0,1,118.29,FCC
3,"T-Mobile US, Inc.",2021-01-18,0,1,118.29,FCC
4,T-Mobile USA Inc.,2015-10-01,1,1,287.115,FCC
5,"T-Mobile USA, Inc.",2021-08-13,1,1,213.487,FCC
6,"T-Mobile USA, Inc.",2021-03-01,0,1,76600.0,FCC
