threshold,n,fcc_coef,fcc_se,fcc_p,mediator_coef,mediator_se,mediator_p
5-day,646,0.0647,0.2582,0.8023,-0.0049,0.2572,0.9847
10-day,646,0.0641,0.2574,0.8033,-0.0019,0.2495,0.9938
14-day,646,0.0817,0.2571,0.7506,-0.1218,0.2471,0.622
