Hypothesis,Coef,p,TOST_p_2.10,MDE80,Status
H2_FCC,-0.2663,0.8404,0.0833,3.703,NULL-INCONCLUSIVE
H1_timing,0.9641,0.3298,0.1259,2.7702,NULL-INCONCLUSIVE
H3_prior,0.0238,0.7092,0.0,0.1786,BOUNDED NULL
H4_health,-1.0553,0.687,0.3451,7.3343,NULL-INCONCLUSIVE
CAPTION,"This table summarizes the four hypothesis tests from the baseline HC3 regression on the regression sample (N = 338). TOST p-values test equivalence against the +/-2.10 percentage-point bound, which was fixed from the prior literature before the rebuilt estimates existed; MDE80 is the minimum detectable effect at 80 percent power.",,,,
