Method,Timing p,FCC p,ROA p
OLS,0.3138,0.8277,0.1076
HC1,0.3235,0.8384,0.1491
HC3,0.3298,0.8404,0.1596
Firm-clustered,0.2547,0.8227,0.1866
CAPTION,"This table reports p-values from the baseline specification on the regression sample (N = 338) under alternative standard-error methods: classical OLS, HC1, HC3, and clustering by parent CIK (82 clusters).",,
