Analysis_Name,Specification,Sample_Size,Num_Clusters,FCC_Coefficient,Std_Error,t_Statistic,p_Value,R_Squared,Adj_R_Squared,SE_Type,Notes
Model_1,days_to_disclosure + return_volatility_pre,649,,,,,,0.40371862514860757,0.4018725527806466,HC3,
Model_2,M1 + firm_size_log + leverage + roa,649,,,,,,0.4243074568689016,0.4198308430031854,HC3,
Model_3,M2 + FCC,649,,0.2456334699218206,1.1036507078462805,0.22256450177172643,0.8238744669425668,0.4243518421117075,0.4189719527856488,HC3,
Model_4_HC3,Full spec: FCC + all controls (HC3),649,,0.48650137244065605,1.1181731705535776,0.43508589300153055,0.6635000826661337,0.42870028752437606,0.4215590411184308,HC3,
Q1_Heterogeneity,Firm size Q1 only (full controls),163,,7.192806826203777,3.7037768921309917,1.9420194670703694,0.05213474366639599,0.4024732643628345,0.37143291445960513,HC3,
Q2_Heterogeneity,Firm size Q2 only (full controls),162,,1.6720587241755804,2.4324359773797677,0.6874009181432724,0.4918301192117511,0.4229113833078191,0.3927368151147639,HC3,
Q3_Heterogeneity,Firm size Q3 only (full controls),163,,-3.112082509169975,2.481770354005775,-1.253976825110682,0.20985042901013673,0.4305113233570901,0.4009274959990168,HC3,
Q4_Heterogeneity,Firm size Q4 only (full controls),161,,-4.155988851338713,1.7683480073349376,-2.3502098196169934,0.018762831123840633,0.6384667582242398,0.6194386928676209,HC3,
Severity_FCC_only,"Severity score available, FCC only",649,,0.48650137244065605,1.1181731705535776,0.43508589300153055,0.6635000826661337,0.42870028752437606,0.4215590411184308,HC3,
Severity_FCC_plus_Severity,Severity + FCC + Severity main,649,,0.5262919122444644,1.1207921170394537,0.46957138995111086,0.6386612691296056,0.4302755604475408,0.4222512725665203,HC3,
Severity_FCC_X_Severity,Severity + FCC × Severity interaction,649,,0.9211474578389005,1.10615274357052,0.8327488795675305,0.40498637108363744,0.4346447158042065,0.42578334771336335,HC3,
Media_FCC_only,"Media available, FCC only",649,,0.48650137244065605,1.1181731705535776,0.43508589300153055,0.6635000826661337,0.42870028752437606,0.4215590411184308,HC3,
Media_FCC_plus_Media,Media + FCC + Media main,649,,0.3914124443372115,1.1495934628140208,0.3404790101877376,0.7334958270418737,0.4296929944427271,0.4216605014067092,HC3,
Media_FCC_X_Media,Media + FCC × Media interaction,649,,0.4973882263326539,1.1485167117148585,0.43307008183624945,0.6649638571142438,0.4307018040969376,0.42177863488215606,HC3,
Gov_FCC_only,"Governance available, FCC only",649,,0.48650137244065605,1.1181731705535776,0.43508589300153055,0.6635000826661337,0.42870028752437606,0.4215590411184308,HC3,
Gov_FCC_plus_Gov,Gov + FCC + Gov main,649,,0.4865013724406936,1.1181731705535845,0.4350858930015615,0.6635000826661112,0.42870028752437606,0.4215590411184308,HC3,
Gov_FCC_X_Gov,Gov + FCC × Gov interaction,649,,0.3964081776528657,1.0937424190711311,0.3624328459250198,0.7170285980483637,0.4288333614925538,0.42078876095019546,HC3,
InfoEnv_FCC_only,"InfoEnv available, FCC only",649,,0.48650137244065605,1.1181731705535776,0.43508589300153055,0.6635000826661337,0.42870028752437606,0.4215590411184308,HC3,
InfoEnv_FCC_plus_InfoEnv,InfoEnv + FCC + InfoEnv main,649,,0.8027033251015488,1.116755584045108,0.7187815638172139,0.4722755187613171,0.4346589203843563,0.4266963699672346,HC3,
InfoEnv_FCC_X_InfoEnv,InfoEnv + FCC × InfoEnv interaction,649,,0.670432179012901,1.1228248412744446,0.59709418100506,0.5504445027200686,0.4354621192881236,0.42661356316411303,HC3,
Window_10day,Window length 10 days,649,,0.48650137244065605,1.1181731705535776,0.43508589300153055,0.6635000826661337,0.42870028752437606,0.4215590411184308,HC3,
Window_20day,Window length 20 days,649,,0.48650137244065605,1.1181731705535776,0.43508589300153055,0.6635000826661337,0.42870028752437606,0.4215590411184308,HC3,
Window_30day,Window length 30 days,649,,0.48650137244065605,1.1181731705535776,0.43508589300153055,0.6635000826661337,0.42870028752437606,0.4215590411184308,HC3,
Window_60day,Window length 60 days,649,,0.48650137244065605,1.1181731705535776,0.43508589300153055,0.6635000826661337,0.42870028752437606,0.4215590411184308,HC3,
Vol_SD_Primary,Volatility: Standard Deviation (PRIMARY),649,,0.48650137244065605,1.1181731705535776,0.43508589300153055,0.6635000826661337,0.42870028752437606,0.4215590411184308,HC3,
Vol_AbsReturns,Volatility: Absolute Returns,649,,0.4865024076857003,1.1181729076504208,0.43508692113456005,0.6634993364178234,0.4287002123012966,0.42155896495506284,HC3,
Vol_GARCH,"Volatility: GARCH(1,1) proxy",649,,0.425931057260625,1.28905991974539,0.33041990580604913,0.7410827027144609,0.5075397061256195,0.5013839524521897,HC3,
SE_OLS_Classical,SE: Classical homoskedastic OLS,649,,0.48650137244065605,1.1104824011922099,0.43809912873751977,0.6614622505372718,0.42870028752437606,0.4215590411184308,nonrobust,Classical OLS (not HC-corrected)
SE_HC1,SE: HC1 heteroskedasticity correction,649,,0.48650137244065605,1.0992462607770852,0.44257723660277526,0.6580715527932983,0.42870028752437606,0.4215590411184308,HC1,
SE_FirmCluster,SE: Firm-clustered,649,371.0,0.48650137244065605,1.2901718937369209,0.3770826002351735,0.7061122214112399,0.42870028752437606,0.4215590411184308,cluster_None,
SE_IndCluster,SE: Industry-clustered (2-digit SIC),649,18.0,0.48650137244065605,0.7273912863752058,0.6688303552067945,0.5036037007221155,0.42870028752437606,0.4215590411184308,cluster_None,
FE_Year,FE: Year fixed effects,649,,0.10234940529924151,1.1957086284038887,0.08559727919322979,0.931786561412147,0.48341916959739073,0.4618257586802399,HC3,
FE_Industry,FE: Industry fixed effects (2-digit SIC),649,,4.962021210411519,2.1336594277345236,2.325591959950278,0.02004032890501444,0.4508936730784121,0.428858908755716,HC3,
FE_YearAndInd,FE: Year + Industry fixed effects,649,,1.3398249692210904,2.15855010251759,0.6207059857718416,0.534793090300203,0.5071201938094454,0.47208906708846377,HC3,
Diagnostics_VIF,Variance Inflation Factors (max=112.81),649,,,,,,,,N/A,All VIF < 5: False
