sample,window,N,treated,base,ame_pp,se_pp,z_rep,z_calc,p_rep,p_calc,logit_coef,logit_se,logit_z_rep,logit_z_calc,logit_p,mde80_pp
current file minus DISH (constants vintage?),30,338,104,0.1716,7.37,5.425,1.3591,1.3591,0.1741,0.1741,0.5312,0.3924,1.3539,1.3539,0.1758,15.19
current file minus DISH (constants vintage?),90,338,104,0.432,9.97,7.025,1.4188,1.4188,0.156,0.156,0.4228,0.3015,1.4024,1.4024,0.1608,19.67
current file minus DISH (constants vintage?),180,338,104,0.6982,4.77,6.969,0.6839,0.6839,0.4941,0.4941,0.2343,0.3434,0.6822,0.6822,0.4951,19.51
current CANONICAL_V3,30,340,106,0.1706,6.85,5.383,1.2735,1.2735,0.2028,0.2028,0.4957,0.3905,1.2694,1.2694,0.2043,15.07
current CANONICAL_V3,90,340,106,0.4324,9.88,6.975,1.4167,1.4167,0.1566,0.1566,0.4193,0.2994,1.4005,1.4005,0.1614,19.53
current CANONICAL_V3,180,340,106,0.7,5.46,6.904,0.7902,0.7902,0.4294,0.4294,0.2693,0.3418,0.7877,0.7877,0.4308,19.33
