suspect_cik,org_name,n_records,resolved_cik,grade,still_maps_to_suspect,evidence
1324404,"AGE Industries, Ltd.",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,"Allied-Locke Industries, Inc.",2,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,Amadas Industries,1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,BBB Industries LLC,1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,"BBC Industries, Inc.",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,"Bonland Industries, Inc.",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,"CBD Industries, LLC",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,"Chart Industries, Inc.",1,892553.0,VERIFIED,False,EDGAR name: CHART INDUSTRIES INC
1324404,"Defender Industries, Inc.",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,"Derby Industries, LLC",2,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,"Dulany Industries, Inc.",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,"EBSCO Industries, Inc.",2,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,Ensinger Industries Inc.,1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,"Ensinger Industries, Inc.",2,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,Evening Post Industries,1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,"HTI Technology & Industries, Inc.",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,Huntwood Industries,2,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,"Indian Industries, Inc. d/b/a RAVE Sports",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,"Jet Industries, Inc.",2,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,"King Industries, Inc.",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,Lavelle Industries Inc.,1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,"LC Industries, Inc.",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,"Mark Dunning Industries, Inc.",2,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,"MW Industries, Inc.",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1324404,"National Presto Industries, Inc.",1,80172.0,VERIFIED,False,EDGAR name: NATIONAL PRESTO INDUSTRIES INC
