org,cik,breach_date,treated,first_8k_after,gap_days
ATT-Breach Notification,732717,2014-08-05,0,2014-09-30,56.0
"AT&T Services, Inc.",732717,2014-08-11,1,2014-09-30,50.0
AT&T,732717,2014-10-09,1,2014-10-22,13.0
ATT-Breach Notification,732717,2014-10-16,0,2014-10-22,6.0
"AT&T Services, Inc.",732717,2017-01-01,1,2017-01-20,19.0
AT&T,732717,2017-01-25,1,2017-02-09,15.0
AT&T Services,732717,2017-02-01,1,2017-02-09,8.0
Cricket Wireless LLC,732717,2018-08-17,1,2018-08-22,5.0
Cricket Wireless LLC,732717,2018-08-21,1,2018-08-22,1.0
"AT&T, Inc.",732717,2019-01-01,1,2019-01-30,29.0
AT&T,732717,2022-06-01,1,2022-07-01,30.0
"AT&T Services, Inc.",732717,2022-08-30,1,2022-10-20,51.0
"AT&T Services, Inc.",732717,2023-03-01,1,2023-03-03,2.0
AT&T Inc.,732717,2024-03-17,1,2024-04-24,38.0
AT&T Inc.,732717,2024-03-26,1,2024-04-24,29.0
AT&T Inc,732717,2024-04-09,1,2024-04-24,15.0
AT&T Inc.,732717,2024-04-14,1,2024-04-24,10.0
Honeywell International Inc.,773840,2021-02-16,0,2021-04-02,45.0
"Honeywell International, Inc.",773840,2023-05-27,0,2023-06-06,10.0
Honeywell International Inc.,773840,2023-06-03,0,2023-06-06,3.0
Microsoft Corporation,789019,2017-07-05,0,2017-07-20,15.0
Microsoft Corporation,789019,2019-12-05,0,2020-01-29,55.0
Microsoft Corporation,789019,2022-03-01,0,2022-04-26,56.0
Microsoft Corporation,789019,2022-09-24,0,2022-10-25,31.0
"Nuance Communications, Inc.",789019,2023-05-28,0,2023-07-03,36.0
Adobe Systems Incorporated,796343,2013-09-11,0,2013-09-17,6.0
Adobe Systems Incorporated,796343,2013-09-17,0,2013-12-12,86.0
Adobe Systems Incorporated,796343,2019-10-19,0,2019-12-12,54.0
"Fiserv, Inc.",798354,2008-12-02,0,2008-12-03,1.0
Fiserv,798354,2021-09-25,0,2021-10-27,32.0
Fiserv,798354,2023-12-06,0,2024-02-06,62.0
Citrix Systems Inc.,877890,2013-04-26,0,2013-05-10,14.0
Citrix Systems,877890,2016-11-15,0,2017-01-06,52.0
"Citrix Systems, Inc.",877890,2018-10-13,0,2018-10-24,11.0
"Intuit, Inc.",896878,2008-05-26,0,2008-07-25,60.0
Intuit,896878,2008-09-24,0,2008-10-28,34.0
"Intuit, Inc.",896878,2014-02-01,0,2014-02-11,10.0
Intuit Inc.,896878,2014-04-01,0,2014-05-20,49.0
Intuit Inc.,896878,2014-04-18,0,2014-05-20,32.0
Intuit,896878,2015-04-07,0,2015-05-21,44.0
Intuit,896878,2015-04-14,0,2015-05-21,37.0
Intuit,896878,2015-05-20,0,2015-05-21,1.0
Intuit Inc,896878,2015-09-18,0,2015-10-30,42.0
Intuit Inc,896878,2015-10-12,0,2015-10-30,18.0
Intuit,896878,2015-12-01,0,2016-01-25,55.0
Intuit Inc.,896878,2015-12-07,0,2016-01-25,49.0
"Intuit, Inc.",896878,2015-12-31,0,2016-01-25,25.0
Intuit Inc.,896878,2016-01-21,0,2016-01-25,4.0
Intuit,896878,2016-02-04,0,2016-02-25,21.0
Intuit,896878,2016-02-24,0,2016-02-25,1.0
Intuit Inc,896878,2016-02-29,0,2016-05-09,70.0
"Intuit, Inc.",896878,2016-03-07,0,2016-05-09,63.0
Intuit,896878,2016-03-17,0,2016-05-09,53.0
Intuit Inc.,896878,2016-03-22,0,2016-05-09,48.0
Intuit Inc,896878,2016-03-29,0,2016-05-09,41.0
Intuit,896878,2016-04-06,0,2016-05-09,33.0
Intuit Inc.,896878,2016-04-14,0,2016-05-09,25.0
Intuit,896878,2016-04-29,0,2016-05-09,10.0
Intuit,896878,2016-05-17,0,2016-05-24,7.0
Intuit,896878,2016-05-27,0,2016-08-08,73.0
"Intuit, Inc.",896878,2016-06-01,0,2016-08-08,68.0
Intuit Inc,896878,2016-06-09,0,2016-08-08,60.0
Intuit Inc.,896878,2016-08-03,0,2016-08-08,5.0
Intuit Inc.,896878,2016-08-22,0,2016-08-23,1.0
Intuit Inc,896878,2016-09-12,0,2016-11-17,66.0
Intuit Inc.,896878,2016-09-26,0,2016-11-17,52.0
Intuit,896878,2016-10-18,0,2016-11-17,30.0
Intuit Inc.,896878,2016-10-23,0,2016-11-17,25.0
Intuit Inc,896878,2016-10-30,0,2016-11-17,18.0
Intuit Inc,896878,2016-11-22,0,2017-01-20,59.0
"Intuit, Inc.",896878,2016-12-05,0,2017-01-20,46.0
"Intuit, Inc.",896878,2016-12-13,0,2017-01-20,38.0
Intuit Inc.,896878,2017-01-01,0,2017-01-20,19.0
Intuit Inc.,896878,2017-01-12,0,2017-01-20,8.0
Intuit,896878,2017-01-27,0,2017-02-08,12.0
"Intuit, Inc.",896878,2017-02-13,0,2017-02-23,10.0
Intuit Inc.,896878,2017-02-20,0,2017-02-23,3.0
Intuit Inc.,896878,2017-02-28,0,2017-04-27,58.0
Intuit Inc.,896878,2017-03-12,0,2017-04-27,46.0
"Intuit, Inc.",896878,2017-04-02,0,2017-04-27,25.0
Intuit Inc,896878,2017-04-17,0,2017-04-27,10.0
Intuit Inc,896878,2017-04-30,0,2017-05-23,23.0
Intuit Inc.,896878,2017-06-01,0,2017-07-21,50.0
"Intuit, Inc.",896878,2017-06-14,0,2017-07-21,37.0
"Intuit, Inc.",896878,2017-07-30,0,2017-08-22,23.0
Intuit Inc.,896878,2017-08-08,0,2017-08-22,14.0
Intuit Inc.,896878,2017-08-16,0,2017-08-22,6.0
Intuit Inc.,896878,2017-08-25,0,2017-10-19,55.0
Intuit Inc,896878,2017-09-01,0,2017-10-19,48.0
Intuit,896878,2017-10-17,0,2017-10-19,2.0
Intuit Inc.,896878,2018-02-06,0,2018-02-09,3.0
Intuit Inc.,896878,2018-03-14,0,2018-04-25,42.0
Intuit,896878,2018-04-26,0,2018-05-22,26.0
Intuit,896878,2018-05-16,0,2018-05-22,6.0
Intuit Inc,896878,2018-06-15,0,2018-07-18,33.0
"Intuit, Inc.",896878,2019-01-29,0,2019-02-21,23.0
"Intuit, Inc.",896878,2019-02-21,0,2019-04-25,63.0
Intuit Inc.,896878,2019-03-21,0,2019-04-25,35.0
"Intuit, Inc.",896878,2019-03-26,0,2019-04-25,30.0
Intuit Inc.,896878,2019-04-07,0,2019-04-25,18.0
Intuit,896878,2019-04-16,0,2019-04-25,9.0
Intuit Inc,896878,2019-09-20,0,2019-11-21,62.0
Intuit,896878,2020-03-31,0,2020-04-01,1.0
Intuit Inc.,896878,2020-04-12,0,2020-05-07,25.0
Intuit Inc,896878,2022-02-06,0,2022-02-14,8.0
Intuit Inc.,896878,2022-04-15,0,2022-05-04,19.0
Intuit Inc.,896878,2023-01-01,0,2023-01-23,22.0
Intuit Inc,896878,2023-06-04,0,2023-08-02,59.0
Intuit Inc.,896878,2023-12-01,0,2024-01-22,52.0
Intuit Inc.,896878,2024-01-29,0,2024-02-22,24.0
Intuit Inc,896878,2024-03-05,0,2024-05-02,58.0
Intuit Inc.,896878,2024-12-20,0,2025-01-27,38.0
Intuit Inc.,896878,2025-01-21,0,2025-01-27,6.0
Sirius XM Radio Inc.,908937,2012-03-19,0,2012-04-17,29.0
Sirius XM Satellite Radio,908937,2012-04-12,0,2012-04-17,5.0
Sirius XM Radio Inc.,908937,2016-02-01,0,2016-02-02,1.0
Sirius XM Radio Inc.,908937,2016-04-05,0,2016-04-08,3.0
Sirius XM Radio Inc.,908937,2016-08-20,0,2016-10-27,68.0
Sirius XM Radio Inc,908937,2016-09-26,0,2016-10-27,31.0
"Sirius XM Radio, Inc.",908937,2016-10-04,0,2016-10-27,23.0
Sirius XM Radio Inc.,908937,2016-10-31,0,2017-01-05,66.0
Sirius XM Radio Inc.,908937,2016-11-15,0,2017-01-05,51.0
Sirius XM Radio Inc,908937,2016-12-04,0,2017-01-05,32.0
"Sirius XM Radio, Inc.",908937,2016-12-19,0,2017-01-05,17.0
Sirius XM Radio Inc.,908937,2017-01-06,0,2017-02-02,27.0
"Sirius XM Radio, Inc.",908937,2017-01-25,0,2017-02-02,8.0
Sirius XM Radio Inc.,908937,2017-08-06,0,2017-08-16,10.0
Sirius XM Radio Inc.,908937,2017-09-18,0,2017-10-25,37.0
"Sinclair Broadcast Group, Inc.",912752,2020-05-01,0,2020-05-06,5.0
"Sinclair Broadcast Group, Inc.",912752,2021-06-23,0,2021-06-29,6.0
"Sinclair Broadcast Group, Inc.",912752,2021-12-16,0,2022-01-13,28.0
The Est̩e Lauder Companies Inc.,1001250,2023-05-01,0,2023-05-03,2.0
The Est̩e Lauder Companies Inc.,1001250,2023-05-30,0,2023-07-19,50.0
The Est̩e Lauder Companies Inc.,1001250,2023-07-11,0,2023-07-19,8.0
Yahoo! Voices,1011006,2012-07-11,0,2012-07-13,2.0
Yahoo! Inc.,1011006,2013-08-01,0,2013-10-15,75.0
Yahoo,1011006,2014-12-01,0,2015-01-27,57.0
Yahoo Inc.,1011006,2016-08-13,0,2016-09-22,40.0
Republic Services,1060391,2013-08-10,0,2013-08-26,16.0
Republic Services,1060391,2013-08-26,0,2013-10-10,45.0
"Republic Services, Inc.",1060391,2019-02-01,0,2019-02-07,6.0
"Republic Services, Inc.",1060391,2021-09-20,0,2021-10-28,38.0
"Republic Services, Inc.",1060391,2022-04-09,0,2022-05-04,25.0
"Charter Communications, Inc.",1091667,2008-07-14,1,2008-08-05,22.0
Charter Communications,1091667,2008-08-11,1,2008-09-04,24.0
"Charter Communications, Inc.",1091667,2013-04-26,1,2013-05-02,6.0
"Charter Communications, Inc.",1091667,2014-01-21,1,2014-01-22,1.0
Charter Communication,1091667,2014-09-30,1,2014-10-14,14.0
Charter Communications,1091667,2022-12-21,1,2023-01-27,37.0
"Charter Communications, Inc.",1091667,2023-01-01,1,2023-01-27,26.0
"Charter Communications, Inc.",1091667,2023-09-01,1,2023-09-11,10.0
Mediacom Communications Corporation,1098659,2022-07-18,1,,
Time Warner Inc.,1105705,2006-12-01,0,2006-12-04,3.0
Time Warner Inc.,1105705,2015-01-28,0,2015-02-11,14.0
TimeWarner,1105705,2015-02-19,0,2015-03-17,26.0
Time Warner Inc.,1105705,2016-08-10,0,2016-10-24,75.0
"Home Box Office, Inc.",1105705,2017-05-15,0,2017-06-20,36.0
Time Warner Inc.,1105705,2017-07-20,0,2017-08-02,13.0
"Home Box Office, Inc.",1105705,2017-07-23,0,2017-08-02,10.0
"Home Box Office, Inc.",1105705,2017-10-30,0,2017-11-28,29.0
Carnival Corporation & PLC,1125259,2019-04-01,0,2019-04-22,21.0
Carnival Corporation & PLC,1125259,2019-04-11,0,2019-04-22,11.0
Carnival Corporation & plc,1125259,2020-08-15,0,2020-08-17,2.0
"Fidelity National Information Services, Inc.",1136893,2007-09-24,0,2007-10-26,32.0
"Fidelity National Information Services, Inc.",1136893,2023-05-01,0,2023-05-26,25.0
"Fidelity National Information Services, Inc.",1136893,2023-05-27,0,2023-07-06,40.0
"Fidelity National Information Services, Inc.",1136893,2023-06-21,0,2023-07-06,15.0
"Fidelity National Information Services, Inc.",1136893,2023-06-26,0,2023-07-06,10.0
"Fidelity National Information Services, Inc.",1136893,2023-07-17,0,2023-08-02,16.0
"Fidelity National Information Services, Inc.",1136893,2023-07-21,0,2023-08-02,12.0
"Fidelity National Information Services, Inc.",1136893,2023-09-08,0,2023-11-07,60.0
"Fidelity National Information Services, Inc.",1136893,2023-09-19,0,2023-11-07,49.0
"Fidelity National Information Services, Inc.",1136893,2023-10-04,0,2023-11-07,34.0
"Fidelity National Information Services, Inc.",1136893,2023-11-09,0,2024-02-01,84.0
"Fidelity National Information Services, Inc.",1136893,2023-11-20,0,2024-02-01,73.0
"Cencora, Inc.",1140859,2024-02-21,0,2024-02-27,6.0
"Cencora, Inc.",1140859,2024-04-10,0,2024-04-23,13.0
"Cencora, Inc.",1140859,2024-05-08,0,2024-05-24,16.0
Comcast,1166691,2008-01-29,1,2008-02-04,6.0
"Comcast Cable Communications, Inc.",1166691,2009-05-11,1,2009-06-17,37.0
"Comcast Cable Communications, Inc.",1166691,2009-06-22,1,2009-08-06,45.0
NBC Sports Group,1166691,2012-08-24,0,2012-09-14,21.0
NBC Sports Group,1166691,2013-08-24,0,2013-09-18,25.0
NBC Sports Group,1166691,2013-10-15,0,2013-10-30,15.0
Comcast,1166691,2014-09-29,1,2014-10-09,10.0
NBCUniversal,1166691,2022-01-04,1,2022-01-27,23.0
Comcast Cable Communications LLC,1166691,2023-10-16,1,2023-10-26,10.0
Comcast Cable Communications LLC,1166691,2024-01-26,1,2024-04-15,80.0
Comcast Cable Communications LLC,1166691,2024-02-14,1,2024-04-15,61.0
Comcast Cable Communications LLC,1166691,2024-10-04,1,2024-10-31,27.0
"T-Mobile USA, Inc.",1283699,2009-09-03,1,2009-09-15,12.0
"T-Mobile USA, Inc.",1283699,2009-10-05,1,2009-11-05,31.0
T-Mobile,1283699,2009-10-08,1,2009-11-05,28.0
T-Mobile USA Inc.,1283699,2011-10-21,1,2011-11-01,11.0
T-Mobile,1283699,2012-05-08,1,2012-05-31,23.0
T-Mobile,1283699,2012-08-28,1,2012-10-02,35.0
T-Mobile,1283699,2013-11-01,1,2013-11-05,4.0
"T-Mobile USA, Inc.",1283699,2013-11-26,1,2014-01-06,41.0
"T-Mobile USA, Inc.",1283699,2014-01-02,1,2014-01-06,4.0
"T-Mobile USA, Inc.",1283699,2015-09-14,1,2015-09-18,4.0
T-Mobile USA Inc.,1283699,2015-10-01,1,2015-10-16,15.0
T-Mobile USA Inc,1283699,2015-11-04,1,2015-11-05,1.0
T-Mobile,1283699,2017-04-01,1,2017-04-13,12.0
"T-Mobile USA, Inc.",1283699,2017-08-24,1,2017-09-19,26.0
"T-Mobile USA, Inc.",1283699,2017-09-16,1,2017-09-19,3.0
T-Mobile USA Inc.,1283699,2018-08-20,1,2018-10-30,71.0
T-Mobile USA,1283699,2019-11-26,1,2020-01-07,42.0
Sprint,1283699,2020-04-02,1,2020-04-13,11.0
Sprint,1283699,2020-04-15,1,2020-04-16,1.0
"T-Mobile US, Inc.",1283699,2020-08-27,1,2020-09-17,21.0
T-Mobile,1283699,2020-08-31,1,2020-09-17,17.0
T-Mobile,1283699,2021-01-18,1,2021-02-02,15.0
"T-Mobile USA, Inc.",1283699,2021-02-12,1,2021-03-10,26.0
T-Mobile,1283699,2021-02-20,1,2021-03-10,18.0
"T-Mobile USA, Inc.",1283699,2021-03-01,1,2021-03-10,9.0
T-Mobile,1283699,2021-03-31,1,2021-04-12,12.0
"T-Mobile USA, Inc.",1283699,2021-08-13,1,2021-08-16,3.0
T-Mobile USA,1283699,2021-08-17,1,2021-08-18,1.0
T-Mobile USA,1283699,2021-08-26,1,2021-08-27,1.0
T-Mobile,1283699,2022-03-08,1,2022-04-15,38.0
T-Mobile USA,1283699,2022-11-25,1,2023-01-04,40.0
"T-Mobile USA, Inc.",1283699,2023-02-01,1,2023-02-03,2.0
T-Mobile,1283699,2023-02-24,1,2023-03-10,14.0
T-Mobile USA,1283699,2023-04-28,1,2023-05-01,3.0
Duke Energy Corporation,1326160,2014-03-24,0,2014-04-01,8.0
Duke Energy,1326160,2017-11-10,0,2017-11-15,5.0
Duke Energy Corporation,1326160,2021-05-28,0,2021-06-10,13.0
"Facebook, Inc.",1326801,2008-06-09,0,,
Facebook,1326801,2013-11-24,0,2013-12-23,29.0
Facebook,1326801,2018-03-01,0,2018-04-25,55.0
Facebook,1326801,2018-09-01,0,2018-10-24,53.0
Roku Inc.,1428439,2023-12-01,0,2024-02-15,76.0
Roku Inc,1428439,2023-12-28,0,2024-02-15,49.0
"Roku, Inc.",1428439,2024-02-29,0,2024-04-25,56.0
Twilio,1447669,2022-08-04,1,2022-09-14,41.0
Twilio,1447669,2024-04-01,1,2024-04-04,3.0
"Block and Company, Inc.",1512673,2016-02-01,0,2016-03-09,37.0
"Block and Company, Inc.",1512673,2016-02-09,0,2016-03-09,29.0
"Block and Company, Inc.",1512673,2016-03-21,0,2016-05-05,45.0
Block Inc,1512673,2023-01-12,0,2023-02-23,42.0
"Uber Technologies, Inc.",1543151,2014-05-13,0,,
Uber Technologies,1543151,2015-03-04,0,,
"Uber Technologies, Inc.",1543151,2016-06-16,0,,
Uber Technologies Inc.,1543151,2016-10-01,0,,
"Uber Technologies, Inc.",1543151,2016-10-13,0,,
"Uber Technologies, Inc.",1543151,2016-11-01,0,,
"Uber Technologies, Inc.",1543151,2017-11-01,0,,
"Uber Technologies, Inc.",1543151,2017-11-28,0,,
"Uber Technologies, Inc.",1543151,2017-12-18,0,,
Uber Technologies Inc.,1543151,2018-08-30,0,,
Uber Technologies Inc,1543151,2018-12-06,0,,
"Uber Technologies, Inc.",1543151,2019-10-28,0,2019-11-04,7.0
"Uber Technologies, Inc.",1543151,2023-01-23,0,2023-02-08,16.0
"Uber Technologies, Inc.",1543151,2023-03-31,0,2023-04-21,21.0
"Uber Technologies, Inc.",1543151,2024-08-23,0,2024-09-09,17.0
GoDaddy.com LLC,1609711,2019-10-16,1,2019-11-06,21.0
"GoDaddy.com, LLC",1609711,2021-09-06,1,2021-11-03,58.0
"GoDaddy.com, LLC",1609711,2022-03-14,1,2022-05-04,51.0
"Cable One, Inc.",1632127,2019-03-01,1,2019-03-05,4.0
"Cable One, Inc.",1632127,2019-08-08,1,2019-09-16,39.0
Google Inc.,1652044,2016-03-29,0,2016-04-12,14.0
Google Inc.,1652044,2016-05-06,0,2016-06-10,35.0
Google Inc.,1652044,2016-08-10,0,2016-10-27,78.0
"Google, Inc.",1652044,2017-06-29,0,2017-07-24,25.0
"Okta, Inc.",1660134,2023-09-23,0,2023-11-29,67.0
Okta Inc,1660134,2023-11-02,0,2023-11-29,27.0
"Okta, Inc.",1660134,2023-11-07,0,2023-11-29,22.0
"Altice USA, Inc.",1702780,2019-11-04,1,2019-11-05,1.0
Altice USA,1702780,2024-02-29,1,2024-05-02,63.0
