Model,Window,Window_Col,N,H1_Coef,H1_P,H2_Coef,H2_SE,H2_P,H3_Coef,H3_P,H4_Coef,H4_P,R2
Market Model,30-day CAR (main result),car_30d,648,0.8602214486849261,0.34129057001042196,-2.059303403269971,1.0850741618962472,0.05771640248306609,0.02215046661404843,0.7435200493749934,-0.6279079363532258,0.6972785263329585,0.020157915638966184
Market Model,5-day BHAR,bhar_5d,648,-0.08127952862326585,0.8602039461434361,-0.6567549754051218,0.49738300976426825,0.18669449318684828,-0.012307994681200172,0.7897940873155203,-0.6135241747235852,0.5440182554756221,0.01886004227661975
Market Model,30-day BHAR (significance at p=0.048),bhar_30d,648,0.7554399659199307,0.39857794747116315,-1.9987468393007557,1.011735248112059,0.0482042795486421,0.02507517356740055,0.710449245918104,-0.7535393306718179,0.642472620391531,0.021732615465792082
Carhart 4F,30-day CAR (main result),car_30d,519,0.7266871362444863,0.4691277033958512,-2.141464818444904,1.320507708600182,0.10486800967474713,0.004850090766001336,0.9452525192861991,-1.6778866409844913,0.3281011081185867,0.034455471281224725
Carhart 4F,5-day BHAR,bhar_5d,519,-0.10034202865370767,0.8429948875314358,-0.458085355673498,0.5987903600153347,0.4442608739320869,-0.011954291467583282,0.8323872697900289,-0.8030305782691208,0.4775348501242933,0.04318287883451122
Carhart 4F,30-day BHAR (significance at p=0.048),bhar_30d,519,0.5621896339501241,0.5683633629176081,-2.0643338733918872,1.2261672713886145,0.09226551977865297,0.00912412434210532,0.8965802711643203,-1.8838291832337413,0.2691375978448616,0.03604037422860018
FF5,30-day CAR (main result),car_30d,519,0.7660218538558011,0.4432239198329264,-2.1967170542105516,1.316116291904256,0.09509946764442609,-0.0025310150100577105,0.9715167013940206,-1.6342836357223132,0.3417378919657822,0.03936416450889213
FF5,5-day BHAR,bhar_5d,519,-0.13828151043425385,0.787988515105744,-0.46350617033218183,0.5979640109090891,0.43825659490976254,-0.013290517780651113,0.8234565083142813,-0.9300531425065798,0.40891635174030017,0.047451857911088635
FF5,30-day BHAR (significance at p=0.048),bhar_30d,519,0.6356828082882703,0.5170483281830971,-2.142628804872048,1.2226876297963027,0.07970631594004544,-0.00017700442184184927,0.9979819894611011,-1.8043776421710702,0.28961142909210924,0.043552887317381606
