Era,N_Total,N_FCC,FCC_Mean_CAR,FCC_SE,Non_FCC_Mean,FCC_Minus_NonFCC
FCC 7-Day,589,108,-2.0059083333333336,0.9550820252515905,0.17174615384615385,-2.1776544871794874
SEC 4-Day,59,17,0.2634823529411765,1.0676196486961107,-1.2422785714285716,1.505760924369748
