org_name,breach_date,cik,resolved_cik,resolution_source,resolution_category
"AT&T Services, Inc.",2022-08-30,732717,,,LOST_RESOLUTION
"AT&T Services, Inc.",2014-08-11,732717,,,LOST_RESOLUTION
"AT&T Services, Inc.",2017-01-01,732717,,,LOST_RESOLUTION
"AT&T Services, Inc.",2014-06-05,732717,,,LOST_RESOLUTION
"AT&T Services, Inc.",2017-01-25,732717,,,LOST_RESOLUTION
"AT&T Services, Inc.",2023-03-01,732717,,,LOST_RESOLUTION
"AT&T, Inc.",2019-01-01,732717,732717.0,SEC name: AT&T INC.,CIK_UNCHANGED
ATT-Breach Notification,2014-08-05,732717,,,LOST_RESOLUTION
ATT-Breach Notification,2014-10-16,732717,,,LOST_RESOLUTION
ATT-SecurityBreach,2014-04-09,732717,,,LOST_RESOLUTION
ATT-SecurityBreach2,2013-10-01,732717,,,LOST_RESOLUTION
"Audacy, Inc",2019-08-04,1662742,1067837.0,"SEC name: AUDACY, INC.",CIK_CORRECTED
"Automatic Data Processing, Inc.",2013-04-29,8670,8670.0,SEC name: AUTOMATIC DATA PROCESSING INC,CIK_UNCHANGED
B Capital Group,2023-09-18,927628,,,LOST_RESOLUTION
BBB Industries LLC,2017-03-09,1324404,,,LOST_RESOLUTION
"BBC Industries, Inc.",2020-08-18,1324404,,,LOST_RESOLUTION
"BDP International, Inc.",2021-02-16,5272,,,LOST_RESOLUTION
"Block and Company, Inc.",2016-03-21,1512673,,,LOST_RESOLUTION
"Block and Company, Inc.",2016-02-09,1512673,,,LOST_RESOLUTION
"Block and Company, Inc.",2016-02-01,1512673,,,LOST_RESOLUTION
"Block Electric Company, Inc.",2021-12-08,1512673,,,LOST_RESOLUTION
Block Inc,2023-01-12,1512673,1512673.0,"SEC name: BLOCK, INC.",CIK_UNCHANGED
"Block, Inc.",2023-01-12,1512673,1512673.0,"SEC name: BLOCK, INC.",CIK_UNCHANGED
"Bonland Industries, Inc.",2021-05-23,1324404,,,LOST_RESOLUTION
Boost Mobile,2019-03-14,1283699,1001082.0,Known subsidiary → DISH Network Corporation,CIK_CORRECTED
"Bray International, Inc.",2024-04-17,5272,,,LOST_RESOLUTION
"Brown Construction Services, Inc.",2018-06-14,79282,,,LOST_RESOLUTION
"Brown Integrated Logistics, Inc.",2023-11-13,79282,,,LOST_RESOLUTION
"Brown Paindiris & Scott, LLP",2023-11-07,79282,,,LOST_RESOLUTION
"Brown Paindiris & Scott, LLP",2023-11-01,79282,,,LOST_RESOLUTION
"Brown, Lisle/Cummings, Inc.",2018-04-15,79282,14745.0,"SEC name: BROWN, LISLE/CUMMINGS, INC.",CIK_CORRECTED
Brown-Forman Corporation,2020-07-28,79282,,,LOST_RESOLUTION
"Burrelles Information Services, LLC",2022-03-06,1136893,,,LOST_RESOLUTION
"Cable One, Inc.",2019-08-08,1632127,1632127.0,"SEC name: CABLE ONE, INC.",CIK_UNCHANGED
"Cable One, Inc.",2019-03-01,1632127,1632127.0,"SEC name: CABLE ONE, INC.",CIK_UNCHANGED
