cik,org_name,breach_date,actual_car,synthetic_car,treatment_effect,n_donors,max_weight,hhi_weights
732717,AT&T,2014-04-01,4.7323,-1.3355999508686434,6.067899950868644,523,0.9999999612821222,0.999999922564246
732717,AT&T,2017-01-25,-1.3269,-0.059205288604835565,-1.2676947113951644,523,0.00930956401328592,0.0026251132116098777
732717,AT&T,2013-11-05,-7.863,-0.1616969394553011,-7.701303060544699,523,0.05853526236249901,0.008650400861517877
732717,AT&T,2024-03-17,2.4048,-0.5798280903374569,2.9846280903374565,523,0.011615232095721987,0.0029429380596242855
732717,AT&T,2014-06-11,1.0352,-1.3355999508686434,2.3707999508686433,523,0.9999999612821222,0.999999922564246
732717,AT&T,2014-02-01,-5.2349,0.02766218534881612,-5.262562185348815,523,0.01835864609703335,0.003036233553297191
732717,AT&T,2008-05-23,-6.9862,-0.016468110581111195,-6.969731889418889,523,0.008680126283812956,0.0026405567563227454
732717,AT&T,2014-10-09,-3.7792,-0.16660360482692765,-3.6125963951730724,523,0.05130829599187851,0.007509345639790137
732717,AT&T,2013-01-01,-0.8353,-0.1920954706700454,-0.6432045293299546,523,0.007824829121929512,0.002282854948974034
732717,AT&T,2012-01-01,-6.7237,-0.20626630855861633,-6.517433691441384,523,0.005338006222476858,0.0021688021086695357
732717,AT&T,2022-06-01,4.8176,-0.18624697378418567,5.003846973784185,523,0.022339445358658713,0.003790589848011232
732717,AT&T Inc,2024-04-09,-0.3367,-0.4440032838887152,0.10730328388871518,523,0.014034454853598412,0.0029905723925869885
732717,AT&T Inc.,2024-03-17,2.4048,-0.5798280903374569,2.9846280903374565,523,0.011615232095721987,0.0029429380596242855
732717,AT&T Inc.,2024-03-26,2.1591,-0.5798280903374569,2.738928090337457,523,0.011615232095721987,0.0029429380596242855
732717,AT&T Inc.,2024-04-10,1.9726,-0.4440032838887152,2.416603283888715,523,0.014034454853598412,0.0029905723925869885
732717,AT&T Inc.,2024-04-14,2.4085,-0.4440032838887152,2.852503283888715,523,0.014034454853598412,0.0029905723925869885
732717,AT&T Services,2017-02-01,-3.1862,-0.059205288604835565,-3.1269947113951644,523,0.00930956401328592,0.0026251132116098777
732717,AT&T Services Inc.,2014-04-01,4.7323,-1.3355999508686434,6.067899950868644,523,0.9999999612821222,0.999999922564246
732717,"AT&T Services, Inc.",2022-08-30,-6.1771,-0.2552656400876118,-5.921834359912388,523,0.022965558947006845,0.0034694166763142784
732717,"AT&T Services, Inc.",2017-01-01,-7.6619,-0.059205288604835565,-7.602694711395165,523,0.00930956401328592,0.0026251132116098777
732717,"AT&T Services, Inc.",2014-06-05,1.6974,-1.3355999508686434,3.0329999508686436,523,0.9999999612821222,0.999999922564246
732717,"AT&T Services, Inc.",2017-01-25,-1.3269,-0.059205288604835565,-1.2676947113951644,523,0.00930956401328592,0.0026251132116098777
732717,"AT&T Services, Inc.",2023-03-01,3.6151,-0.2430113592553489,3.858111359255349,523,0.0037813736421001497,0.0020483379913421337
732717,"AT&T, Inc.",2019-01-01,-4.4923,-0.07992830558035385,-4.4123716944196465,523,0.013162363099585964,0.0028102099596181577
732717,ATT-Breach Notification,2014-08-05,-4.3326,0.2375999805263943,-4.570199980526395,523,0.9999999613502918,0.999999922700585
732717,ATT-Breach Notification,2014-10-16,-5.4932,-0.16660360482692765,-5.326596395173072,523,0.05130829599187851,0.007509345639790137
732717,ATT-SecurityBreach,2014-04-09,-1.3356,-1.3355999508686434,-4.9131356538723026e-08,523,0.9999999612821222,0.999999922564246
732717,ATT-SecurityBreach2,2013-10-01,1.1715,-0.1616969394553011,1.3331969394553012,523,0.05853526236249901,0.008650400861517877
1283699,Boost Mobile,2019-03-14,3.5514,0.012739115898521947,3.5386608841014784,523,0.013641422948783738,0.002930147183269777
1632127,"Cable One, Inc.",2019-08-08,0.0418,-0.0930597793778701,0.1348597793778701,523,0.05669669934779993,0.005639049148320265
1632127,"Cable One, Inc.",2019-03-01,2.9841,-0.037760522538464514,3.0218605225384647,523,0.009530260711616707,0.0024872974180370298
18926,CenturyLink Communications,2020-08-20,-12.3889,-0.14894852968453715,-12.239951470315463,523,0.01046802188410387,0.0026592244154451826
18926,Centurylink Communications,2022-03-15,-2.7318,-0.06952923417216353,-2.662270765827836,523,0.014578551997667147,0.002814943700878363
1091667,Charter Communication,2014-09-30,-7.9306,0.09905974190631259,-8.029659741906313,523,0.01095020805667311,0.002655261549514035
1091667,Charter Communications,2008-08-11,-13.1825,0.08576914177473136,-13.26826914177473,523,0.007095721809993892,0.002019562531310624
1091667,Charter Communications,2022-12-21,19.1859,-0.09943091224614317,19.285330912246142,523,0.01459038926059313,0.004237758571964908
1091667,"Charter Communications, Inc.",2023-09-01,7.5042,-0.20055714013282083,7.704757140132821,523,0.011426653790236265,0.00423545403832264
1091667,"Charter Communications, Inc.",2013-04-26,7.5148,-0.10434504297445801,7.619145042974458,523,0.01568376048899677,0.0026964868794094963
1091667,"Charter Communications, Inc.",2008-07-14,1.2061,0.08576914177473136,1.1203308582252687,523,0.007095721809993892,0.002019562531310624
1091667,"Charter Communications, Inc.",2014-01-21,-7.3331,-0.08941614165769848,-7.243683858342301,523,0.021882407060725296,0.003433687555901268
1091667,"Charter Communications, Inc.",2023-01-01,9.0761,-0.20787559225096627,9.283975592250966,523,0.012587093325237997,0.004296271852021553
1166691,Comcast,2014-09-29,-3.954,-0.2599703939330983,-3.694029606066902,523,0.02141473854007675,0.0032973519617682315
1166691,Comcast,2008-01-29,12.6734,0.10256551975154088,12.57083448024846,523,0.018610657185578392,0.002958396493135131
