nk,org_name,norm_name,breach_date,cik,car_canon,fcc_canon,in_crsp,in_reg
T MOBILE USA|2023-02-01,"T-Mobile USA, Inc.",T MOBILE USA,2023-02-01,1283699,-1.4896,1.0,True,True
T MOBILE USA|2023-02-01,"T-Mobile, USA",T MOBILE USA,2023-02-01,1283699,-1.4896,1.0,True,True
UBER TECHNOLOGIES|2016-10-01,Uber Technologies Inc.,UBER TECHNOLOGIES,2016-10-01,1543151,,0.0,False,False
UBER TECHNOLOGIES|2016-10-01,"Uber Technologies, Inc.",UBER TECHNOLOGIES,2016-10-01,1543151,,0.0,False,False
UBER TECHNOLOGIES|2023-01-23,Uber Technologies Inc,UBER TECHNOLOGIES,2023-01-23,1543151,12.2579,0.0,True,True
UBER TECHNOLOGIES|2023-01-23,"Uber Technologies, Inc.",UBER TECHNOLOGIES,2023-01-23,1543151,12.2579,0.0,True,True
VERIZON COMMUNICATIONS|2023-09-21,Verizon Communications,VERIZON COMMUNICATIONS,2023-09-21,732712,11.8399,0.0,True,True
VERIZON COMMUNICATIONS|2023-09-21,Verizon Communications Inc,VERIZON COMMUNICATIONS,2023-09-21,732712,11.8399,0.0,True,True
VERIZON COMMUNICATIONS|2023-09-21,Verizon Communications Inc.,VERIZON COMMUNICATIONS,2023-09-21,732712,11.8399,0.0,True,True
YAHOO|2013-08-01,Yahoo! Inc.,YAHOO,2013-08-01,1011006,3.5463,0.0,True,False
YAHOO|2013-08-01,"Yahoo, Inc.",YAHOO,2013-08-01,1011006,3.5463,0.0,True,False
YAHOO|2014-12-01,Yahoo,YAHOO,2014-12-01,1011006,-5.5411,0.0,True,False
YAHOO|2014-12-01,Yahoo! Inc.,YAHOO,2014-12-01,1011006,-5.5411,0.0,True,False
