Hypothesis,Coefficient_pp,Std_Error_pp,p_value,CI_lower_pp,CI_upper_pp,MDE_80pct_pp,TOST_p,Bounded,CI_inside_bounds,N
H1,0.6140400429007239,0.8728270685699572,0.48173978143628327,-1.0966695762280643,2.3247496620295123,2.44391579199588,0.04457664791951507,YES,False,648
H2,-0.4233832455201272,0.754443453474025,0.5746706178867229,-1.9020652427012361,1.0552987516609817,2.1124416697272697,0.013305141611112736,YES,True,648
H3,0.03149342978503509,0.06831866550667932,0.644814095069977,-0.10240869407989528,0.16539555364996544,0.1912922634187021,6.063270150237466e-126,YES,True,648
H4,-0.39012955909257985,1.6341364257597302,0.8113091773309596,-3.592978099406663,2.8127189812215034,4.575581992127244,0.1478983991484093,NO,False,648
