Window_Days,Total_FCC_Breaches,Breaches_With_Overlap,Pct_With_Overlap,Max_Overlapping_Events
30,139,77,55.39568345323741,5
60,139,95,68.34532374100719,6
90,139,101,72.66187050359713,7
