Window,Window_Days,N,H1_Coef,H1_P,H2_Coef,H2_SE,H2_P,H3_Coef,H3_P,H4_Coef,H4_P,R2
BHAR 5-day,5,648,-0.08127952862326585,0.8602039461434361,-0.6567549754051218,0.49738300976426825,0.18669449318684828,-0.012307994681200172,0.7897940873155203,-0.6135241747235852,0.5440182554756221,0.01886004227661975
BHAR 30-day (CAR comparison),30,648,0.7554399659199307,0.39857794747116315,-1.9987468393007557,1.011735248112059,0.0482042795486421,0.02507517356740055,0.710449245918104,-0.7535393306718179,0.642472620391531,0.021732615465792082
BHAR 60-day (Persistence),60,643,1.4883869299999393,0.2963000974737383,-3.752088743065164,1.6261177663547712,0.021033058407603646,0.1750597462235944,0.22088922464390714,-1.9233999116326355,0.5515026451365588,0.018784147204293333
BHAR 90-day (Persistence),90,641,0.8699260130850254,0.6301497188196115,-4.488210238883619,2.0146266240673194,0.025893025487511125,0.1782117133074845,0.44325434437809597,-7.616369322722681,0.024930548091542305,0.025008235531734924
