Metric,Value
interaction_coef,-1.7827990962677638
interaction_p,0.2976312767724949
contrast_diff,-2.2341773368687647
contrast_p,0.22761291173083764
car5d_timing_coef,-0.21175249220431655
car5d_timing_p,0.6400221876466647
car5d_N,648.0
overlap_n,87.0
overlap_share,0.7565217391304347
