org_name,cik,match_type,source
Dell Inc.,826083.0,EXACT_UNAMBIGUOUS,SEC name: DELL COMPUTER CORP
"Delta Air Lines, Inc.",27904.0,EXACT_UNAMBIGUOUS,SEC name: DELTA AIR LINES INC /DE/
DoorDash Inc.,1792789.0,EXACT_UNAMBIGUOUS,SEC name: DOORDASH INC
"Eagle Capital Management, LLC",,EXACT_AMBIGUOUS,"Multiple CIKs: [945631, 1600746]"
EatStreet,1560142.0,EXACT_UNAMBIGUOUS,"SEC name: EATSTREET, INC."
Entercom Communications Corp.,1067837.0,EXACT_UNAMBIGUOUS,"SEC name: AUDACY, INC."
"Equifax, Inc.",33185.0,EXACT_UNAMBIGUOUS,SEC name: EQUIFAX INC
"Essex Property Trust, Inc.",920522.0,EXACT_UNAMBIGUOUS,SEC name: ESSEX PORTFOLIO LP
Facebook,1326801.0,EXACT_UNAMBIGUOUS,SEC name: FACEBOOK INC
"Facebook, Inc.",1326801.0,EXACT_UNAMBIGUOUS,SEC name: FACEBOOK INC
"FedEx Ground Package System, Inc.",,EXACT_AMBIGUOUS,"Multiple CIKs: [1139209, 1139210]"
"Fidelity National Information Services, Inc.",,EXACT_AMBIGUOUS,"Multiple CIKs: [1136893, 1291080]"
Fiserv,798354.0,EXACT_UNAMBIGUOUS,SEC name: FISERV INC
"Fiserv, Inc.",798354.0,EXACT_UNAMBIGUOUS,SEC name: FISERV INC
Fox Entertainment Group,,EXACT_AMBIGUOUS,"Multiple CIKs: [1068002, 1321244]"
Fox Entertainment Group Inc.,,EXACT_AMBIGUOUS,"Multiple CIKs: [1068002, 1321244]"
Fox Group,1145813.0,EXACT_UNAMBIGUOUS,SEC name: FOX GROUP INC
Freeport-McMoRan Inc.,,EXACT_AMBIGUOUS,"Multiple CIKs: [351116, 831259]"
"Frontier Communications Parent, Inc.",20520.0,EXACT_UNAMBIGUOUS,SEC name: CITIZENS COMMUNICATIONS CO
"General Mills, Inc.",40704.0,EXACT_UNAMBIGUOUS,SEC name: GENERAL MILLS INC
Global Payments Inc.,1123360.0,EXACT_UNAMBIGUOUS,SEC name: GLOBAL PAYMENTS INC
"Global Payments, Inc.",1123360.0,EXACT_UNAMBIGUOUS,SEC name: GLOBAL PAYMENTS INC
GoDaddy,1609711.0,EXACT_UNAMBIGUOUS,SEC name: GODADDY INC.
Google,,EXACT_AMBIGUOUS,"Multiple CIKs: [1136101, 1288776, 1302837, 1824723]"
Google Inc.,,EXACT_AMBIGUOUS,"Multiple CIKs: [1136101, 1288776, 1302837, 1824723]"
"Google, Inc.",,EXACT_AMBIGUOUS,"Multiple CIKs: [1136101, 1288776, 1302837, 1824723]"
Gray Television,43196.0,EXACT_UNAMBIGUOUS,SEC name: GRAY COMMUNICATIONS SYSTEMS INC /GA/
Gray Television Inc,43196.0,EXACT_UNAMBIGUOUS,SEC name: GRAY COMMUNICATIONS SYSTEMS INC /GA/
"Gray Television, Inc.",43196.0,EXACT_UNAMBIGUOUS,SEC name: GRAY COMMUNICATIONS SYSTEMS INC /GA/
"HBP, Inc.",1168812.0,EXACT_UNAMBIGUOUS,SEC name: HBP INC
"Henry Schein, Inc.",1000228.0,EXACT_UNAMBIGUOUS,SEC name: HENRY SCHEIN INC
"Herbalife International of America, Inc.",1205274.0,EXACT_UNAMBIGUOUS,SEC name: HERBALIFE INTERNATIONAL OF AMERICA INC
Hewlett Packard Company,47217.0,EXACT_UNAMBIGUOUS,SEC name: HEWLETT PACKARD CO
Hewlett Packard Enterprise Company,1645590.0,EXACT_UNAMBIGUOUS,SEC name: HEWLETT PACKARD ENTERPRISE CO
Hewlett-Packard Company,47217.0,EXACT_UNAMBIGUOUS,SEC name: HEWLETT PACKARD CO
Home Box Office,1457937.0,EXACT_UNAMBIGUOUS,"SEC name: HOME BOX OFFICE, INC."
"Home Box Office, Inc.",1457937.0,EXACT_UNAMBIGUOUS,"SEC name: HOME BOX OFFICE, INC."
Honeywell International Inc.,773840.0,EXACT_UNAMBIGUOUS,SEC name: ALLIED SIGNAL INC
"Honeywell International, Inc.",773840.0,EXACT_UNAMBIGUOUS,SEC name: ALLIED SIGNAL INC
"Huntington Ingalls Industries, Inc.",1501585.0,EXACT_UNAMBIGUOUS,"SEC name: HUNTINGTON INGALLS INDUSTRIES, INC."
"IMA Financial Group, Inc.",1673769.0,EXACT_UNAMBIGUOUS,"SEC name: IMA FINANCIAL GROUP, INC."
International Paper Company,1283246.0,EXACT_UNAMBIGUOUS,SEC name: INTERNATIONAL PAPER CO
Intuit,896878.0,EXACT_UNAMBIGUOUS,SEC name: INTUIT INC
Intuit Inc,896878.0,EXACT_UNAMBIGUOUS,SEC name: INTUIT INC
Intuit Inc.,896878.0,EXACT_UNAMBIGUOUS,SEC name: INTUIT INC
"Intuit, Inc.",896878.0,EXACT_UNAMBIGUOUS,SEC name: INTUIT INC
"J.B. Hunt Transport, Inc.",1501362.0,EXACT_UNAMBIGUOUS,"SEC name: J.B. HUNT TRANSPORT, INC."
KeraLink International,1826210.0,EXACT_UNAMBIGUOUS,"SEC name: KERALINK INTERNATIONAL, INC."
LPL Financial LLC,,EXACT_AMBIGUOUS,"Multiple CIKs: [80386, 1403438]"
"Leidos, Inc.",353394.0,EXACT_UNAMBIGUOUS,"SEC name: LEIDOS, INC."
