window,mean_car,se,pval,n
Day -30 to -21,-0.05352859350850074,0.21063620137696118,0.7995483166876426,647
Day -20 to -11,0.1503213292117466,0.21767839292439745,0.4901738920210341,647
Day -10 to -2,0.0988797527047914,0.20776406020100113,0.6343911958509052,647
Day -1,,,,647
