label,n,coef,pval
Full sample,648,0.8602214486849261,0.34129057001042196
Exclude largest decile,583,0.6789766639759749,0.4868588559995657
Exclude smallest decile,583,0.22334238599132747,0.7986979623356425
Exclude outliers (3 SD),637,0.2509775384300682,0.7514018866071291
Prior breach history,280,0.7415434016818652,0.4248241471141404
