Specification,Window,N,Method,H1_Coef,H1_P,H2_Coef,H2_P,H3_Coef,H3_P,H4_Coef,H4_P
Full Sample,60d CAR,643,HC3 (clustering failed),2.0379919675409393,0.13510909474145086,-3.8578837853390042,0.03367036569917887,0.22063442576292097,0.052157358411261685,-2.883280825012582,0.37382694057144383
Full Sample,90d CAR,641,HC3 (clustering failed),1.0224975442005524,0.6061576369474303,-5.408178282162717,0.037213786661453634,0.2580335641255404,0.20441790863450682,-8.149563474371433,0.011397622689375332
Non-Overlapping,60d CAR,526,HC3 Robust,2.0746012578677835,0.18732120364181049,-12.552611021806772,0.2607438569442093,0.14694041758477763,0.09498351104431008,-2.878794454290475,0.37237697672449277
Non-Overlapping,90d CAR,525,HC3 Robust,2.339045215716234,0.23436831300820027,-11.530475285911887,0.4702755644041373,0.15121493251861726,0.33201609255026,-7.960577412863711,0.01225725728064903
