org_name,record_count
Sony Network Entertainment America Inc.,1
Sony Online Entertainment LLC,1
Sony Pictures,1
Sony Pictures Entertainment Inc,1
Sony Pictures Entertainment Inc.,1
Sorenson Communications,1
Southwest Binding & Laminating,1
Spotify USA Inc.,1
"Student Transportation of America, Inc.",1
Suddenlink Communications,1
"Sumner Communications, Inc.",1
"Superior Communications, Inc.",1
"SupraNet Communications, Inc.",1
"SysInformation Healthcare Services, LLC",1
Sysco Corporation,1
"T.R.A. Industries, Inc.",1
"TDC Financial, Inc.",1
"Tedder Industries, LLC",1
The Delta Companies,1
"The Mosaic Tile Company of Virginia, Inc.",1
TimeWarner,1
Tri Delta,1
"Truly Nolen of America, Inc.",1
"US Claims Capital, LLC",1
"USA Waste-Management Resources, LLC",1
Vance Street Capital,1
Verizon Corporate Services Group Inc.,1
Verizon Media,1
WERCS d/b/a Wyoming Financial Group,1
"WM Waste Management, Inc.",1
Wabtec Corporation,1
Warner Bros. Distributing Inc.,1
"Warner Music, Inc.",1
"Western Union Financial Services, Inc.",1
Wiedenbach Brown,1
"Window to the World Communications, Inc.",1
"Woodward Communications, Inc.",1
Xerox Corporation,1
Yahoo! Voices,1
iHeart Media Inc,1
"oneZero Financial Systems, LLC",1
