Variable,Coefficient,SE,P_value
immediate_disclosure,0.035002921904790846,0.038420969229764915,0.36227591503712653
fcc_reportable,-0.018439385689183817,0.0467604364089714,0.6933320053993677
prior_breaches_1yr,-0.00522278673231865,0.0029423921603861296,0.07589560621555898
health_breach,0.010129619552704208,0.06300467556058499,0.8722700806192395
firm_size_log,0.03662228145379021,0.01737720274324973,0.03507512538692212
leverage,-0.05694314884093323,0.06652130942527938,0.39199022960068464
roa,-0.10132467455440214,0.6616117391753218,0.8782813731741368
