org_name,breach_date,reported_date,prc_status,survives_to_333,treated,event_breach_date,event_composition,primary_source,source_url,verification_date
Carnival Corporation,2021-03-19 00:00:00,2021-05-25 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,YES,0,2021-03-19,ALL RECORDS MISSING FROM PRC,,,
Microsoft Corporation,2022-03-01 00:00:00,2022-03-22 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,YES,0,2022-03-01,ALL RECORDS MISSING FROM PRC,,,
Snap-on Incorporated,2022-03-01 00:00:00,2022-04-08 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,YES,0,2022-03-01,MIXED (1/3 records missing),,,
"CrowdStrike Holdings, Inc.",2022-04-01 00:00:00,2022-05-15 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,YES,0,2022-04-01,ALL RECORDS MISSING FROM PRC,,,
Microsoft Corporation,2022-09-24 00:00:00,2022-10-19 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,YES,0,2022-09-24,ALL RECORDS MISSING FROM PRC,,,
"Fidelity National Information Services, Inc.",2023-05-27 00:00:00,2023-08-11 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,YES,0,2023-05-27,MIXED (2/4 records missing),,,
"Fidelity National Information Services, Inc.",2023-05-27 00:00:00,2023-08-11 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,YES,0,2023-05-27,MIXED (2/4 records missing),,,
Nuance Communications Inc,2023-05-28 00:00:00,2023-09-19 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,YES,0,2023-05-28,MIXED (1/5 records missing),,,
The Est̩e Lauder Companies Inc.,2023-05-30 00:00:00,2023-10-18 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,YES,0,2023-05-30,ALL RECORDS MISSING FROM PRC,,,
Honeywell International Inc.,2023-06-03 00:00:00,2023-09-18 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,YES,0,2023-06-03,ALL RECORDS MISSING FROM PRC,,,
The Est̩e Lauder Companies Inc.,2023-07-11 00:00:00,2023-08-31 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,YES,0,2023-07-11,ALL RECORDS MISSING FROM PRC,,,
Roku Inc,2023-12-28 00:00:00,2023-12-28 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,YES,0,2023-12-28,MIXED (1/2 records missing),,,
Snowflake Inc.,2024-03-01 00:00:00,2024-03-01 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,YES,0,2024-03-01,ALL RECORDS MISSING FROM PRC,,,
Snowflake Inc.,2024-04-14 00:00:00,2024-05-23 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,YES,0,2024-04-14,ALL RECORDS MISSING FROM PRC,,,
ServiceNow Inc.,2024-05-14 00:00:00,2024-05-14 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,YES,0,2024-05-14,ALL RECORDS MISSING FROM PRC,,,
CrowdStrike Holdings Inc.,2024-07-19 00:00:00,2024-07-19 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,YES,0,2024-07-19,ALL RECORDS MISSING FROM PRC,,,
The Est̩e Lauder Companies Inc.,2023-05,2023-10-19 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,YES,0,2023-05-01,ALL RECORDS MISSING FROM PRC,,,
"Activision Publishing, Inc.",2012-08-01 00:00:00,2012-08-09 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Intuit, Inc.",2016-03-23 00:00:00,2016-04-28 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Uber Technologies, Inc.",2016-11-01 00:00:00,2017-11-01 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
BBB Industries LLC,2017-03-09 00:00:00,2017-03-13 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,NO,,,,,,
Facebook,2018-03-01 00:00:00,2018-03-17 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"SVAM International, Inc.",2018-04-24 00:00:00,2018-07-26 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
Coca-Cola Bottling Company of Northern New England,2018-06-02 00:00:00,2018-10-01 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
Facebook,2018-09-01 00:00:00,2018-09-28 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Window to the World Communications, Inc.",2018-12-18 00:00:00,2021-01-11 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
Impact Mobile Home Communities,2019-07-01 00:00:00,2020-05-11 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Audacy, Inc",2019-08-04 00:00:00,2020-03-01 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
PayPal Inc.,2019-08-08 00:00:00,2019-09-09 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
Sprint Corporation,2019-08-13 00:00:00,2020-04-03 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Rochester Industries Placement, Inc.",2019-10-16 00:00:00,2022-01-03 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
Prime Communications,2019-12-11 00:00:00,2020-05-22 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
Communications & Power Industries LLC,2020-01-18 00:00:00,2020-04-24 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Healthcare Fiscal Management, Inc.",2020-04-13 00:00:00,2020-06-26 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
FGX International Inc.,2020-05-07 00:00:00,2020-09-23 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
PULAU Corporation,2020-06-11 00:00:00,2020-08-31 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
Brown-Forman Corporation,2020-07-28 00:00:00,2021-04-01 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
Warner Music Group,2020-08-05 00:00:00,2020-09-04 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
Carnival Corporation & plc,2020-08-15 00:00:00,2020-10-20 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
