Window,Days,N,FCC_Coef,FCC_SE,FCC_P,R_squared
Strategy 5-day,5,648,-0.6567549754051218,0.49738300976426825,0.18669449318684828,0.01886004227661975
Strategy 30-day (CAR comparison),30,648,-1.9987468393007557,1.011735248112059,0.0482042795486421,0.021732615465792082
