y,n,G,G1,coef,se_hc3,p_hc3,se_cv1,p_cv1,se_cv3,p_cv3,ci_cv3_lo,ci_cv3_hi,mde80_cv3,treated_mean,control_mean,p_wcr,B_wcr,ci_wcr_lo,ci_wcr_hi,G_star_x,cluster_size_cv,window,panel,mde80,G_star_y,control_rate,mde_over_control,mde_exceeds_control_rate,ame,se_cluster,p,ci_lo,ci_hi,converged,iterations,max_fitted_p,separation_flag,warnings_verbatim,term,is_treatment,t,df,family
,405.0,119.0,,0.288334,,,,,0.509647,0.5726,,,,,,,,,,,,90,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.720906,1.297574,,,,,,roa,False,0.5658,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
,405.0,119.0,,0.035324,,,,,0.041345,0.3946,,,,,,,,,,,,90,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.04655,0.117197,,,,,,baseline_exec_rate_py_rd,False,0.8544,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
,405.0,119.0,,-0.10776,,,,,0.091759,0.2426,,,,,,,,,,,,90,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.289467,0.073947,,,,,,prior12m_mktadj_ret_rd,False,-1.1744,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
,405.0,119.0,,-0.009342,,,,,0.295446,0.9748,,,,,,,,,,,,180,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.594404,0.575721,,,,,,(intercept),False,-0.0316,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
,405.0,119.0,,0.023253,,,,,0.099634,0.8159,,,,,,,,,,,,180,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.17405,0.220556,,,,,,fcc_form499,True,0.2334,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
,405.0,119.0,,0.0072,,,,,0.01164,0.5374,,,,,,,,,,,,180,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.015851,0.030251,,,,,,prior_breaches_1yr,False,0.6185,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
,405.0,119.0,,-0.037235,,,,,0.098612,0.7064,,,,,,,,,,,,180,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.232515,0.158044,,,,,,health_breach,False,-0.3776,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
,405.0,119.0,,0.025452,,,,,0.026664,0.3418,,,,,,,,,,,,180,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.027349,0.078253,,,,,,firm_size_log,False,0.9546,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
,405.0,119.0,,-0.019215,,,,,0.195396,0.9218,,,,,,,,,,,,180,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.406153,0.367723,,,,,,leverage,False,-0.0983,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
,405.0,119.0,,0.035124,,,,,0.410465,0.932,,,,,,,,,,,,180,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.777708,0.847956,,,,,,roa,False,0.0856,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
,405.0,119.0,,-0.006027,,,,,0.041362,0.8844,,,,,,,,,,,,180,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.087934,0.07588,,,,,,baseline_exec_rate_py_rd,False,-0.1457,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
,405.0,119.0,,-0.101377,,,,,0.106907,0.3449,,,,,,,,,,,,180,"control coefficients (CV3; DESCRIPTIVE, not tests, not in BH)",,,,,,,,,-0.313081,0.110328,,,,,,prior12m_mktadj_ret_rd,False,-0.9483,118.0,"DESCRIPTIVE: not a hypothesis test, not in the BH count"
