window,group,n,any_502,any_502_rate,exec_departure,exec_rate,ceo_departure,ceo_rate,director_only,director_rate,filing_no_exec,filing_no_exec_over_all_events,filing_no_exec_over_filers
30,treated,109,26,0.2385,4,0.0367,0,0.0,8,0.0734,22,0.2018,0.8462
30,control,296,40,0.1351,13,0.0439,1,0.0034,4,0.0135,27,0.0912,0.675
30,POOLED,405,66,0.163,17,0.042,1,0.0025,12,0.0296,49,0.121,0.7424
90,treated,109,56,0.5138,11,0.1009,3,0.0275,18,0.1651,45,0.4128,0.8036
90,control,296,123,0.4155,43,0.1453,8,0.027,20,0.0676,80,0.2703,0.6504
90,POOLED,405,179,0.442,54,0.1333,11,0.0272,38,0.0938,125,0.3086,0.6983
180,treated,109,82,0.7523,33,0.3028,8,0.0734,21,0.1927,49,0.4495,0.5976
180,control,296,197,0.6655,73,0.2466,24,0.0811,56,0.1892,124,0.4189,0.6294
180,POOLED,405,279,0.6889,106,0.2617,32,0.079,77,0.1901,173,0.4272,0.6201
