round,source_file,variant,sample,field,n,agreement,kappa,ref_Y,clf_Y,both_Y,clf_only_Y,ref_only_Y,precision,recall,ref_positives,clf_positives,tp,fp,fn,precision_ci95,recall_ci95,scoring,excluded_unclear,panel,stratum
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_agreement.csv,,,exec departure (A),75,0.92,0.8355,33.0,29.0,,,,0.9655,0.8485,,,28.0,1.0,5.0,"[0.822, 0.999]","[0.681, 0.949]",SECONDARY (blind),5.0,agreement,
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_agreement.csv,,,exec departure (A),80,0.8625,0.7212,38.0,29.0,,,,0.9655,0.7368,,,28.0,1.0,10.0,"[0.822, 0.999]","[0.569, 0.866]",SENSITIVITY unclear->Y,0.0,agreement,
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_agreement.csv,,,exec departure (B: restated->N vs new-only),77,0.9091,0.8053,30.0,27.0,,,,0.9259,0.8333,,,25.0,2.0,5.0,"[0.757, 0.991]","[0.653, 0.944]",PRIMARY (verified),3.0,agreement,
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_agreement.csv,,,exec departure (B: restated->N vs new-only),80,0.875,0.7349,33.0,27.0,,,,0.9259,0.7576,,,25.0,2.0,8.0,"[0.757, 0.991]","[0.577, 0.889]",SENSITIVITY unclear->Y,0.0,agreement,
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_agreement.csv,,,CEO departure,79,0.9241,0.5298,7.0,7.0,,,,0.5714,0.5714,,,4.0,3.0,3.0,"[0.184, 0.901]","[0.184, 0.901]",PRIMARY (verified),1.0,agreement,
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_agreement.csv,,,CEO departure,78,0.9359,0.5806,6.0,7.0,,,,0.5714,0.6667,,,4.0,3.0,2.0,"[0.184, 0.901]","[0.223, 0.957]",SECONDARY (blind),2.0,agreement,
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_agreement.csv,,,CEO departure,80,0.9125,0.4853,8.0,7.0,,,,0.5714,0.5,,,4.0,3.0,4.0,"[0.184, 0.901]","[0.157, 0.843]",SENSITIVITY unclear->Y,0.0,agreement,
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_agreement.csv,,,director-only departure,80,0.9375,0.7462,12.0,11.0,,,,0.8182,0.75,,,9.0,2.0,3.0,"[0.482, 0.977]","[0.428, 0.945]",PRIMARY (verified),0.0,agreement,
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_agreement.csv,,,director-only departure,80,0.9375,0.7462,12.0,11.0,,,,0.8182,0.75,,,9.0,2.0,3.0,"[0.482, 0.977]","[0.428, 0.945]",SENSITIVITY unclear->Y,0.0,agreement,
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_agreement.csv,,,pre-announced,80,0.8125,0.632,41.0,29.0,,,,0.9655,0.6829,,,28.0,1.0,13.0,"[0.822, 0.999]","[0.519, 0.819]",PRIMARY (verified),0.0,agreement,
