final_cik,breach_date,org_name,treated,gvkey,matched_ticker,firm_size_log,firm_size_log_tic,firm_size_log_v3,leverage,leverage_tic,leverage_v3,roa,roa_tic,roa_v3,op_margin,op_margin_tic,op_margin_v3
68505,2009-01-01,"Motorola, Inc.",0,007585,,10.2353,,,0.6589,,,-0.1523,,,0.0233,,
68505,2009-02-17,"Motorola, Inc.",0,007585,,10.2353,,,0.6589,,,-0.1523,,,0.0233,,
69960,2016-01-01,NCH Corporation,0,007646,,,,,,,,,,,,,
69960,2018-11-30,NCH Corporation,0,007646,,,,,,,,,,,,,
69960,2021-03-02,NCH Corporation,0,007646,,,,,,,,,,,,,
1133421,2016-04-18,Northrop Grumman Systems Corporation,0,007985,,10.1045,,,0.7742,,,0.0814,,,0.1506,,
73309,2023-05-26,Nucor Corporation,0,008030,NUE,10.3884,10.3884,10.3884,0.3975,0.3975,0.3975,0.2342,0.2342,0.2342,0.2787,0.2787,0.2787
73309,2025-05-03,Nucor Corporation,0,008030,NUE,10.4323,10.4323,10.4323,0.369,0.369,0.369,0.0597,0.0597,0.0597,0.141,0.141,0.141
73756,2024-01-01,"Oceaneering International, Inc.",0,008079,,7.7138,,,0.7168,,,0.0435,,,0.1181,,
75362,2018-01-22,PACCAR,0,008253,PCAR,10.0622,10.0622,10.0622,0.6566,0.6566,0.6566,0.0715,0.0715,0.0715,0.1748,0.1748,0.1748
76334,2022-03-11,Parker-Hannifin Corporation,0,008358,PH,9.9204,9.9204,9.9204,0.5864,0.5864,0.5864,0.0858,0.0858,0.0858,0.2111,0.2111,0.2111
77476,2021-02-24,"PepsiCo, Inc.",0,008479,PEP,11.4395,11.4395,11.4395,0.8542,0.8542,0.8542,0.0766,0.0766,0.0766,0.1859,0.1859,0.1859
78003,2006-12-01,Pfizer Inc,0,008530,PFE,11.6747,11.6747,11.6747,0.4418,0.4418,0.4418,0.0688,0.0688,0.0688,0.4077,0.4077,0.4077
80172,2025-03-01,"National Presto Industries, Inc.",0,007762,,6.1168,,,0.1892,,,0.0914,,,0.1295,,
88128,2013-09-06,CSX Transportation,0,009537,,,,,,,,,,,,,
88128,2013-10-07,CSX Transportation,0,009537,,,,,,,,,,,,,
88128,2020-12-25,"CSX Transportation, Inc.",0,009537,,,,,,,,,,,,,
90143,2022-06-10,Sierra Pacific Industries,0,009690,,,,,,,,,,,,,
91419,2010-04-05,The J.M. Smucker Company,0,009777,SJM,9.0109,9.0109,9.0109,0.397,0.397,0.397,0.0325,0.0325,0.0325,0.1743,0.1743,0.1743
91440,2022-03-01,Snap-on Incorporated,0,009778,SNA,8.8187,8.8187,8.8187,0.3781,0.3781,0.3781,0.1214,0.1214,0.1214,0.2669,0.2669,0.2669
92380,2017-10-01,Southwest Airlines Co.,0,009882,LUV,10.0556,10.0556,10.0556,0.6375,0.6375,0.6375,0.0964,0.0964,0.0964,0.246,0.246,0.246
92380,2018-03-01,Southwest Airlines Co.,0,009882,LUV,10.131,10.131,10.131,0.5846,0.5846,0.5846,0.1389,0.1389,0.1389,0.2314,0.2314,0.2314
96021,2023-01-14,Sysco Corporation,0,010247,SYY,10.0027,10.0027,10.0027,0.936,0.936,0.936,0.0615,0.0615,0.0615,0.0481,0.0481,0.0481
101830,2009-02-01,Sprint Nextel,1,010984,S,10.9725,,10.9725,0.6634,,0.6634,-0.048,,-0.048,0.2151,,0.2151
101830,2009-01-01,Sprint Nextel,1,010984,S,10.9725,,10.8074,0.6634,,0.7686,-0.048,,-0.0585,0.2151,,0.1506
101830,2015-08-17,Sprint Corporation,1,010984,S,11.327,,11.327,0.7385,,0.7385,-0.0403,,-0.0403,0.1738,,0.1738
101830,2017-05-01,Sprint Corporation,1,010984,S,11.3519,,11.3519,0.779,,0.779,-0.0142,,-0.0142,0.3123,,0.3123
101830,2017-05-07,Sprint,1,010984,S,11.3519,,11.3519,0.779,,0.779,-0.0142,,-0.0142,0.3123,,0.3123
101830,2018-03-02,Sprint Corporation,1,010984,S,11.3519,,11.3519,0.779,,0.779,-0.0142,,-0.0142,0.3123,,0.3123
