final_cik,breach_date,org_name,candidate_rank,candidate_cik,n_8k_in_window,status,win_lo,win_hi,predecessor_term,predecessor_name,resolution
90143,2022-06-10,Sierra Pacific Industries,final_cik,90143.0,0.0,ok,2020-06-10,2023-07-10,,,
91419,2010-04-05,The J.M. Smucker Company,final_cik,91419.0,33.0,ok,2008-04-05,2010-10-26,,,
91440,2022-03-01,Snap-on Incorporated,final_cik,91440.0,16.0,ok,2020-03-01,2022-10-04,,,
92380,2017-10-01,Southwest Airlines Co.,final_cik,92380.0,76.0,ok,2015-10-02,2018-10-17,,,
92380,2018-03-01,Southwest Airlines Co.,final_cik,92380.0,64.0,ok,2016-03-01,2018-10-17,,,
96021,2023-01-14,Sysco Corporation,final_cik,96021.0,39.0,ok,2021-01-14,2023-11-12,,,
101830,2009-02-01,Sprint Nextel,final_cik,101830.0,64.0,ok,2007-02-02,2009-12-09,,,
101830,2009-01-01,Sprint Nextel,final_cik,101830.0,56.0,ok,2007-01-02,2009-09-26,,,
101830,2015-08-17,Sprint Corporation,final_cik,101830.0,117.0,ok,2013-08-17,2020-10-06,,,
101830,2017-05-01,Sprint Corporation,final_cik,101830.0,43.0,ok,2015-05-02,2018-03-19,,,
101830,2017-05-07,Sprint,final_cik,101830.0,42.0,ok,2015-05-08,2018-03-19,,,
101830,2018-03-02,Sprint Corporation,final_cik,101830.0,42.0,ok,2016-03-02,2018-09-26,,,
101830,2019-03-14,Sprint Corporation,final_cik,101830.0,38.0,ok,2017-03-14,2019-11-05,,,
101830,2019-05-09,Sprint Corporation,final_cik,101830.0,37.0,ok,2017-05-09,2019-11-05,,,
101830,2019-06-02,Sprint,final_cik,101830.0,37.0,ok,2017-06-02,2020-01-07,,,
101830,2019-06-08,Sprint,final_cik,101830.0,37.0,ok,2017-06-08,2019-12-05,,,
101830,2019-06-22,Sprint,final_cik,101830.0,37.0,ok,2017-06-22,2020-01-07,,,
101830,2019-08-13,Sprint Corporation,final_cik,101830.0,43.0,ok,2017-08-13,2020-09-27,,,
1770450,2023-12-10,Xerox Corporation,final_cik,1770450.0,40.0,ok,2021-12-10,2024-08-18,,,
1770450,2023-12-10,Xerox Corporation,orig_cik,108772.0,37.0,ok,2021-12-10,2024-08-18,,,
277135,2017-08-23,"W.W. Grainger, Inc.",final_cik,277135.0,24.0,ok,2015-08-24,2018-03-17,,,
277135,2017-09-26,W.W. Grainger Inc.,final_cik,277135.0,28.0,ok,2015-09-27,2018-10-17,,,
315293,2020-12-17,Aon Corporation,final_cik,315293.0,46.0,ok,2018-12-18,2021-11-17,,,
318154,2021-04-21,Amgen Inc.,final_cik,318154.0,36.0,ok,2019-04-22,2021-12-19,,,
318154,2023-08-16,Amgen Inc.,final_cik,318154.0,40.0,ok,2021-08-16,2025-03-24,,,
319687,2013-01-01,United Airlines,final_cik,319687.0,213.0,ok,2011-01-02,2018-01-02,,,
320193,2010-06-01,Apple Inc.,final_cik,320193.0,19.0,ok,2008-06-01,2010-12-06,,,
320193,2013-07-18,Apple Inc.,final_cik,320193.0,23.0,ok,2011-07-19,2014-01-17,,,
320193,2014-08-31,Apple Inc.,final_cik,320193.0,27.0,ok,2012-08-31,2015-02-27,,,
320193,2015-07-01,Apple Inc.,final_cik,320193.0,32.0,ok,2013-07-01,2016-02-21,,,
320193,2015-09-18,Apple Inc.,final_cik,320193.0,32.0,ok,2013-09-16,2016-03-16,,,
320193,2019-02-02,Apple Inc.,final_cik,320193.0,30.0,ok,2017-02-02,2019-11-26,,,
320193,2020-11-01,Apple Inc.,final_cik,320193.0,24.0,ok,2018-11-02,2021-04-30,,,
1336920,2022-09-30,"Leidos, Inc.",final_cik,1336920.0,36.0,ok,2020-09-30,2023-12-05,,,
1336920,2022-09-30,"Leidos, Inc.",orig_cik,353394.0,0.0,ok,2020-09-30,2023-12-05,,,
