outcome_cik,final_cik,org_name,breach_date,treated,accession,filing_date,form,items,primary_doc,on_disk,win_lo,win_hi,submissions_cached
18926,18926,CenturyLink,2017-01-30,1,0001193125-17-191355,2017-06-01,8-K,"5.02,8.01,9.01",d370866d8k.htm,1,2015-01-31,2017-08-19,1
18926,18926,CenturyLink,2017-01-30,1,0001193125-17-053977,2017-02-23,8-K,"5.02,9.01",d354377d8k.htm,1,2015-01-31,2017-08-19,1
18926,18926,CenturyLink,2017-01-30,1,0001193125-16-436965,2016-01-25,8-K,"5.02,9.01",d130401d8k.htm,1,2015-01-31,2017-08-19,1
18926,18926,CenturyLink,2017-01-30,1,0001193125-15-378521,2015-11-16,8-K,"5.02,9.01",d52983d8k.htm,1,2015-01-31,2017-08-19,1
18926,18926,CenturyLink,2017-01-30,1,0001193125-15-210785,2015-06-02,8-K,"5.02,9.01",d935325d8k.htm,1,2015-01-31,2017-08-19,1
18926,18926,CenturyLink,2017-01-30,1,0001193125-15-197966,2015-05-22,8-K,"5.02,5.07,9.01",d930238d8k.htm,1,2015-01-31,2017-08-19,1
18926,18926,CenturyLink,2017-02-28,1,0001193125-17-191355,2017-06-01,8-K,"5.02,8.01,9.01",d370866d8k.htm,1,2015-03-01,2017-08-27,1
18926,18926,CenturyLink,2017-02-28,1,0001193125-17-053977,2017-02-23,8-K,"5.02,9.01",d354377d8k.htm,1,2015-03-01,2017-08-27,1
18926,18926,CenturyLink,2017-02-28,1,0001193125-16-436965,2016-01-25,8-K,"5.02,9.01",d130401d8k.htm,1,2015-03-01,2017-08-27,1
18926,18926,CenturyLink,2017-02-28,1,0001193125-15-378521,2015-11-16,8-K,"5.02,9.01",d52983d8k.htm,1,2015-03-01,2017-08-27,1
18926,18926,CenturyLink,2017-02-28,1,0001193125-15-210785,2015-06-02,8-K,"5.02,9.01",d935325d8k.htm,1,2015-03-01,2017-08-27,1
18926,18926,CenturyLink,2017-02-28,1,0001193125-15-197966,2015-05-22,8-K,"5.02,5.07,9.01",d930238d8k.htm,1,2015-03-01,2017-08-27,1
18926,18926,CenturyLink Communications,2020-08-20,1,0001193125-21-056971,2021-02-25,8-K,"5.02,9.01",d97460d8k.htm,1,2018-08-21,2021-03-24,1
18926,18926,CenturyLink Communications,2020-08-20,1,0001193125-21-011905,2021-01-20,8-K,"5.02,9.01",d53156d8k.htm,1,2018-08-21,2021-03-24,1
18926,18926,CenturyLink Communications,2020-08-20,1,0001193125-20-150103,2020-05-22,8-K,"5.02,5.07,9.01",d935861d8k.htm,1,2018-08-21,2021-03-24,1
18926,18926,CenturyLink Communications,2020-08-20,1,0001193125-19-325996,2019-12-30,8-K,"5.02,9.01",d859081d8k.htm,1,2018-08-21,2021-03-24,1
18926,18926,CenturyLink Communications,2020-08-20,1,0001193125-18-319718,2018-11-07,8-K,5.02,d647295d8k.htm,1,2018-08-21,2021-03-24,1
18926,18926,CenturyLink Communications,2020-08-20,1,0001193125-18-319714,2018-11-07,8-K,"5.02,9.01",d617864d8k.htm,1,2018-08-21,2021-03-24,1
18926,18926,CenturyLink Communications,2020-08-20,1,0001193125-18-281219,2018-09-24,8-K,"5.02,9.01",d629720d8k.htm,1,2018-08-21,2021-03-24,1
18926,18926,Centurylink Communications,2022-03-15,1,0001193125-22-243230,2022-09-13,8-K,"5.02,9.01",d396237d8k.htm,1,2020-03-15,2022-10-18,1
18926,18926,Centurylink Communications,2022-03-15,1,0001193125-22-085992,2022-03-28,8-K,"5.02,9.01",d280485d8k.htm,1,2020-03-15,2022-10-18,1
18926,18926,Centurylink Communications,2022-03-15,1,0001193125-21-056971,2021-02-25,8-K,"5.02,9.01",d97460d8k.htm,1,2020-03-15,2022-10-18,1
18926,18926,Centurylink Communications,2022-03-15,1,0001193125-21-011905,2021-01-20,8-K,"5.02,9.01",d53156d8k.htm,1,2020-03-15,2022-10-18,1
18926,18926,Centurylink Communications,2022-03-15,1,0001193125-20-150103,2020-05-22,8-K,"5.02,5.07,9.01",d935861d8k.htm,1,2020-03-15,2022-10-18,1
20520,20520,Frontier Communications,2022-02-24,1,0001140361-22-023997,2022-06-24,8-K,5.02,brhc10039037_8k.htm,1,2020-02-25,2022-10-31,1
20520,20520,Frontier Communications,2022-02-24,1,0000020520-21-000008,2021-07-30,8-K,"5.02,8.01,9.01",fybr-20210430x8k.htm,1,2020-02-25,2022-10-31,1
20520,20520,Frontier Communications,2022-02-24,1,0001193125-21-205666,2021-07-01,8-K,"5.02,9.01",d362936d8k.htm,1,2020-02-25,2022-10-31,1
20520,20520,Frontier Communications,2022-02-24,1,0001193125-21-179930,2021-06-02,8-K,"5.02,9.01",d187333d8k.htm,1,2020-02-25,2022-10-31,1
20520,20520,Frontier Communications,2022-02-24,1,0001140361-21-015200,2021-04-30,8-K12G3,"1.01,1.02,2.03,3.02,3.03,5.01,5.02,5.03,9.01",brhc10023786_8k12g3.htm,1,2020-02-25,2022-10-31,1
20520,20520,Frontier Communications,2022-02-24,1,0001140361-21-005386,2021-02-18,8-K,"5.02,7.01,9.01",brhc10020563_8k.htm,1,2020-02-25,2022-10-31,1
20520,20520,Frontier Communications,2022-02-24,1,0001140361-20-028400,2020-12-15,8-K,"5.02,9.01",brhc10017962_8k.htm,1,2020-02-25,2022-10-31,1
20520,20520,Frontier Communications,2022-02-24,1,0001140361-20-020249,2020-09-11,8-K,5.02,brhc10015042_8k.htm,1,2020-02-25,2022-10-31,1
20520,20520,Frontier Communications,2022-02-24,1,0001193125-20-050127,2020-02-26,8-K,5.02,d896833d8k.htm,1,2020-02-25,2022-10-31,1
20520,20520,"Frontier Communications Parent, Inc.",2023-12-18,1,0001140361-24-026861,2024-05-20,8-K,"5.02,5.07,9.01",ef20029460_8k.htm,1,2021-12-18,2024-12-09,1
20520,20520,"Frontier Communications Parent, Inc.",2023-12-18,1,0000950157-24-000104,2024-02-05,8-K,"5.02,7.01,9.01",form8-k.htm,1,2021-12-18,2024-12-09,1
20520,20520,"Frontier Communications Parent, Inc.",2023-12-18,1,0001140361-22-023997,2022-06-24,8-K,5.02,brhc10039037_8k.htm,1,2021-12-18,2024-12-09,1
20520,20520,"Frontier Communications Parent, Inc.",2024-04-13,1,0001140361-24-026861,2024-05-20,8-K,"5.02,5.07,9.01",ef20029460_8k.htm,1,2022-04-14,2024-12-03,1
20520,20520,"Frontier Communications Parent, Inc.",2024-04-13,1,0000950157-24-000104,2024-02-05,8-K,"5.02,7.01,9.01",form8-k.htm,1,2022-04-14,2024-12-03,1
20520,20520,"Frontier Communications Parent, Inc.",2024-04-13,1,0001140361-22-023997,2022-06-24,8-K,5.02,brhc10039037_8k.htm,1,2022-04-14,2024-12-03,1
20520,20520,"Frontier Communications Parent, Inc.",2024-06-10,1,0001140361-24-026861,2024-05-20,8-K,"5.02,5.07,9.01",ef20029460_8k.htm,1,2022-06-11,2024-12-07,1
20520,20520,"Frontier Communications Parent, Inc.",2024-06-10,1,0000950157-24-000104,2024-02-05,8-K,"5.02,7.01,9.01",form8-k.htm,1,2022-06-11,2024-12-07,1
20520,20520,"Frontier Communications Parent, Inc.",2024-06-10,1,0001140361-22-023997,2022-06-24,8-K,5.02,brhc10039037_8k.htm,1,2022-06-11,2024-12-07,1
