phase,cik,breach_date,accession,status,path
documents,18926,2017-02-28,0001193125-15-378521,already_on_disk,Data\edgar\item5_02_text\18926\0001193125-15-378521_d52983d8k.htm
documents,18926,2017-02-28,0001193125-15-210785,already_on_disk,Data\edgar\item5_02_text\18926\0001193125-15-210785_d935325d8k.htm
documents,18926,2017-02-28,0001193125-15-197966,already_on_disk,Data\edgar\item5_02_text\18926\0001193125-15-197966_d930238d8k.htm
documents,18926,2020-08-20,0001193125-21-056971,already_on_disk,Data\edgar\item5_02_text\18926\0001193125-21-056971_d97460d8k.htm
documents,18926,2020-08-20,0001193125-21-011905,already_on_disk,Data\edgar\item5_02_text\18926\0001193125-21-011905_d53156d8k.htm
documents,18926,2020-08-20,0001193125-20-150103,already_on_disk,Data\edgar\item5_02_text\18926\0001193125-20-150103_d935861d8k.htm
documents,18926,2020-08-20,0001193125-19-325996,already_on_disk,Data\edgar\item5_02_text\18926\0001193125-19-325996_d859081d8k.htm
documents,18926,2020-08-20,0001193125-18-319718,already_on_disk,Data\edgar\item5_02_text\18926\0001193125-18-319718_d647295d8k.htm
documents,18926,2020-08-20,0001193125-18-319714,already_on_disk,Data\edgar\item5_02_text\18926\0001193125-18-319714_d617864d8k.htm
documents,18926,2020-08-20,0001193125-18-281219,already_on_disk,Data\edgar\item5_02_text\18926\0001193125-18-281219_d629720d8k.htm
documents,18926,2022-03-15,0001193125-22-243230,already_on_disk,Data\edgar\item5_02_text\18926\0001193125-22-243230_d396237d8k.htm
documents,18926,2022-03-15,0001193125-22-085992,already_on_disk,Data\edgar\item5_02_text\18926\0001193125-22-085992_d280485d8k.htm
documents,18926,2022-03-15,0001193125-21-056971,already_on_disk,Data\edgar\item5_02_text\18926\0001193125-21-056971_d97460d8k.htm
documents,18926,2022-03-15,0001193125-21-011905,already_on_disk,Data\edgar\item5_02_text\18926\0001193125-21-011905_d53156d8k.htm
documents,18926,2022-03-15,0001193125-20-150103,already_on_disk,Data\edgar\item5_02_text\18926\0001193125-20-150103_d935861d8k.htm
documents,20520,2022-02-24,0001140361-22-023997,already_on_disk,Data\edgar\item5_02_text\20520\0001140361-22-023997_brhc10039037_8k.htm
documents,20520,2022-02-24,0000020520-21-000008,already_on_disk,Data\edgar\item5_02_text\20520\0000020520-21-000008_fybr-20210430x8k.htm
documents,20520,2022-02-24,0001193125-21-205666,already_on_disk,Data\edgar\item5_02_text\20520\0001193125-21-205666_d362936d8k.htm
documents,20520,2022-02-24,0001193125-21-179930,already_on_disk,Data\edgar\item5_02_text\20520\0001193125-21-179930_d187333d8k.htm
documents,20520,2022-02-24,0001140361-21-015200,already_on_disk,Data\edgar\item5_02_text\20520\0001140361-21-015200_brhc10023786_8k12g3.htm
documents,20520,2022-02-24,0001140361-21-005386,already_on_disk,Data\edgar\item5_02_text\20520\0001140361-21-005386_brhc10020563_8k.htm
documents,20520,2022-02-24,0001140361-20-028400,already_on_disk,Data\edgar\item5_02_text\20520\0001140361-20-028400_brhc10017962_8k.htm
documents,20520,2022-02-24,0001140361-20-020249,already_on_disk,Data\edgar\item5_02_text\20520\0001140361-20-020249_brhc10015042_8k.htm
