final_cik,org_name,edgar,final_evidence,breach_date,grp,v3_permno,gvkey,permno,cusip8,link_source,comnam,shrcd,namedt,nameenddt,tie_break,name_ok,shared_tokens,matched_against,generic_only,n_valid,note,ncusip_on_row,permno_rejected,gate_excluded,v4_linked,v3_linked
33185,TALX Corporation,,Gate2 CH-21: TALX filings end 2007 (SEC-verified); 2016 breaches under Equifax ownership; parent-map via EFX,2016-01-01,control,52476.0,4423.0,52476.0,29442910,cusip_ncusip,EQUIFAX INC,11.0,1998-10-01,2021-03-31,,False,,,False,1.0,,,,,True,True
33185,TALX Corporation,,Gate2 CH-21: TALX filings end 2007 (SEC-verified); 2016 breaches under Equifax ownership; parent-map via EFX,2016-04-18,control,52476.0,4423.0,52476.0,29442910,cusip_ncusip,EQUIFAX INC,11.0,1998-10-01,2021-03-31,,False,,,False,1.0,,,,,True,True
33185,TALX Corporation,,Gate2 CH-21: TALX filings end 2007 (SEC-verified); 2016 breaches under Equifax ownership; parent-map via EFX,2017-03-09,control,52476.0,4423.0,52476.0,29442910,cusip_ncusip,EQUIFAX INC,11.0,1998-10-01,2021-03-31,,False,,,False,1.0,,,,,True,True
37743,Fluke Corporation,FLUKE CORP,EDGAR name: FLUKE CORP,2023-01-25,control,,4817.0,,,,,,,,,,,,,,no names row valid on breach_date,,,,False,False
40704,"General Mills, Inc.",GENERAL MILLS INC,EDGAR name: GENERAL MILLS INC,2022-11-18,control,17144.0,5071.0,17144.0,37033410,cusip_ncusip,GENERAL MILLS INC,11.0,2021-04-05,2024-12-31,,True,GENERAL|MILLS,org,False,1.0,,,,,True,True
43196,"Gray Television, Inc.",GRAY COMMUNICATIONS SYSTEMS INC /GA/,EDGAR name: GRAY COMMUNICATIONS SYSTEMS INC /GA/,2016-02-16,control,83989.0,5284.0,83989.0,38937510,cusip_ncusip,GRAY TELEVISION INC,11.0,2002-09-20,2024-12-31,priusa,True,GRAY|TELEVISION,org,False,2.0,,,,,True,True
43196,Gray Television,GRAY COMMUNICATIONS SYSTEMS INC /GA/,EDGAR name: GRAY COMMUNICATIONS SYSTEMS INC /GA/,2016-08-08,control,83989.0,5284.0,83989.0,38937510,cusip_ncusip,GRAY TELEVISION INC,11.0,2002-09-20,2024-12-31,priusa,True,GRAY|TELEVISION,org,False,2.0,,,,,True,True
43196,"Gray Television, Inc.",GRAY COMMUNICATIONS SYSTEMS INC /GA/,EDGAR name: GRAY COMMUNICATIONS SYSTEMS INC /GA/,2021-09-01,control,83989.0,5284.0,83989.0,38937510,cusip_ncusip,GRAY TELEVISION INC,11.0,2002-09-20,2024-12-31,priusa,True,GRAY|TELEVISION,org,False,2.0,,,,,True,True
47111,The Hershey Company,HERSHEY CO,EDGAR name: HERSHEY CO,2023-09-03,control,16600.0,5597.0,16600.0,42786610,cusip_ncusip,HERSHEY CO,11.0,2005-04-20,2024-12-31,,True,HERSHEY,org,False,1.0,,,,,True,True
47217,Hewlett-Packard Company,HEWLETT PACKARD CO,EDGAR name: HEWLETT PACKARD CO,2007-07-01,control,27828.0,5606.0,27828.0,40434L10,cusip_header,HEWLETT PACKARD CO,11.0,2002-05-06,2015-11-01,,True,HEWLETT|PACKARD,org,False,,,42823610,,,True,True
47217,Hewlett Packard Company,HEWLETT PACKARD CO,EDGAR name: HEWLETT PACKARD CO,2007-08-16,control,27828.0,5606.0,27828.0,40434L10,cusip_header,HEWLETT PACKARD CO,11.0,2002-05-06,2015-11-01,,True,HEWLETT|PACKARD,org,False,,,42823610,,,True,True
47217,Hewlett-Packard Company,HEWLETT PACKARD CO,EDGAR name: HEWLETT PACKARD CO,2008-12-04,control,27828.0,5606.0,27828.0,40434L10,cusip_header,HEWLETT PACKARD CO,11.0,2002-05-06,2015-11-01,,True,HEWLETT|PACKARD,org,False,,,42823610,,,True,True
47217,Hewlett-Packard Company,HEWLETT PACKARD CO,EDGAR name: HEWLETT PACKARD CO,2008-12-08,control,27828.0,5606.0,27828.0,40434L10,cusip_header,HEWLETT PACKARD CO,11.0,2002-05-06,2015-11-01,,True,HEWLETT|PACKARD,org,False,,,42823610,,,True,True
47217,Hewlett-Packard Company,HEWLETT PACKARD CO,EDGAR name: HEWLETT PACKARD CO,2010-02-09,control,27828.0,5606.0,27828.0,40434L10,cusip_header,HEWLETT PACKARD CO,11.0,2002-05-06,2015-11-01,,True,HEWLETT|PACKARD,org,False,,,42823610,,,True,True
51143,IBM,,Gate1-G rescue: acronym defeated exact match; documented acronym mapping (ticker IBM -> CIK 51143),2007-02-23,control,12490.0,6066.0,12490.0,45920010,cusip_ncusip,INTERNATIONAL BUSINESS MACHS COR,11.0,1999-01-04,2014-01-21,,False,,,False,1.0,,,,,True,True
51143,IBM,,Gate1-G rescue: acronym defeated exact match; documented acronym mapping (ticker IBM -> CIK 51143),2011-04-14,control,12490.0,6066.0,12490.0,45920010,cusip_ncusip,INTERNATIONAL BUSINESS MACHS COR,11.0,1999-01-04,2014-01-21,,False,,,False,1.0,,,,,True,True
920760,Lennar Corporation,LENNAR CORP,EDGAR name: LENNAR CORP,2023-07-20,control,,6669.0,52708.0,52605710,cusip_ncusip,LENNAR CORP,11.0,2006-07-24,2024-12-31,priusa,True,LENNAR,org,False,2.0,,,,,True,False
62709,"Marsh & McLennan Companies, Inc.",MARSH & MCLENNAN COMPANIES INC,EDGAR name: MARSH & MCLENNAN COMPANIES INC,2013-06-01,control,,7065.0,45751.0,57174810,cusip_ncusip,MARSH & MCLENNAN COS INC,11.0,2011-06-13,2024-12-31,,True,MARSH|MCLENNAN,org,False,1.0,,,,,True,False
68505,"Motorola, Inc.",MOTOROLA INC,EDGAR name: MOTOROLA INC,2009-01-01,control,,7585.0,22779.0,62007630,cusip_header,MOTOROLA INC,11.0,1996-08-01,2011-01-03,,True,MOTOROLA,org,False,,,62007610,,,True,False
68505,"Motorola, Inc.",MOTOROLA INC,EDGAR name: MOTOROLA INC,2009-02-17,control,,7585.0,22779.0,62007630,cusip_header,MOTOROLA INC,11.0,1996-08-01,2011-01-03,,True,MOTOROLA,org,False,,,62007610,,,True,False
69960,NCH Corporation,NCH CORP,EDGAR name: NCH CORP,2016-01-01,control,,7646.0,,,,,,,,,,,,,,no names row valid on breach_date,,,,False,False
69960,NCH Corporation,NCH CORP,EDGAR name: NCH CORP,2018-11-30,control,,7646.0,,,,,,,,,,,,,,no names row valid on breach_date,,,,False,False
69960,NCH Corporation,NCH CORP,EDGAR name: NCH CORP,2021-03-02,control,,7646.0,,,,,,,,,,,,,,no names row valid on breach_date,,,,False,False
1133421,Northrop Grumman Systems Corporation,NORTHROP CORP,EDGAR name: NORTHROP CORP,2016-04-18,control,,7985.0,24766.0,66680710,cusip_ncusip,NORTHROP GRUMMAN CORP,11.0,2004-02-20,2024-12-31,,True,GRUMMAN|NORTHROP,org,False,1.0,,,,,True,False
73309,Nucor Corporation,NUCOR CORP,EDGAR name: NUCOR CORP,2023-05-26,control,34817.0,8030.0,34817.0,67034610,cusip_ncusip,NUCOR CORP,11.0,2021-04-01,2024-12-31,,True,NUCOR,org,False,1.0,,,,,True,True
73309,Nucor Corporation,NUCOR CORP,EDGAR name: NUCOR CORP,2025-05-03,control,34817.0,8030.0,,,,,,,,,,,,,,no names row valid on breach_date,,,,False,True
73756,"Oceaneering International, Inc.",OCEANEERING INTERNATIONAL INC,EDGAR name: OCEANEERING INTERNATIONAL INC,2024-01-01,control,,8079.0,58975.0,67523210,cusip_ncusip,OCEANEERING INTERNATIONAL INC,11.0,1991-12-17,2024-12-31,,True,INTERNATIONAL|OCEANEERING,org,False,1.0,,,,,True,False
75362,PACCAR,PACCAR INC,EDGAR name: PACCAR INC,2018-01-22,control,60506.0,8253.0,60506.0,69371810,cusip_ncusip,PACCAR INC,11.0,1972-12-14,2024-12-31,,True,PACCAR,org,False,1.0,,,,,True,True
76334,Parker-Hannifin Corporation,PARKER HANNIFIN CORP,EDGAR name: PARKER HANNIFIN CORP,2022-03-11,control,41355.0,8358.0,41355.0,70109410,cusip_ncusip,PARKER HANNIFIN CORP,11.0,2021-04-01,2024-12-31,,True,HANNIFIN|PARKER,org,False,1.0,,,,,True,True
77476,"PepsiCo, Inc.",PEPSICO INC,EDGAR name: PEPSICO INC,2021-02-24,control,13856.0,8479.0,13856.0,71344810,cusip_ncusip,PEPSICO INC,11.0,2017-12-20,2024-12-31,,True,PEPSICO,org,False,1.0,,,,,True,True
78003,Pfizer Inc,PFIZER INC,EDGAR name: PFIZER INC,2006-12-01,control,21936.0,8530.0,21936.0,71708110,cusip_ncusip,PFIZER INC,11.0,1970-04-20,2021-04-04,,True,PFIZER,org,False,1.0,,,,,True,True
80172,"National Presto Industries, Inc.",NATIONAL PRESTO INDUSTRIES INC,EDGAR name: NATIONAL PRESTO INDUSTRIES INC,2025-03-01,control,,7762.0,,,,,,,,,,,,,,no names row valid on breach_date,,,,False,False
88128,CSX Transportation,CSX TRANSPORTATION INC,EDGAR name: CSX TRANSPORTATION INC,2013-09-06,control,,9537.0,,,,,,,,,,,,,,no names row valid on breach_date,,,,False,False
88128,CSX Transportation,CSX TRANSPORTATION INC,EDGAR name: CSX TRANSPORTATION INC,2013-10-07,control,,9537.0,,,,,,,,,,,,,,no names row valid on breach_date,,,,False,False
88128,"CSX Transportation, Inc.",CSX TRANSPORTATION INC,EDGAR name: CSX TRANSPORTATION INC,2020-12-25,control,,9537.0,,,,,,,,,,,,,,no names row valid on breach_date,,,,False,False
90143,Sierra Pacific Industries,,"Gate2 PRIVATE-REGISTRANT: SEC-verified: own registrant, 1 ARS 2006, no equity — fails CRSP legitimately",2022-06-10,control,,9690.0,,,,,,,,,,,,,,no names row valid on breach_date,,,,False,False
91419,The J.M. Smucker Company,,Gate1-A (SJM),2010-04-05,control,42585.0,9777.0,42585.0,83269640,cusip_ncusip,SMUCKER J M CO,11.0,2002-06-03,2014-01-08,,True,SMUCKER,org,False,1.0,,,,,True,True
91440,Snap-on Incorporated,SNAP ON INC,EDGAR name: SNAP ON INC,2022-03-01,control,60206.0,9778.0,60206.0,83303410,cusip_ncusip,SNAP ON INC,11.0,2021-03-31,2024-12-31,,True,SNAP,org,False,1.0,,,,,True,True
92380,Southwest Airlines Co.,SOUTHWEST AIRLINES CO,EDGAR name: SOUTHWEST AIRLINES CO,2017-10-01,control,58683.0,9882.0,58683.0,84474110,cusip_ncusip,SOUTHWEST AIRLINES CO,11.0,2014-03-19,2024-12-31,,True,AIRLINES|SOUTHWEST,org,False,1.0,,,,,True,True
92380,Southwest Airlines Co.,SOUTHWEST AIRLINES CO,EDGAR name: SOUTHWEST AIRLINES CO,2018-03-01,control,58683.0,9882.0,58683.0,84474110,cusip_ncusip,SOUTHWEST AIRLINES CO,11.0,2014-03-19,2024-12-31,,True,AIRLINES|SOUTHWEST,org,False,1.0,,,,,True,True
96021,Sysco Corporation,SYSCO CORP,EDGAR name: SYSCO CORP,2023-01-14,control,52038.0,10247.0,52038.0,87182910,cusip_ncusip,SYSCO CORP,11.0,2017-01-25,2024-12-31,,True,SYSCO,org,False,1.0,,,,,True,True
101830,Sprint Nextel,,"Gate1-F: Sprint-era equity (SEC-verified: SPRINT LLC fka SPRINT CORP/NEXTEL, 10-Ks 2014-2019)",2009-02-01,treated,39087.0,10984.0,39087.0,85206110,cusip_ncusip,SPRINT NEXTEL CORP,11.0,2005-08-15,2013-07-10,,True,NEXTEL|SPRINT,org,False,1.0,,,,,True,True
101830,Sprint Nextel,,"Gate1-F: Sprint-era equity (SEC-verified: SPRINT LLC fka SPRINT CORP/NEXTEL, 10-Ks 2014-2019)",2009-01-01,treated,39087.0,10984.0,39087.0,85206110,cusip_ncusip,SPRINT NEXTEL CORP,11.0,2005-08-15,2013-07-10,,True,NEXTEL|SPRINT,org,False,1.0,,,,,True,True
101830,Sprint Corporation,,"Gate1-F: Sprint-era equity (SEC-verified: SPRINT LLC fka SPRINT CORP/NEXTEL, 10-Ks 2014-2019)",2015-08-17,treated,14040.0,10984.0,14040.0,85207U10,cusip_ncusip,SPRINT CORP NEW,11.0,2014-05-21,2016-12-18,,True,SPRINT,org,False,1.0,,,,,True,True
101830,Sprint Corporation,,"Gate1-F: Sprint-era equity (SEC-verified: SPRINT LLC fka SPRINT CORP/NEXTEL, 10-Ks 2014-2019)",2017-05-01,treated,14040.0,10984.0,14040.0,85207U10,cusip_ncusip,SPRINT CORP NEW,11.0,2016-12-19,2020-03-31,,True,SPRINT,org,False,1.0,,,,,True,True
101830,Sprint,,"Gate1-F: Sprint-era equity (SEC-verified: SPRINT LLC fka SPRINT CORP/NEXTEL, 10-Ks 2014-2019)",2017-05-07,treated,14040.0,10984.0,14040.0,85207U10,cusip_ncusip,SPRINT CORP NEW,11.0,2016-12-19,2020-03-31,,True,SPRINT,org,False,1.0,,,,,True,True
101830,Sprint Corporation,,"Gate1-F: Sprint-era equity (SEC-verified: SPRINT LLC fka SPRINT CORP/NEXTEL, 10-Ks 2014-2019)",2018-03-02,treated,14040.0,10984.0,14040.0,85207U10,cusip_ncusip,SPRINT CORP NEW,11.0,2016-12-19,2020-03-31,,True,SPRINT,org,False,1.0,,,,,True,True
101830,Sprint Corporation,,"Gate1-F: Sprint-era equity (SEC-verified: SPRINT LLC fka SPRINT CORP/NEXTEL, 10-Ks 2014-2019)",2019-03-14,treated,14040.0,10984.0,14040.0,85207U10,cusip_ncusip,SPRINT CORP NEW,11.0,2016-12-19,2020-03-31,,True,SPRINT,org,False,1.0,,,,,True,True
101830,Sprint Corporation,,"Gate1-F: Sprint-era equity (SEC-verified: SPRINT LLC fka SPRINT CORP/NEXTEL, 10-Ks 2014-2019)",2019-05-09,treated,14040.0,10984.0,14040.0,85207U10,cusip_ncusip,SPRINT CORP NEW,11.0,2016-12-19,2020-03-31,,True,SPRINT,org,False,1.0,,,,,True,True
101830,Sprint,,"Gate1-F: Sprint-era equity (SEC-verified: SPRINT LLC fka SPRINT CORP/NEXTEL, 10-Ks 2014-2019)",2019-06-02,treated,14040.0,10984.0,14040.0,85207U10,cusip_ncusip,SPRINT CORP NEW,11.0,2016-12-19,2020-03-31,,True,SPRINT,org,False,1.0,,,,,True,True
101830,Sprint,,"Gate1-F: Sprint-era equity (SEC-verified: SPRINT LLC fka SPRINT CORP/NEXTEL, 10-Ks 2014-2019)",2019-06-08,treated,14040.0,10984.0,14040.0,85207U10,cusip_ncusip,SPRINT CORP NEW,11.0,2016-12-19,2020-03-31,,True,SPRINT,org,False,1.0,,,,,True,True
101830,Sprint,,"Gate1-F: Sprint-era equity (SEC-verified: SPRINT LLC fka SPRINT CORP/NEXTEL, 10-Ks 2014-2019)",2019-06-22,treated,14040.0,10984.0,14040.0,85207U10,cusip_ncusip,SPRINT CORP NEW,11.0,2016-12-19,2020-03-31,,True,SPRINT,org,False,1.0,,,,,True,True
101830,Sprint Corporation,,"Gate1-F: Sprint-era equity (SEC-verified: SPRINT LLC fka SPRINT CORP/NEXTEL, 10-Ks 2014-2019)",2019-08-13,treated,14040.0,10984.0,14040.0,85207U10,cusip_ncusip,SPRINT CORP NEW,11.0,2016-12-19,2020-03-31,,True,SPRINT,org,False,1.0,,,,,True,True
1770450,Xerox Corporation,XEROX CORP,EDGAR name: XEROX CORP,2023-12-10,control,,11636.0,27983.0,98421M10,cusip_ncusip,XEROX HOLDINGS CORP,11.0,2021-09-21,2024-12-31,,True,XEROX,org,False,1.0,,,,,True,False
277135,"W.W. Grainger, Inc.",,Gate1-A (GWW),2017-08-23,control,52695.0,5256.0,52695.0,38480210,cusip_ncusip,GRAINGER W W INC,11.0,2017-04-18,2020-11-17,,True,GRAINGER,org,False,1.0,,,,,True,True
277135,W.W. Grainger Inc.,,Gate1-A (GWW),2017-09-26,control,52695.0,5256.0,52695.0,38480210,cusip_ncusip,GRAINGER W W INC,11.0,2017-04-18,2020-11-17,,True,GRAINGER,org,False,1.0,,,,,True,True
315293,Aon Corporation,,"Gate1-A (plain-name record, pre-redomiciliation registrant)",2020-12-17,control,61735.0,3221.0,61735.0,G0403H10,cusip_ncusip,AON PLC NEW,12.0,2020-04-01,2024-06-25,,True,AON,org,False,1.0,,,,,True,True
318154,Amgen Inc.,AMGEN INC,EDGAR name: AMGEN INC,2021-04-21,control,14008.0,1602.0,14008.0,03116210,cusip_ncusip,AMGEN INC,11.0,1986-04-01,2024-12-31,,True,AMGEN,org,False,1.0,,,,,True,True
318154,Amgen Inc.,AMGEN INC,EDGAR name: AMGEN INC,2023-08-16,control,14008.0,1602.0,14008.0,03116210,cusip_ncusip,AMGEN INC,11.0,1986-04-01,2024-12-31,,True,AMGEN,org,False,1.0,,,,,True,True
319687,United Airlines,CONTINENTAL AIRLINES INC /DE/,EDGAR name: CONTINENTAL AIRLINES INC /DE/,2013-01-01,control,,10484.0,91103.0,91004710,cusip_issuer,UNITED CONTINENTAL HOLDINGS INC,11.0,2010-10-01,2018-09-06,,True,UNITED,org,True,,,91004710,,,True,False
320193,Apple Inc.,APPLE COMPUTER INC,EDGAR name: APPLE COMPUTER INC,2010-06-01,control,14593.0,1690.0,14593.0,03783310,cusip_ncusip,APPLE INC,11.0,2007-01-11,2024-12-31,,True,APPLE,org,False,1.0,,,,,True,True
320193,Apple Inc.,APPLE COMPUTER INC,EDGAR name: APPLE COMPUTER INC,2013-07-18,control,14593.0,1690.0,14593.0,03783310,cusip_ncusip,APPLE INC,11.0,2007-01-11,2024-12-31,,True,APPLE,org,False,1.0,,,,,True,True
320193,Apple Inc.,APPLE COMPUTER INC,EDGAR name: APPLE COMPUTER INC,2014-08-31,control,14593.0,1690.0,14593.0,03783310,cusip_ncusip,APPLE INC,11.0,2007-01-11,2024-12-31,,True,APPLE,org,False,1.0,,,,,True,True
320193,Apple Inc.,APPLE COMPUTER INC,EDGAR name: APPLE COMPUTER INC,2015-07-01,control,14593.0,1690.0,14593.0,03783310,cusip_ncusip,APPLE INC,11.0,2007-01-11,2024-12-31,,True,APPLE,org,False,1.0,,,,,True,True
320193,Apple Inc.,APPLE COMPUTER INC,EDGAR name: APPLE COMPUTER INC,2015-09-18,control,14593.0,1690.0,14593.0,03783310,cusip_ncusip,APPLE INC,11.0,2007-01-11,2024-12-31,,True,APPLE,org,False,1.0,,,,,True,True
320193,Apple Inc.,APPLE COMPUTER INC,EDGAR name: APPLE COMPUTER INC,2019-02-02,control,14593.0,1690.0,14593.0,03783310,cusip_ncusip,APPLE INC,11.0,2007-01-11,2024-12-31,,True,APPLE,org,False,1.0,,,,,True,True
320193,Apple Inc.,APPLE COMPUTER INC,EDGAR name: APPLE COMPUTER INC,2020-11-01,control,14593.0,1690.0,14593.0,03783310,cusip_ncusip,APPLE INC,11.0,2007-01-11,2024-12-31,,True,APPLE,org,False,1.0,,,,,True,True
1336920,"Leidos, Inc.","LEIDOS, INC.","EDGAR name: LEIDOS, INC.",2022-09-30,control,,165123.0,91547.0,52532710,cusip_ncusip,LEIDOS HOLDINGS INC,11.0,2021-03-29,2024-03-26,,True,LEIDOS,org,False,1.0,,,,,True,False
354190,Gallagher NAC,,Gate1-G rescue: Arthur J. Gallagher subsidiary; legacy 354190 was right (ticker AJG -> CIK 354190),2017-06-01,control,38093.0,4973.0,38093.0,36357610,cusip_ncusip,GALLAGHER ARTHUR J & CO,11.0,1987-12-01,2024-12-31,,True,GALLAGHER,org,False,1.0,,,,,True,True
354190,Gallagher NAC,,Gate1-G rescue: Arthur J. Gallagher subsidiary; legacy 354190 was right (ticker AJG -> CIK 354190),2017-06-18,control,38093.0,4973.0,38093.0,36357610,cusip_ncusip,GALLAGHER ARTHUR J & CO,11.0,1987-12-01,2024-12-31,,True,GALLAGHER,org,False,1.0,,,,,True,True
354950,The Home Depot,HOME DEPOT INC,EDGAR name: HOME DEPOT INC,2014-02-10,control,66181.0,5680.0,66181.0,43707610,cusip_ncusip,HOME DEPOT INC,11.0,2011-06-10,2024-12-31,,True,DEPOT|HOME,org,False,1.0,,,,,True,True
708818,"NextGen Healthcare, Inc.","NEXTGEN HEALTHCARE, INC.","EDGAR name: NEXTGEN HEALTHCARE, INC.",2023-03-29,control,,8858.0,64961.0,65343C10,cusip_ncusip,NEXTGEN HEALTHCARE INC,11.0,2018-09-10,2023-11-08,,True,HEALTHCARE|NEXTGEN,org,False,1.0,,,,,True,False
723254,Cintas Corporation,CINTAS CORP,EDGAR name: CINTAS CORP,2020-09-16,control,23660.0,3062.0,23660.0,17290810,cusip_ncusip,CINTAS CORP,11.0,1999-07-01,2024-12-31,,True,CINTAS,org,False,1.0,,,,,True,True
731766,Change Healthcare Inc.,,Gate1-C: UnitedHealth parent post-10/2022 acquisition; legacy GEHC was fuzzy error,2024-02-12,control,,10903.0,92655.0,91324P10,cusip_ncusip,UNITEDHEALTH GROUP INC,11.0,2000-04-27,2024-12-31,,False,,,False,1.0,,,,,True,False
732712,Verizon,,SEC EDGAR: Verizon Communications Inc. parent | EDGAR-confirmed,2008-06-27,treated,65875.0,2136.0,65875.0,92343V10,cusip_ncusip,VERIZON COMMUNICATIONS INC,11.0,2000-07-03,2013-03-14,,True,VERIZON,org,False,1.0,,,,,True,True
732712,Verizon Corporate Services Group Inc.,,Gate1-E: operating subsidiary,2014-01-20,treated,65875.0,2136.0,65875.0,92343V10,cusip_ncusip,VERIZON COMMUNICATIONS INC,11.0,2014-01-09,2021-04-25,,True,VERIZON,org,False,1.0,,,,,True,True
