tic,gvkey,iid,cusip,dlrsni,dsci,epf,exchg,excntry,ibtic,isin,secstat,sedol,tpci,dldtei,curr_sp500_flag,cusip8,iid_n,conm
3568B,111864,03,192446201,20.0,CL B,,1,USA,,,I,,0,2003-02-21,0.0,19244620,3,COGNIZANT TECH SOLUTIONS
3579B,112168,02,760759936,20.0,CL B COM NPV,,1,USA,,,I,,0,1999-03-01,0.0,76075993,2,REPUBLIC SERVICES INC
3593B,113490,02,228227930,20.0,CL B COM NPV,,20,USA,,,I,,0,1998-07-31,0.0,22822793,2,CROWN CASTLE INC
AUDAQ,117902,01,05070N202,2.0,CL A COM USD.01,,19,USA,ETM,US05070N2027,I,BLBNSL1,0,2024-10-01,0.0,05070N20,1,AUDACY INC
3641B,117902,02,293639019,2.0,CL B COM USD.01,,1,USA,,,I,,0,2024-10-01,0.0,29363901,2,AUDACY INC
3642B,117902,03,293639944,20.0,CL C COM USD.01,,1,USA,,,I,,0,2002-01-31,0.0,29363994,3,AUDACY INC
2092B,126136,02,16119P017,20.0,CL B COM USD.001,,1,USA,,,I,,0,2009-12-03,0.0,16119P01,2,CHARTER COMMUNICATIONS INC
1894B,129442,02,58446K931,1.0,CL B COM USD.01,,1,USA,,,I,,0,2011-03-07,0.0,58446K93,2,MEDIACOM COMMUNICATIONS CORP
1864B,160329,02,02079K206,,CL B COM USD.001,,1,USA,,US02079K2069,A,BYVY8H1,0,,0.0,02079K20,2,ALPHABET INC
0268B,163118,04,93499A936,,COM CL B,,1,USA,,,A,,0,,0.0,93499A93,4,WARNER MUSIC GROUP CORP
6190B,170617,02,30303M011,,CL B COM USD.000006,,1,USA,,,A,,0,,0.0,30303M01,2,META PLATFORMS INC
AERO.2,176083,01,00768M202,1.0,COM USD.001,,19,USA,AGWI,US00768M2026,I,B89CT94,0,2021-03-01,0.0,00768M20,1,AEROGROW INTERNATIONAL INC
2845B,178083,02,928563014,20.0,CL B COM USD.01,,1,USA,,,I,,0,2021-10-29,0.0,92856301,2,VMWARE INC -CL A
8812B,339965,02,83399I931,20.0,COM CL B,,1,USA,,,I,,0,2021-03-04,0.0,83399I93,2,SNOWFLAKE INC
