candidate_type,cik,org,breach_date,crsp_permno,comnam_at_breach,candidate,confidence,reason,shared_tokens,generic_only
ncusip_name_mismatch,732717,AT&T,2008-05-23,66093.0,A T & T INC,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,732717,AT&T,2012-01-01,66093.0,A T & T INC,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,732717,AT&T,2013-01-01,66093.0,A T & T INC,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,732717,AT&T,2013-11-05,66093.0,A T & T INC,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,732717,AT&T,2014-02-01,66093.0,A T & T INC,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,732717,AT&T,2014-04-01,66093.0,A T & T INC,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,732717,AT&T,2014-06-11,66093.0,A T & T INC,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,732717,ATT-Breach Notification,2014-08-05,66093.0,A T & T INC,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,732717,AT&T,2014-10-09,66093.0,A T & T INC,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,732717,ATT-Breach Notification,2014-10-16,66093.0,A T & T INC,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,732717,AT&T,2017-01-25,66093.0,A T & T INC,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,732717,Cricket Wireless LLC,2018-08-17,66093.0,A T & T INC,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,732717,Cricket Wireless LLC,2018-08-21,66093.0,A T & T INC,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
ncusip_name_mismatch,732717,"AT&T, Inc.",2019-01-01,66093.0,A T & T INC,,,"ncusip link accepted; CRSP name matches neither the org string nor the EDGAR name, and no upstream parent or successor relationship is documented in final_evidence",,False
