group,n,zeros,min,p10,p25,p50,p75,p90,p95,max,mean,sd
treated,102,41,0.0,0.0,0.0,22.0,84.25,214.00000000000023,342.7499999999997,1917.0,100.0,254.4
control,231,75,0.0,0.0,0.0,24.0,76.0,199.0,311.5,961.0,71.0,125.0
