,permno,rdq,dv,pre,ann_elev,year
count,4860.0,4860,4860.0,4860.0,4860.0,4860.0
mean,50952.32880658436,2016-03-23 16:17:11.111110912,-0.009987694630049478,1.322590759419492,0.7742835231003493,2015.7493827160495
min,10104.0,2006-04-28 00:00:00,-13.37571364565837,0.24632101242067117,-15.03956634630796,2006.0
25%,17144.0,2011-08-15 00:00:00,-0.28815698642466336,0.7899216922957081,0.05584153277299514,2011.0
50%,52695.0,2016-07-26 00:00:00,-0.019973808783981306,1.065790007165842,0.517077465689187,2016.0
75%,81677.0,2020-11-20 06:00:00,0.23958954902533086,1.551516945321473,1.1768959315514957,2020.0
max,91937.0,2024-12-03 00:00:00,9.569591412748734,23.387330489524352,25.728621548264577,2024.0
std,29864.759909988992,,0.7658708389077095,0.9832935836552564,1.3819209051177002,5.366784572832533
