label,coef,se,t,df,p,n,n_treated,treated_orgs,treated_parent_ciks,mde80,note
quartile Q1 (smallest),-1.00044229006714,0.3162342702566747,-3.1636112343394056,78.0,0.0022214756441967715,86,2,1,1,0.8855,FEWER THAN 5 TREATED PARENT CIKs (1) — do not interpret bare
quartile Q2,0.3216116786212514,0.32245639463578146,0.9973803713352183,72.0,0.3219201592655626,81,14,8,4,0.9029,FEWER THAN 5 TREATED PARENT CIKs (4) — do not interpret bare
quartile Q3,0.7032898103653862,0.31105595864730406,2.2609752065956177,75.0,0.026660755828664704,84,29,13,4,0.871,FEWER THAN 5 TREATED PARENT CIKs (4) — do not interpret bare
quartile Q4 (largest),0.30083292247711574,0.182099068000899,1.6520288971255501,73.0,0.10282401960756661,82,57,18,5,0.5099,
