spec,coef,se,ci_lo,ci_hi,n,n_treated
"H3 common-support (controls in treated size range; CHANGE OF ESTIMAND, N=327)",0.0784,0.1824,-0.2849,0.4417,326,102
H4 drop-overlaps sensitivity,-0.0906,0.215,-0.5185,0.3373,167,55
