label,coef,se,t,df,p,n,clusters
classical OLS,0.186274392533712,0.14068777415157235,1.3240268648576823,324.0,0.18642743843492746,333,
HC1,0.186274392533712,0.13262115645822506,1.4045601584871372,324.0,0.16111003821404854,333,
HC3,0.186274392533712,0.1345727700326075,1.3841908172699202,324.0,0.16725269026836914,333,
firm-clustered,0.186274392533712,0.19940598255874176,0.9341464591155815,81.0,0.35300480602043416,333,82
industry-clustered (N=333),0.186274392533712,0.16506953780208583,1.1284601327051043,24.0,0.270280182233821,333,25
