label,coef,se,t,df,p,n
"canonical DV, HC3 (N=333)",3.6239390348087914,1.7893425015997857,2.025290871685415,324.0,0.043657030853310234,333
"canonical DV, firm-clustered",3.6239390348087914,2.254745616599062,1.6072496197043054,80.0,0.11193959064140528,333
