label,coef,se,t,df,p,n
"MAIN EFFECT (M4, HC3)",0.14858851351619973,0.1320541534014395,1.1252089365526914,322.0,0.2613385138773812,331
MAIN EFFECT (untrimmed delay),0.1498880137539077,0.13260632125667926,1.1303232932898963,322.0,0.2591812567710488,331
delay (winsorized p99),8.822195325664312e-06,0.00030218284656349483,0.02919489119251045,322.0,0.9767272419064271,331
delay (untrimmed),-4.6832253855868335e-05,0.00018381981220399945,-0.25477261288840214,322.0,0.7990613652767516,331
