outcome,coef,se,ci90_lo,ci90_hi,sesoi,tost_p,equivalence_ci,mde80,mde_over_sesoi,n,verdict
volatility (daily pp),0.1575151652272258,0.19709052889637757,-0.17046802811647316,0.48549835857092477,0.2742,0.2777,0.48549835857092477,0.5589883096580873,2.04,333,INCONCLUSIVE
CPQS (fraction),4.7543364447497885e-05,3.3373190264956846e-05,-7.993781738366209e-06,0.00010308051063336198,6.620762711864408e-05,0.2888,0.00010308051063336198,9.465306790015336e-05,1.43,333,INCONCLUSIVE
EDGE (fraction),0.002125336932398361,0.002913872868910605,-0.0027237105276413645,0.0069743843924380865,6.620762711864408e-05,0.7591,0.0069743843924380865,0.008264328472157434,124.82,333,INCONCLUSIVE
log-OCAM,-0.06759410719531864,0.0919406624583948,-0.22059482336414973,0.08540660897351246,0.0953,0.382,0.22059482336414973,0.2607621775853252,2.74,333,INCONCLUSIVE
