sample,outcome,coef,se,ci_lo,ci_hi,n,n_treated,treated_orgs,treated_parents,mde80
"ITT (entity-level, all treated events)",e2_vol_change,0.1863,0.1994,-0.2105,0.583,333,104,36,12,0.5655
STRICT intent scope (HACK/INSD/CARD; DISC & PHYS/PORT/STAT dropped),e2_vol_change,0.1791,0.2229,-0.2643,0.6226,314,85,32,12,0.632
LENIENT intent scope (+ PHYS/PORT/STAT; DISC dropped),e2_vol_change,0.1739,0.2004,-0.2247,0.5726,331,102,35,12,0.5682
STRICT intent scope (HACK/INSD/CARD; DISC & PHYS/PORT/STAT dropped),cpqs_chg,0.0,0.0,-0.0,0.0001,312,83,31,11,0.0001
STRICT intent scope (HACK/INSD/CARD; DISC & PHYS/PORT/STAT dropped),edge_chg,0.0007,0.0021,-0.0035,0.005,312,83,31,11,0.0061
STRICT intent scope (HACK/INSD/CARD; DISC & PHYS/PORT/STAT dropped),ocam_chg,-0.027,0.0724,-0.171,0.117,312,83,31,11,0.2052
LENIENT intent scope (+ PHYS/PORT/STAT; DISC dropped),cpqs_chg,0.0001,0.0001,-0.0,0.0002,329,100,34,11,0.0002
LENIENT intent scope (+ PHYS/PORT/STAT; DISC dropped),edge_chg,0.0019,0.0024,-0.0029,0.0066,329,100,34,11,0.0067
LENIENT intent scope (+ PHYS/PORT/STAT; DISC dropped),ocam_chg,-0.046,0.068,-0.1813,0.0893,329,100,34,11,0.1928
