spec,coef,se,ci_lo,ci_hi,n,n_treated
"S3 split-sample IV (pre-vol instrumented by [-120,-60])",-0.0747,0.1767,-0.4263,0.277,331,102
S3 no pre-vol control (covariate movement visible),-0.0906,0.1494,-0.388,0.2069,331,102
