label,coef,se,t,df,p,n,r2
year FE,0.10533876527998187,0.144972114345251,0.7266139819766833,305.0,0.46801974034605887,331,0.4377
industry FE (2-digit SIC),0.3648905526277386,0.17734586187907947,2.0575081299417834,298.0,0.040507175352166774,331,0.3776
year + industry FE,0.13790778233751522,0.18351835776745798,0.7514658697647164,281.0,0.4530012331098986,331,0.508
