spec,coef,se,ci_lo,ci_hi,n,n_treated
"S1 PRIMARY: abnormal vol, mkt-vol control, year FE, two-way",0.084,0.1916,-0.2974,0.4653,329,102
S1 excl. 2008-09 & 2020,0.0549,0.1948,-0.3331,0.4428,303,88
"raw-vol robustness row (Dai et al., Financial Review)",0.0027,0.1903,-0.3762,0.3815,329,102
"Query-2 headline (raw log-ret DV, CV1 firm) for continuity",0.1486,0.2021,-0.2535,0.5507,331,102
"S2 baseline [-120,-60]",0.0622,0.2015,-0.3388,0.4632,329,102
"S2 baseline [-250,-50]",0.0778,0.2106,-0.3414,0.4971,326,101
