coef,procedure,se,ci_lo,ci_hi,p,bias
0.1863,HC3 (heteroskedasticity-only),0.1346,-0.0785,0.451,0.1673,"ignores within-parent correlation -> SE too SMALL, p too small"
0.1863,"CV1 cluster (parent CIK), t(81)",0.1994,-0.2105,0.583,0.353,downward-biased SE with few/unbalanced treated clusters
0.1863,"CV3 jackknife, t(81)",0.2379,-0.287,0.6596,0.4359,conservative; MNW-recommended corroborating interval
0.1863,"WCR wild cluster bootstrap (restricted, Rademacher, B=99,999)",,-0.2377,0.6021,0.3942,under-rejects with very few treated clusters (G1=12 is safe)
0.1863,"WCU wild cluster bootstrap (unrestricted, B=99,999)",,,,0.5415,over-rejects with few treated clusters — opposite failure mode
0.1863,"WCR, Webb six-point weights (B=9,999)",,,,0.3964,"robustness row; 2^G limit is on total G=82, not G1"
