cik,car_30d,fcc_reportable,firm_size_log,leverage,roa,immediate_disclosure,prior_breaches_1yr,health_breach,n_breaches,org_name
4904,-0.6106,False,10.4883588374995,0.7191162922494408,0.006911970880095901,0.0,0.5,0.0,2,American Electric Power
5272,1.3704500000000002,False,10.645971799597692,0.8864335042128454,0.0012485261019522325,0.0,0.1,0.0,20,"ADF International, Inc."
8670,-0.2057,False,10.35920375713223,0.8366516208861656,0.0120175370895501,0.0,0.0,0.0,1,"Automatic Data Processing, Inc."
12927,3.8354,False,11.30887093345375,0.9758291174817312,0.0256211354693648,0.0,0.0,0.0,1,The Boeing Company
18926,-7.56035,True,9.38336738585813,0.7930270966186572,0.0073173029095522,0.0,0.0,0.5,2,CenturyLink Communications
19617,2.0210166666666667,False,12.832999944752395,0.9219088923270129,0.0029943514209128503,0.0,0.0,0.0,6,Evening Telegram Company d/b/a Morgan Murphy Media
20520,3.864383333333333,True,8.665843185941382,0.7373087188883939,0.002033691642279664,0.3333333333333333,5.333333333333333,0.0,6,Frontier Communications
21344,1.6991,False,12.12794011646994,0.7682618297206321,0.0146652087219399,0.0,0.0,0.0,1,Coca-Cola Bottling Company of Northern New England
27904,8.60714,False,10.437457145182409,0.7864034582759908,0.0202185393825757,0.0,0.2,0.2,5,"Delta Air Lines, Inc."
33185,-2.3294,False,9.038611038987929,0.4843498755479196,0.0168946452565034,0.0,0.0,0.0,1,"Equifax, Inc."
40533,1.3904,False,11.01250927457451,0.728403211038477,0.0181206481698358,0.0,0.0,0.0,1,General Dynamics Information Technology
40704,7.3026,False,10.72858888252624,0.6519905359530912,0.0263604567431334,0.0,0.0,0.0,1,"General Mills, Inc."
47111,-6.7908,False,10.44132887900276,0.7047540607833285,0.03564176463287435,0.0,0.0,0.0,2,Hershey Entertainment & Resorts Company
47217,-0.9775,False,10.28501427551953,1.068305560138591,0.0289831160974536,0.0,0.0,0.0,1,"HBP, Inc."
51143,-0.07845000000000002,False,12.043668257339764,0.7611205738156077,0.029818141553573797,0.5,0.0,0.0,2,IBM
51434,-3.434,False,9.43450899772203,0.6470909932270413,0.0072357073745319,0.0,0.0,0.0,1,International Paper Company
68505,8.936350000000001,False,9.784187966943911,0.5958999355398614,0.01231317848567935,0.5,0.0,0.0,2,Motorola Mobility Inc.
70858,0.5046,False,12.561424916027228,0.904667108783366,0.00225577986473475,0.0,0.0,0.125,8,"Herbalife International of America, Inc."
73309,16.001,False,10.56634089363835,0.3819503516517663,0.0352455577197943,0.0,0.0,0.0,1,Nucor Corporation
75362,-6.7996,False,10.12686883558991,0.6565515652596821,0.0251363042977449,0.0,0.0,0.0,1,PACCAR
76334,0.9093,False,10.61818635354107,0.6084798380029894,0.0173070676107561,0.0,0.0,0.0,1,Parker-Hannifin Corporation
77476,3.9731,False,12.22907602729514,0.8541509718246195,0.0198562173098861,0.0,0.0,0.0,1,"PepsiCo, Inc."
78003,-2.0926,False,12.2282656498719,0.3579960399686881,0.0309619192337799,0.0,0.0,0.0,1,Pfizer Inc
79282,-3.753875,False,9.517203819098434,0.5820099359535679,0.015295144498161087,0.0,0.125,0.125,8,"Brown Construction Services, Inc."
91419,0.1318,False,8.875658726888684,0.3366302792403302,0.0171504736036717,0.0,0.0,0.0,1,The J.M. Smucker Company
91440,0.6593333333333333,False,9.350776295870414,0.3781084959391689,0.0330931846087844,0.0,0.6666666666666666,0.0,3,Snap-on Incorporated
92380,-6.192233333333333,False,10.241347798239614,0.6445137474952757,0.02814713308806183,0.0,0.3333333333333333,0.0,3,Southwest Airlines Co.
93751,-18.732,False,10.1182766628912,0.8903438852197677,0.0022248305099591,0.0,0.0,0.0,1,EatStreet
96021,-7.3989,False,10.56579466958976,0.933450462848874,0.0063935583414688,0.0,0.0,0.0,1,Sysco Corporation
100517,5.0195,False,8.95843960983517,0.9872169660890826,-0.0164770915275858,0.0,0.0,0.0,1,United Airlines
101829,5.6412,False,11.54718905581182,0.5614092327770356,-0.0060575094032983,0.0,0.0,0.0,1,Xerox Corporation
200406,1.21675,False,12.868187443424834,0.5885604563538032,0.0241303074592032,0.0,0.0,0.2,10,Christensen Oâ€™Connor Johnson Kindness PLLC
277135,8.6494,False,9.250998151093826,0.684709396181874,0.016704706219727,0.0,0.0,0.0,2,W.W. Grainger Inc.
277948,-3.7267333333333332,False,10.410523933970877,0.6818481384514273,0.016745170046479668,0.3333333333333333,0.6666666666666666,0.0,3,CSX Transportation
