firm,cik,n_fcc,coef,se,pvalue,significant
CenturyLink Communications,18926,125,-2.0037981576806727,1.0990218888388288,0.06826464016074106,False
Frontier Communications,20520,121,-2.5476090110265717,1.1382128547801174,0.025204522582700617,True
Verizon,732712,114,-2.513765159547693,1.1085038279886126,0.023346891049403965,True
AT&T,732717,97,-2.2862273804474875,1.2531312306909286,0.06808984226243223,False
Boost Mobile,1001082,121,-0.4880261205085631,0.7563270093676504,0.5187599479870053,False
Charter Communication,1091667,119,-2.3629507648761505,1.1209867281295596,0.03503787744482577,True
Comcast,1166691,113,-2.1626009110051996,1.1364177732968683,0.0570407876879738,False
Sprint,1283699,81,-2.367428954310325,1.427355918812809,0.09719410114489925,False
"Cable One, Inc.",1632127,125,-2.1982379503274996,1.0989561790917661,0.04546828113410299,True
