firm_id,firm_name,n_controls,n_breaches_pre,n_breaches_post,fcc_car_pre,fcc_car_post,control_car_pre,control_car_post,mean_gap,mean_gap_pre,mean_gap_post,rmse_pre,treatment_effect,outcome
1702780,Altice USA,144,0,3,-27.907466666666664,-27.907466666666664,2.6092000000000004,0.01848213627992631,2.5907178637200743,-30.516666666666666,-27.92594880294659,30.516666666666666,2.5907178637200743,car_30d
732717,AT&T,144,0,30,-1.14516,-1.14516,2.6092000000000004,0.01848213627992631,2.5907178637200743,-3.75436,-1.1636421362799263,3.75436,2.5907178637200743,car_30d
1001082,Boost Mobile,144,0,6,-26.44588333333333,-26.44588333333333,2.6092000000000004,0.01848213627992631,2.5907178637200743,-29.055083333333332,-26.464365469613256,29.055083333333332,2.5907178637200743,car_30d
1632127,"Cable One, Inc.",144,0,2,1.51295,1.51295,2.6092000000000004,0.01848213627992631,2.5907178637200743,-1.0962500000000004,1.4944678637200737,1.0962500000000004,2.5907178637200743,car_30d
18926,CenturyLink,144,0,2,-7.56035,-7.56035,2.6092000000000004,0.01848213627992631,2.5907178637200743,-10.169550000000001,-7.578832136279926,10.169550000000001,2.5907178637200743,car_30d
1091667,Charter Communication,144,0,8,2.0051125,2.0051125,2.6092000000000004,0.01848213627992631,2.5907178637200743,-0.6040875000000003,1.9866303637200737,0.6040875000000003,2.5907178637200743,car_30d
1166691,Comcast,144,0,14,-1.1641785714285713,-1.1641785714285713,2.6092000000000004,0.01848213627992631,2.5907178637200743,-3.7733785714285717,-1.1826607077084976,3.7733785714285717,2.5907178637200743,car_30d
20520,Frontier Communications,144,0,6,3.864383333333333,3.864383333333333,2.6092000000000004,0.01848213627992631,2.5907178637200743,1.2551833333333327,3.845901197053407,1.2551833333333327,2.5907178637200743,car_30d
1283699,Sprint,144,0,46,-1.5896347826086956,-1.5896347826086956,2.6092000000000004,0.01848213627992631,2.5907178637200743,-4.198834782608696,-1.608116918888622,4.198834782608696,2.5907178637200743,car_30d
732712,Verizon,144,0,13,2.2022769230769237,2.2022769230769237,2.6092000000000004,0.01848213627992631,2.5907178637200743,-0.4069230769230767,2.1837947867969976,0.4069230769230767,2.5907178637200743,car_30d
