Statistic,Value
N_firms,6.0
Mean_effect,0.7169020423690527
Std_dev,2.0088726014673166
SE,0.8201188053087253
T_stat,0.8741441334212332
P_value_ttest,0.4220330409280262
CI_lower_95,-0.8905308160360487
CI_upper_95,2.3243349007741543
P_value_permutation,0.4028
Boot_CI_lower_95,-0.7024854555862269
Boot_CI_upper_95,2.204562562882238
