group,n,mean_rate_py,sd,median,p75,max,share_zero,mean_count
treated,107,0.9861,0.8855,0.6636,1.3273,3.9818,0.2523,1.486
control,231,0.9366,1.0054,0.6636,1.3273,3.9818,0.3463,1.411
