y,n,G,G1,coef,se_hc3,p_hc3,se_cv1,p_cv1,se_cv3,p_cv3,ci_cv3_lo,ci_cv3_hi,mde80_cv3,treated_mean,control_mean,p_wcr,B_wcr,ci_wcr_lo,ci_wcr_hi,G_star,cluster_size_cv,window
exec_departure_30_rd,338,81,12,0.0168,0.0232,0.4703,0.0196,0.395,0.0329,0.6118,-0.0487,0.0823,0.0934,0.0374,0.0433,0.4924,99999,-0.0336,0.0621,23.6,2.267,30
exec_departure_90_rd,338,81,12,-0.0169,0.0473,0.7212,0.0575,0.7698,0.1029,0.8701,-0.2217,0.1879,0.2918,0.1121,0.1602,0.8154,99999,-0.1517,0.127,23.6,2.267,90
exec_departure_180_rd,338,81,12,0.0434,0.0668,0.5158,0.0841,0.607,0.1144,0.7052,-0.1842,0.2711,0.3245,0.3178,0.2511,0.6474,99999,-0.1563,0.2352,23.6,2.267,180
