accession,cik,status,bytes
0001193125-16-789834,75362,already_on_disk,10953
0001193125-17-148456,75362,already_on_disk,31699
0001193125-17-369333,75362,already_on_disk,14552
0001193125-18-048187,75362,already_on_disk,13732
0001193125-18-152947,75362,already_on_disk,39707
0000076334-20-000124,76334,already_on_disk,68306
0000076334-21-000006,76334,already_on_disk,31603
0000076334-21-000013,76334,already_on_disk,32832
0000076334-21-000048,76334,already_on_disk,32482
0001193125-21-246081,76334,already_on_disk,27006
0001193125-21-247770,76334,already_on_disk,22450
0001193125-21-247766,76334,already_on_disk,22417
0001193125-22-204998,76334,already_on_disk,22717
0001193125-22-227588,76334,already_on_disk,31167
0001193125-22-269129,76334,already_on_disk,35384
0000077476-19-000020,77476,already_on_disk,23092
0000077476-19-000022,77476,already_on_disk,21587
0000077476-19-000051,77476,already_on_disk,53330
0000077476-20-000020,77476,already_on_disk,58074
0000077476-20-000054,77476,already_on_disk,65671
0000077476-20-000075,77476,already_on_disk,64201
0000077476-21-000044,77476,already_on_disk,62747
0000078003-05-000040,78003,already_on_disk,11895
0000078003-05-000041,78003,already_on_disk,4630
0000078003-05-000161,78003,already_on_disk,5494
0000078003-06-000195,78003,already_on_disk,12082
0000078003-06-000275,78003,already_on_disk,5864
0000078003-06-000352,78003,already_on_disk,19871
0000078003-07-000034,78003,already_on_disk,9689
0000078003-07-000122,78003,already_on_disk,6174
0000078003-07-000213,78003,already_on_disk,16267
0000078003-07-000245,78003,already_on_disk,6152
0000078003-07-000251,78003,already_on_disk,5480
0000078003-07-000294,78003,already_on_disk,8112
0001144204-08-036232,91419,already_on_disk,3807
0001299933-09-000511,91419,already_on_disk,11249
0000950152-09-003994,91419,already_on_disk,9837
0000950123-09-015107,91419,already_on_disk,10307
0000950123-09-020588,91419,already_on_disk,14687
0000950123-10-079634,91419,already_on_disk,24116
0001193125-21-116417,91440,already_on_disk,22830
0000091440-21-000014,91440,already_on_disk,72330
0001193125-15-388118,92380,already_on_disk,11146
0001193125-16-447087,92380,already_on_disk,14574
0001193125-17-008419,92380,already_on_disk,13586
0001193125-17-183437,92380,already_on_disk,12821
0001193125-17-220944,92380,already_on_disk,18752
0001193125-21-203381,96021,already_on_disk,37297
0001193125-21-236388,96021,already_on_disk,49064
0001193125-21-252868,96021,already_on_disk,28105
0001193125-21-338587,96021,already_on_disk,57314
0001193125-21-362516,96021,already_on_disk,33044
0001193125-22-058196,96021,already_on_disk,25340
0001193125-22-139528,96021,already_on_disk,24314
0001193125-22-212634,96021,already_on_disk,37260
0001193125-22-247448,96021,already_on_disk,27308
0001193125-22-305398,96021,already_on_disk,32126
0000096021-23-000042,96021,already_on_disk,38558
0000096021-23-000091,96021,already_on_disk,37041
0000096021-23-000120,96021,already_on_disk,29116
0000096021-23-000144,96021,already_on_disk,22890
0000096021-23-000165,96021,already_on_disk,22267
0000096021-23-000186,96021,already_on_disk,25977
0000096021-23-000190,96021,already_on_disk,29698
0000101830-07-000008,101830,already_on_disk,3409
0000101830-07-000011,101830,already_on_disk,3909
0000101830-07-000032,101830,already_on_disk,4121
0000101830-07-000036,101830,already_on_disk,5774
0000101830-07-000039,101830,already_on_disk,3951
0000101830-07-000042,101830,already_on_disk,11336
0000101830-08-000002,101830,already_on_disk,4811
0000101830-08-000006,101830,already_on_disk,4609
0000101830-08-000008,101830,already_on_disk,4471
0000101830-08-000013,101830,already_on_disk,6312
0000101830-08-000016,101830,already_on_disk,3343
0000101830-08-000018,101830,already_on_disk,3630
0000101830-08-000020,101830,already_on_disk,3683
0000101830-08-000022,101830,already_on_disk,12046
0001193125-08-098764,101830,already_on_disk,27078
0000101830-08-000024,101830,already_on_disk,5033
0000101830-08-000026,101830,already_on_disk,4148
0000101830-08-000028,101830,already_on_disk,4946
0000101830-08-000030,101830,already_on_disk,4885
0000101830-08-000031,101830,already_on_disk,3638
0000950123-08-016627,101830,already_on_disk,11978
0001193125-08-257043,101830,already_on_disk,20764
0001193125-08-260916,101830,already_on_disk,21185
0000101830-09-000002,101830,already_on_disk,9626
0000101830-09-000005,101830,already_on_disk,6764
0000101830-09-000007,101830,already_on_disk,3433
0000101830-09-000013,101830,already_on_disk,4280
0000101830-09-000014,101830,already_on_disk,3538
0000101830-09-000016,101830,already_on_disk,4438
0000101830-09-000020,101830,already_on_disk,5681
0000101830-10-000001,101830,already_on_disk,8233
0000101830-10-000003,101830,already_on_disk,4048
0000101830-10-000002,101830,already_on_disk,7312
0000101830-10-000013,101830,already_on_disk,33738
0000101830-10-000015,101830,already_on_disk,38192
0000101830-10-000017,101830,already_on_disk,42139
0000101830-10-000024,101830,already_on_disk,62006
0000101830-11-000012,101830,already_on_disk,27459
0000101830-11-000011,101830,already_on_disk,27316
0000101830-11-000010,101830,already_on_disk,38803
0000101830-11-000014,101830,already_on_disk,35685
0000101830-11-000032,101830,already_on_disk,26172
0000101830-11-000030,101830,already_on_disk,27547
0000101830-12-000009,101830,already_on_disk,30740
0000101830-12-000028,101830,already_on_disk,28103
0000101830-12-000026,101830,already_on_disk,29846
0000101830-12-000024,101830,already_on_disk,49080
0000101830-12-000046,101830,already_on_disk,31813
0000101830-12-000091,101830,fetched,27565
0000101830-12-000093,101830,already_on_disk,27873
0000101830-12-000110,101830,already_on_disk,45042
0000101830-13-000041,101830,already_on_disk,23729
0001193125-13-364138,101830,already_on_disk,16926
0001193125-13-372972,101830,already_on_disk,12870
0001193125-13-372950,101830,already_on_disk,26107
0000101830-13-000053,101830,already_on_disk,20308
0000101830-14-000002,101830,already_on_disk,26427
0000101830-14-000019,101830,already_on_disk,21334
0000101830-14-000015,101830,already_on_disk,21083
0000101830-14-000021,101830,already_on_disk,15236
0000101830-14-000049,101830,already_on_disk,28672
0001193125-14-297076,101830,already_on_disk,36664
0000101830-14-000066,101830,already_on_disk,16740
0000101830-14-000064,101830,already_on_disk,18439
0000101830-14-000079,101830,already_on_disk,28370
0000101830-14-000081,101830,already_on_disk,26589
0001193125-15-275046,101830,already_on_disk,26392
0000101830-15-000025,101830,already_on_disk,26240
0000101830-15-000024,101830,already_on_disk,52731
0000101830-15-000030,101830,already_on_disk,16026
0000101830-15-000043,101830,already_on_disk,22704
0000101830-16-000056,101830,already_on_disk,14807
0000101830-16-000063,101830,already_on_disk,14662
0000101830-16-000070,101830,already_on_disk,15067
0000101830-16-000092,101830,already_on_disk,55896
0000101830-16-000094,101830,already_on_disk,28779
0000101830-16-000096,101830,already_on_disk,22980
0000101830-17-000003,101830,already_on_disk,48057
0000101830-18-000003,101830,already_on_disk,94994
0000101830-18-000005,101830,already_on_disk,24949
0000101830-18-000021,101830,already_on_disk,25531
0000101830-18-000027,101830,already_on_disk,27635
0000101830-18-000029,101830,already_on_disk,62535
0000101830-18-000057,101830,already_on_disk,24680
0000101830-19-000017,101830,already_on_disk,38320
0001193125-20-093630,101830,already_on_disk,112114
0001104659-16-137921,277135,already_on_disk,30135
0000277135-16-000057,277135,already_on_disk,20362
0000277135-17-000020,277135,already_on_disk,23017
0000277135-17-000023,277135,already_on_disk,24752
0000277135-17-000028,277135,already_on_disk,24242
0000277135-17-000044,277135,already_on_disk,24830
0001104659-18-021832,277135,already_on_disk,32114
0001193125-19-165112,315293,already_on_disk,18994
0001193125-19-181180,315293,already_on_disk,57835
0001193125-20-045455,315293,already_on_disk,24860
0001193125-20-093512,315293,already_on_disk,86174
0001193125-20-120011,315293,already_on_disk,48642
0001193125-20-178023,315293,already_on_disk,91300
0001193125-20-282544,315293,already_on_disk,45323
0001193125-21-022598,315293,already_on_disk,39811
0001193125-21-206409,315293,already_on_disk,36286
0001193125-21-223710,315293,already_on_disk,46700
0001193125-19-272011,318154,already_on_disk,39628
0001193125-20-197806,318154,already_on_disk,28320
0001193125-20-197795,318154,already_on_disk,29832
0001193125-21-229599,318154,already_on_disk,33447
0001193125-22-211269,318154,already_on_disk,30975
0001193125-23-203033,318154,already_on_disk,25338
0001193125-23-295027,318154,already_on_disk,29595
0001193125-24-153221,318154,already_on_disk,59479
0001181431-09-003017,320193,already_on_disk,12411
0001181431-09-037492,320193,already_on_disk,10337
0001193125-10-044765,320193,already_on_disk,39415
0001181431-10-016054,320193,already_on_disk,11069
0001181431-10-056327,320193,already_on_disk,14717
0001181431-11-047179,320193,already_on_disk,12068
0001181431-11-056354,320193,already_on_disk,11413
0001181431-12-032458,320193,already_on_disk,12382
0001181431-12-038301,320193,already_on_disk,10402
0001193125-13-267629,320193,already_on_disk,62767
0001181431-13-041847,320193,already_on_disk,10441
0001193125-14-084697,320193,already_on_disk,57926
0001181431-14-021923,320193,already_on_disk,12461
0001193125-14-271698,320193,already_on_disk,13322
0001193125-15-336615,320193,already_on_disk,12051
0001193125-15-406279,320193,already_on_disk,11752
0001193125-16-488223,320193,already_on_disk,44265
0001193125-17-308859,320193,already_on_disk,12263
0000320193-19-000026,320193,already_on_disk,25919
0000320193-19-000093,320193,already_on_disk,62875
0001193125-21-001982,320193,already_on_disk,41180
0001193125-16-442035,354190,already_on_disk,12864
0001193125-17-171866,354190,already_on_disk,37584
0000354950-12-000027,354950,already_on_disk,23887
0000354950-12-000032,354950,already_on_disk,18541
0000354950-13-000005,354950,already_on_disk,27290
0000354950-13-000017,354950,already_on_disk,79612
0000354950-13-000037,354950,already_on_disk,23611
0000354950-14-000006,354950,already_on_disk,24776
0000354950-14-000030,354950,already_on_disk,28933
0000723254-19-000015,723254,already_on_disk,30951
0000723254-19-000019,723254,already_on_disk,29775
0000723254-21-000012,723254,already_on_disk,32463
0001193125-06-248715,732712,already_on_disk,10048
0001193125-06-251425,732712,already_on_disk,12065
0001193125-06-256227,732712,already_on_disk,11123
0001193125-07-020398,732712,already_on_disk,13186
0001193125-07-132583,732712,already_on_disk,15164
0001193125-07-199004,732712,already_on_disk,11039
0001193125-07-261097,732712,already_on_disk,11583
0001193125-08-204660,732712,already_on_disk,12332
0001193125-12-493313,732712,already_on_disk,12052
0001193125-13-043053,732712,already_on_disk,12223
0001193125-13-253564,732712,already_on_disk,13081
0001193125-13-357857,732712,already_on_disk,11930
0001193125-13-357855,732712,already_on_disk,11481
0001193125-13-432495,732712,already_on_disk,11515
0001193125-14-045399,732712,already_on_disk,13424
0001193125-14-331837,732712,already_on_disk,11669
0001193125-14-436511,732712,already_on_disk,10095
0001193125-15-010064,732712,already_on_disk,9769
0001193125-15-035447,732712,already_on_disk,10816
0001193125-15-051424,732712,already_on_disk,12468
0001193125-15-185255,732712,already_on_disk,23494
0001193125-15-311636,732712,already_on_disk,10320
0001193125-15-367882,732712,already_on_disk,10500
0001193125-15-394003,732712,already_on_disk,11352
0001193125-15-400066,732712,already_on_disk,10276
0001193125-16-610887,732712,already_on_disk,10166
0001193125-16-617604,732712,already_on_disk,11287
0001193125-16-699639,732712,already_on_disk,12413
0001193125-16-798875,732712,already_on_disk,12203
0001193125-17-088316,732712,already_on_disk,12559
0001193125-17-165255,732712,already_on_disk,34619
0001193125-17-303383,732712,already_on_disk,12161
0001193125-18-073362,732712,already_on_disk,14346
0001193125-18-187324,732712,already_on_disk,21136
0001193125-18-268028,732712,already_on_disk,13797
0001193125-18-292824,732712,already_on_disk,12127
0001193125-19-031481,732712,already_on_disk,15180
0001193125-19-031476,732712,already_on_disk,17826
0001193125-19-142992,732712,already_on_disk,20847
0001193125-19-307167,732712,already_on_disk,69410
0001193125-20-025340,732712,already_on_disk,64380
0001193125-20-072475,732712,already_on_disk,65130
0001193125-21-160418,732712,already_on_disk,67841
0001193125-21-199523,732712,already_on_disk,67466
0001193125-21-245801,732712,already_on_disk,73417
0001193125-21-262922,732712,already_on_disk,74027
0001193125-21-323046,732712,already_on_disk,73499
0001193125-21-346654,732712,already_on_disk,71638
0001193125-21-346650,732712,already_on_disk,71803
0001193125-22-151826,732712,already_on_disk,73238
0001193125-22-168378,732712,already_on_disk,72515
0001193125-22-230055,732712,already_on_disk,69057
0001193125-22-230053,732712,already_on_disk,68123
0001193125-22-278771,732712,already_on_disk,72494
0001193125-23-058988,732712,already_on_disk,74447
0001193125-24-013874,732712,already_on_disk,72254
0001193125-24-022476,732712,already_on_disk,73186
0001193125-24-146021,732712,already_on_disk,73091
0001193125-24-170544,732712,already_on_disk,73260
0000950123-06-015733,732717,already_on_disk,18925
0000732717-07-000007,732717,already_on_disk,12773
0000732717-07-000028,732717,already_on_disk,14314
0000732717-07-000038,732717,already_on_disk,15851
0000732717-07-000084,732717,already_on_disk,18459
0000732717-07-000089,732717,already_on_disk,24603
0000732717-08-000070,732717,already_on_disk,21144
0000732717-10-000011,732717,already_on_disk,21694
0000732717-10-000051,732717,already_on_disk,30089
0000732717-10-000082,732717,already_on_disk,23578
0000732717-10-000097,732717,already_on_disk,21664
0000732717-11-000016,732717,already_on_disk,24200
0000732717-11-000033,732717,already_on_disk,33274
0000732717-11-000107,732717,already_on_disk,30400
0000732717-12-000063,732717,already_on_disk,22248
0000732717-13-000012,732717,already_on_disk,21549
0000732717-13-000058,732717,already_on_disk,21408
0000732717-13-000077,732717,already_on_disk,19783
0000732717-13-000090,732717,already_on_disk,19930
0000732717-13-000101,732717,already_on_disk,21994
0000732717-14-000094,732717,already_on_disk,25946
0000732717-14-000126,732717,already_on_disk,23068
0000732717-14-000138,732717,already_on_disk,30717
0000732717-15-000056,732717,already_on_disk,21995
0000732717-15-000073,732717,already_on_disk,20185
0000732717-15-000089,732717,already_on_disk,24883
0000732717-16-000186,732717,already_on_disk,15426
0000732717-16-000251,732717,already_on_disk,15013
0000732717-16-000257,732717,already_on_disk,17993
0000732717-17-000084,732717,already_on_disk,20076
0000732717-18-000005,732717,already_on_disk,23499
0000732717-18-000050,732717,already_on_disk,20133
0000732717-19-000034,732717,already_on_disk,51220
0001193125-19-233801,732717,already_on_disk,88277
0001193125-19-236682,732717,already_on_disk,90084
0001193125-19-239966,732717,already_on_disk,83278
0000732717-19-000054,732717,already_on_disk,102341
0001193125-19-316283,732717,already_on_disk,91603
0001193125-20-123202,732717,already_on_disk,158267
0000732717-20-000020,732717,already_on_disk,141202
0001193125-20-296128,732717,already_on_disk,82400
0001193125-21-015737,732717,already_on_disk,90646
0001193125-21-100281,732717,already_on_disk,83702
0001193125-21-199754,732717,already_on_disk,81651
0000732717-21-000088,732717,already_on_disk,133443
0001193125-22-076137,732717,already_on_disk,91313
0000732717-22-000073,732717,already_on_disk,50381
0000732717-22-000091,732717,already_on_disk,130927
0001193125-23-022845,732717,already_on_disk,82394
0000732717-24-000012,732717,already_on_disk,75883
0000950117-04-004470,764180,already_on_disk,12840
0001193125-05-040688,764180,already_on_disk,12506
0001193125-05-040686,764180,already_on_disk,11889
0001193125-07-019313,764180,already_on_disk,27500
0000930413-19-002021,773840,already_on_disk,18611
0000773840-19-000018,773840,already_on_disk,47983
0000930413-19-002643,773840,already_on_disk,24647
0000930413-19-002693,773840,already_on_disk,20282
0000773840-19-000029,773840,already_on_disk,51407
0000773840-20-000011,773840,already_on_disk,49948
0000773840-20-000031,773840,already_on_disk,57089
0001193125-21-215278,773840,already_on_disk,33234
0000773840-22-000003,773840,already_on_disk,47238
0001193125-22-011376,773840,already_on_disk,33102
0001193125-22-204108,773840,already_on_disk,36814
0000773840-22-000058,773840,already_on_disk,48724
0001193125-22-248396,773840,already_on_disk,32593
0000773840-22-000062,773840,already_on_disk,45911
0001193125-22-269566,773840,already_on_disk,31082
0001193125-23-069598,773840,already_on_disk,42788
0000773840-23-000063,773840,already_on_disk,48864
