accession,cik,filing_date,form,items,text_ok,section_found,section_chars,ref_dates,labels,exec_departure,ceo_departure,director_departure,appointment,election,compensation,notice_date,effective_date,previously_phrase,flag_retirement,flag_health,flag_transaction,flag_termination,flag_severance_release,flag_no_disagreement,action
0001193125-18-281219,18926,2018-09-24,8-K,"5.02,9.01",1,1,1105,2018-09-21;2018-09-28,c,1,0,0,1,0,0,2018-09-21,2018-09-28,0,0,0,0,0,0,0,departure
0001193125-18-319718,18926,2018-11-07,8-K,5.02,1,1,1246,2017-06-01;2018-11-06,e,1,0,0,0,0,1,,immediately,0,0,0,0,1,0,0,departure
0001193125-18-319714,18926,2018-11-07,8-K,"5.02,9.01",1,1,1743,2018-09-28,c,0,0,0,1,0,1,,,1,0,0,0,0,0,0,appointment
0001193125-19-325996,18926,2019-12-30,8-K,"5.02,9.01",1,1,1682,2019-12-28;2019-12-30,"b,d",0,0,1,0,1,1,,,0,1,0,0,0,0,0,departure
0001193125-20-150103,18926,2020-05-22,8-K,"5.02,5.07,9.01",1,1,1590,,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001193125-21-011905,18926,2021-01-20,8-K,"5.02,9.01",1,1,1999,2021-01-18;2021-05-14,"b,c",1,0,0,0,0,1,,,0,1,0,1,0,0,0,departure
0001193125-21-056971,18926,2021-02-25,8-K,"5.02,9.01",1,1,1487,2021-02-25,d,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001193125-22-085992,18926,2022-03-28,8-K,"5.02,9.01",1,1,3092,2022-03-28;2022-03-31;2022-04-04,e,1,0,0,0,0,1,2022-03-28,2022-04-04,0,0,0,0,0,0,0,departure
0001193125-22-243230,18926,2022-09-13,8-K,"5.02,9.01",1,1,5057,2022-09-12;2022-09-13;2022-11-07;2022-12-31,,1,1,0,0,0,1,2022-09-13,2022-11-07,0,1,0,0,0,0,0,departure
0001193125-20-050127,20520,2020-02-26,8-K,5.02,1,1,3277,3019-12-03,,1,1,0,0,0,1,,,1,0,0,0,1,0,0,departure
0001140361-20-020249,20520,2020-09-11,8-K,5.02,1,1,1250,2019-08-07;2019-09-18,c,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001140361-20-028400,20520,2020-12-15,8-K,"5.02,9.01",1,1,8216,2020-12-07;2020-12-15;2021-03-01,,1,1,0,1,1,1,,,0,0,0,0,0,0,0,departure
0001140361-21-005386,20520,2021-02-18,8-K,"5.02,7.01,9.01",1,1,2173,2019-12-03;2020-12-15;2021-02-18,,1,1,0,1,1,1,,,0,0,0,0,1,0,0,departure
0001140361-21-015200,20520,2021-04-30,8-K12G3,"1.01,1.02,2.03,3.02,3.03,5.01,5.02,5.03,9.01",1,1,16294,2020-12-31;2021-03-03,,0,0,0,1,0,1,,,0,0,0,0,0,0,0,appointment
0001193125-21-179930,20520,2021-06-02,8-K,"5.02,9.01",1,1,6917,2019-08-05;2021-05-25;2021-06-02;2021-06-14,,1,0,0,0,0,1,2021-06-02,2021-06-14,0,0,0,1,0,0,1,departure
0001193125-21-205666,20520,2021-07-01,8-K,"5.02,9.01",1,1,1910,,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0000020520-21-000008,20520,2021-07-30,8-K,"5.02,8.01,9.01",1,1,356,2021-05-12,,1,0,0,0,0,0,,,0,0,0,0,0,0,0,departure
0001140361-22-023997,20520,2022-06-24,8-K,5.02,1,1,1237,,,0,0,0,1,0,1,,,0,0,0,0,0,0,0,appointment
0000950157-24-000104,20520,2024-02-05,8-K,"5.02,7.01,9.01",1,1,2221,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001140361-24-026861,20520,2024-05-20,8-K,"5.02,5.07,9.01",1,1,2599,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001019687-16-005064,27904,2016-02-05,8-K,"5.02,9.01",1,1,2660,2015-04-30;2016-02-03;2016-05-02,,1,1,0,0,1,1,2016-02-03,2016-05-02,0,1,0,0,0,0,0,departure
0001019687-16-006642,27904,2016-06-10,8-K,"5.02,5.07",1,1,998,,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001683168-16-000288,27904,2016-10-11,8-K,"5.02,9.01",1,1,468,2016-10-10,,1,0,0,1,0,0,2016-10-10,,0,1,0,0,0,0,0,departure
0001683168-17-000167,27904,2017-01-26,8-K,"5.02,9.01",1,1,691,,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001683168-17-000876,27904,2017-04-11,8-K,5.02,1,1,309,,b,0,0,1,0,0,0,,2017-04-07,0,0,0,0,0,0,0,departure
0001683168-17-002723,27904,2017-10-23,8-K,"5.02,9.01",1,1,521,,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001683168-18-001046,27904,2018-04-20,8-K,"5.02,9.01",1,1,506,,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001144204-12-009385,33185,2012-02-15,8-K,"5.02,9.01",1,1,3042,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001144204-12-058285,33185,2012-10-29,8-K,"5.02,8.01,9.01",1,1,802,2012-10-29;2012-12-31,,1,0,0,0,0,0,2012-10-29,2012-12-31,0,1,0,0,0,0,0,departure
0001144204-13-027066,33185,2013-05-08,8-K,"5.02,5.07,9.01",1,0,6205,2013-03-20,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001144204-13-055259,33185,2013-10-15,8-K,"5.02,9.01",1,1,929,2013-10-15;2013-11-01,d,0,0,0,0,1,0,,,0,0,0,0,0,0,0,election
0001144204-14-029598,33185,2014-05-12,8-K,"5.02,9.01",1,1,2331,2014-05-12;2014-05-21,,1,0,0,0,0,1,2014-05-12,2014-05-21,0,1,0,0,0,0,0,departure
0001193125-16-713479,33185,2016-09-19,8-K,"5.02,9.01",1,1,1720,,d,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001193125-16-771552,33185,2016-11-18,8-K,"5.02,9.01",1,1,1668,,d,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001193125-17-293765,33185,2017-09-26,8-K,"5.02,9.01",1,1,1530,2017-09-25;2017-09-26,,1,1,0,0,1,1,2017-09-26,,0,1,0,0,0,0,0,departure
0001193125-17-301130,33185,2017-10-02,8-K,"5.02,8.01,9.01",1,1,2059,,,0,0,0,1,0,1,,,0,0,0,0,0,0,0,appointment
0001193125-17-320321,33185,2017-10-26,8-K,"5.02,9.01",1,1,1700,,d,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001564590-21-037515,40704,2021-07-22,8-K,"5.02,9.01",1,1,268,2021-07-16,,0,0,1,0,0,0,2021-07-16,,0,0,0,0,0,0,0,departure
0001193125-21-350290,40704,2021-12-07,8-K,5.02,1,1,196,2021-12-07;2022-01-31,,1,0,0,0,0,0,2021-12-07,2022-01-31,0,1,0,0,0,0,0,departure
