accession,cik,filing_date,form,items,text_ok,section_found,section_chars,ref_dates,labels,exec_departure,ceo_departure,director_departure,appointment,election,compensation,notice_date,effective_date,previously_phrase,flag_retirement,flag_health,flag_transaction,flag_termination,flag_severance_release,flag_no_disagreement,action
0000078003-06-000352,78003,2006-12-21,8-K,"5.02,9.01",1,1,11191,2001-01-01;2003-01-01;2004-01-01;2005-01-01;2006-02-24;2006-03-16;2006-07-28;2006-07-31;2006-12-13;2006-12-18;2007-03-15,,1,1,0,0,0,1,2006-07-28,2006-07-31,1,1,0,0,1,1,0,departure
0000078003-07-000034,78003,2007-02-27,8-K,"5.02,9.01",1,1,3732,2007-02-21;2007-02-22;2007-03-31;2007-04-26,,0,0,1,0,0,1,2007-02-21,,0,0,1,0,0,0,0,departure
0000078003-07-000122,78003,2007-05-23,8-K,5.02,1,1,1318,,,1,0,0,0,0,1,,,0,1,0,0,0,1,0,departure
0000078003-07-000213,78003,2007-08-22,8-K,"5.02,9.01",1,1,8032,2007-03-15;2007-08-22,,0,0,0,1,0,1,,,0,0,0,0,0,0,0,appointment
0000078003-07-000245,78003,2007-09-27,8-K,"5.02,9.01",1,1,525,2007-09-27,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000078003-07-000251,78003,2007-09-28,8-K,5.02,1,1,617,2007-08-22,,0,0,0,0,0,1,,,1,0,0,0,0,0,0,compensation only
0000078003-07-000294,78003,2007-10-30,8-K,"5.02,5.03,9.01",1,1,355,2007-10-25,,1,0,0,0,0,0,,,0,1,0,0,0,0,0,departure
0001144204-08-036232,91419,2008-06-23,8-K,5.02,1,1,753,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001299933-09-000511,91419,2009-01-30,8-K,"5.02,9.01",1,1,1214,2008-07-14;2009-01-26,,0,0,0,0,1,0,,,0,0,0,0,0,0,0,election
0000950152-09-003994,91419,2009-04-22,8-K,5.02,1,1,386,2009-04-20;2009-06-30,b,1,0,0,0,0,0,2009-04-20,2009-06-30,0,1,0,0,0,0,0,departure
0000950123-09-015107,91419,2009-06-18,8-K,5.02,1,1,753,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000950123-09-020588,91419,2009-07-08,8-K,"5.02,9.01",1,1,646,2009-06-30;2009-07-07,,1,0,0,0,0,0,,2009-06-30,0,1,0,0,1,0,0,departure
0000950123-10-079634,91419,2010-08-20,8-K,"5.02,5.07,9.01",1,1,2085,,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001193125-21-116417,91440,2021-04-14,8-K,5.02,1,1,1484,2021-04-09;2021-06-30,,1,0,0,0,1,1,2021-04-09,,0,1,0,0,0,0,0,departure
0000091440-21-000014,91440,2021-04-30,8-K,"5.02,5.07,9.01",1,1,1867,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001193125-15-388118,92380,2015-11-25,8-K,5.02,1,1,205,,b,0,0,1,0,0,0,,immediately,0,0,0,0,0,0,0,departure
0001193125-16-447087,92380,2016-02-02,8-K,5.02,1,1,2434,,d,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001193125-17-008419,92380,2017-01-12,8-K,5.02,1,1,1653,,,1,1,0,1,0,0,,,0,0,0,0,0,0,0,departure
0001193125-17-183437,92380,2017-05-25,8-K,5.02,1,1,658,2017-05-22;2017-06-30;2017-07-01,,1,0,0,1,0,0,2017-05-22,2017-06-30,0,0,0,0,0,0,0,departure
0001193125-17-220944,92380,2017-07-03,8-K,"5.02,9.01",1,1,2087,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,other
0001193125-21-203381,96021,2021-06-29,8-K,5.02,1,1,6400,2020-02-01;2020-02-12;2020-07-31;2021-06-23,,0,0,0,1,0,1,,,0,0,0,0,0,0,0,appointment
0001193125-21-236388,96021,2021-08-04,8-K,5.02,1,1,11192,,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001193125-21-252868,96021,2021-08-20,8-K,"5.02,9.01",1,1,413,2021-08-20,,0,0,1,0,0,0,,,0,0,0,0,0,0,0,departure
0001193125-21-338587,96021,2021-11-23,8-K,"5.02,5.07",1,1,4620,,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001193125-21-362516,96021,2021-12-20,8-K,"5.02,9.01",1,1,1713,2021-12-17,d,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001193125-22-058196,96021,2022-02-28,8-K,5.02,1,1,1212,2022-02-24;2022-02-28;2022-04-04,,0,0,1,0,0,1,2022-02-24,,0,0,0,0,0,0,1,departure
0001193125-22-139528,96021,2022-05-04,8-K,5.02,1,1,754,,,1,0,0,0,0,0,,2022-05-03,0,0,0,0,1,0,0,departure
0001193125-22-212634,96021,2022-08-04,8-K,5.02,1,1,6267,,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001193125-22-247448,96021,2022-09-20,8-K,5.02,1,1,2095,2022-09-20;2022-11-18,,0,0,1,1,1,1,2022-09-20,,0,1,0,0,0,0,0,departure
0001193125-22-305398,96021,2022-12-15,8-K,"5.02,7.01,9.01",1,1,1287,,,1,0,0,0,1,0,,2023-01-06,0,0,0,1,0,0,0,departure
0000096021-23-000042,96021,2023-03-28,8-K,"5.02,7.01,9.01",1,1,3854,2023-07-01,,1,0,0,1,0,1,,,0,0,0,0,0,0,0,departure
0000096021-23-000091,96021,2023-08-04,8-K,5.02,1,1,5923,,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000096021-23-000120,96021,2023-08-29,8-K,5.02,1,1,3425,2023-08-23;2023-09-01,,0,0,0,1,0,1,,,0,0,0,0,0,0,0,appointment
0000096021-23-000144,96021,2023-09-08,8-K,5.02,1,1,794,2023-09-07;2023-10-02,,1,0,1,0,0,0,2023-09-07,2023-10-02,0,1,0,0,0,0,0,departure
0000096021-23-000165,96021,2023-09-22,8-K,5.02,1,1,653,2023-09-22;2023-11-17,,0,0,1,0,0,0,2023-09-22,,0,1,0,0,0,0,0,departure
0000096021-23-000186,96021,2023-10-10,8-K/A,5.02,1,1,1748,2023-09-08;2023-10-02;2023-10-05;2024-10-01,,1,0,0,0,0,1,,2023-10-02,0,1,1,0,1,0,0,departure
0000096021-23-000190,96021,2023-10-17,8-K,5.02,1,1,4011,2023-09-29,,0,0,0,1,0,1,,,0,0,0,0,0,0,0,appointment
0000101830-07-000008,101830,2007-02-21,8-K/A,5.02,1,1,2073,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,other
0000101830-07-000011,101830,2007-03-06,8-K,"5.02,9.01",1,1,256,,,0,0,1,0,0,0,,,0,0,0,0,0,0,0,departure
0000101830-07-000032,101830,2007-08-07,8-K,"5.02,9.01",1,1,456,2007-08-07,,0,0,0,0,1,0,,,0,0,0,0,0,0,0,election
0000101830-07-000036,101830,2007-10-12,8-K,"5.02,7.01,9.01",1,1,1288,2007-10-08;2008-01-01,,1,1,0,1,0,1,2007-10-08,2007-10-08,0,0,0,0,1,1,0,departure
0000101830-07-000039,101830,2007-11-05,8-K/A,5.02,1,1,751,2007-08-07,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-07-000042,101830,2007-12-20,8-K,"5.02,9.01",1,1,6939,2007-12-17;2007-12-18,a,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0000101830-08-000002,101830,2008-01-04,8-K,5.02,1,1,1487,2007-12-31;2008-06-30;2008-12-31,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-08-000006,101830,2008-01-24,8-K,"5.02,8.01,9.01",1,1,856,2008-01-25,,1,0,0,1,0,0,2008-01-25,2008-01-25,0,0,0,1,0,0,0,departure
0000101830-08-000008,101830,2008-02-13,8-K,"5.02,9.01",1,1,904,2008-02-12,"b,d",0,0,1,0,1,1,,,0,0,0,0,0,0,0,departure
0000101830-08-000013,101830,2008-02-15,8-K,"1.01,5.02",1,1,439,,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-08-000016,101830,2008-02-28,8-K/A,5.02,1,1,248,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,other
0000101830-08-000018,101830,2008-03-03,8-K,5.02,1,1,565,2008-02-27;2008-05-13,b,0,0,0,0,0,0,,,0,0,0,0,0,0,0,other
0000101830-08-000020,101830,2008-03-17,8-K,5.02,1,1,520,2008-03-11;2008-03-14;2008-05-13,b,0,0,0,0,0,0,,,0,0,0,0,0,0,0,other
0000101830-08-000022,101830,2008-03-25,8-K,5.02,1,1,8849,2007-12-31,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001193125-08-098764,101830,2008-05-01,8-K,"5.02,9.01",1,1,6655,2008-05-01;2008-12-31;2009-05-01;2009-12-31,"a,c",0,0,0,1,0,1,,,0,0,0,0,0,0,0,appointment
0000101830-08-000024,101830,2008-05-16,8-K,5.02,1,1,1891,2008-05-12,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-08-000026,101830,2008-06-09,8-K,"5.02,9.01",1,1,425,2008-06-09,d,0,0,0,0,1,0,,,0,0,0,0,0,0,0,election
0000101830-08-000028,101830,2008-10-07,8-K,5.02,1,1,1789,2008-10-02;2008-10-07,"b,c",1,0,0,1,0,1,2008-10-02,2008-10-02,0,0,0,0,0,0,0,departure
0000101830-08-000030,101830,2008-10-24,8-K,"5.02,9.01",1,1,1014,2008-10-22;2008-10-23;2008-10-24,"b,d",0,0,1,0,1,0,,2008-10-23,0,0,0,0,0,0,0,departure
0000101830-08-000031,101830,2008-11-12,8-K/A,5.02,1,1,412,2008-10-24,d,0,0,0,0,0,0,,,0,0,0,0,0,0,0,other
0000950123-08-016627,101830,2008-11-28,8-K,"5.02,7.01,9.01",1,1,271,,b,1,0,0,0,0,0,,,0,0,0,0,0,0,0,departure
0001193125-08-257043,101830,2008-12-19,8-K,"5.02,9.01",1,1,2081,2008-12-31,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001193125-08-260916,101830,2008-12-29,8-K,"5.02,9.01",1,1,3078,,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-09-000002,101830,2009-01-26,8-K,"2.05,5.02,9.01",1,1,4799,2009-01-23;2009-03-31,"b,e",0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-09-000005,101830,2009-03-03,8-K,"5.02,9.01",1,1,3004,2009-03-03,"b,c,d,e",1,0,0,1,1,1,,2009-03-03,0,0,0,0,0,0,0,departure
0000101830-09-000007,101830,2009-03-27,8-K,5.02,1,1,360,2009-03-23;2009-05-12,b,0,0,0,0,0,0,,,0,0,0,0,0,0,0,other
0000101830-09-000013,101830,2009-08-05,8-K/A,5.02,1,1,980,2009-01-26,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-09-000014,101830,2009-10-16,8-K,5.02,1,1,352,2009-10-13;2009-11-04,b,1,0,0,0,0,0,2009-10-13,2009-11-04,0,0,0,0,0,0,0,departure
0000101830-09-000016,101830,2009-11-06,8-K,5.02,1,1,1258,2009-11-06,c,0,0,0,1,0,1,,,0,0,0,0,0,0,0,appointment
0000101830-09-000020,101830,2009-12-23,8-K,5.02,1,1,1586,2009-12-22,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-10-000001,101830,2010-03-03,8-K,5.02,1,1,4750,2009-12-22;2012-05-01,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-10-000003,101830,2010-03-22,8-K/A,5.02,1,1,881,2009-01-26,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-10-000002,101830,2010-03-22,8-K,5.02,1,1,3943,,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-10-000013,101830,2010-07-08,8-K/A,5.02,1,1,1009,2010-03-03,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-10-000015,101830,2010-07-21,8-K,"5.02,7.01,9.01",1,1,224,2010-07-19;2010-08-23,,1,0,0,0,0,0,2010-07-19,2010-08-23,0,0,0,0,0,0,0,departure
0000101830-10-000017,101830,2010-08-06,8-K,5.02,1,1,1846,2010-08-05;2011-06-30,"a,e",0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-10-000024,101830,2010-12-21,8-K,"5.02,9.01",1,1,6212,2010-12-20;2010-12-21,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-11-000012,101830,2011-02-28,8-K/A,5.02,1,1,989,2009-01-26,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-11-000011,101830,2011-02-28,8-K/A,5.02,1,1,845,2010-03-22,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-11-000010,101830,2011-02-28,8-K,5.02,1,1,7176,,e,1,0,0,0,0,1,,,0,1,0,0,0,0,0,departure
0000101830-11-000014,101830,2011-04-04,8-K,"5.02,9.01",1,1,1165,2008-09-12;2010-12-21;2011-04-04,,1,0,0,1,0,0,,,1,0,0,0,0,0,0,departure
0000101830-11-000032,101830,2011-08-02,8-K,5.02,1,1,418,2011-08-01,e,0,0,0,1,0,1,,,0,0,0,0,0,0,0,appointment
0000101830-11-000030,101830,2011-08-02,8-K,5.02,1,1,999,2011-02-23,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-12-000009,101830,2012-02-13,8-K,5.02,1,1,2657,2011-10-04,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-12-000028,101830,2012-02-28,8-K/A,5.02,1,1,1219,2011-02-28,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-12-000026,101830,2012-02-28,8-K/A,5.02,1,1,1214,2011-02-28,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-12-000024,101830,2012-02-28,8-K,5.02,1,1,7097,,e,1,0,0,0,0,1,,,0,0,0,0,0,0,0,departure
0000101830-12-000046,101830,2012-05-04,8-K,5.02,1,1,264,2012-05-04,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-12-000091,101830,2012-08-08,8-K,5.02,1,1,209,,b,0,0,0,0,0,0,,,0,0,0,0,0,0,0,other
0000101830-12-000093,101830,2012-10-04,8-K/A,5.02,1,1,645,,b,0,0,0,0,0,0,,,0,0,0,0,0,0,0,other
0000101830-12-000110,101830,2012-11-20,8-K,"5.02,8.01,9.01",1,1,1018,2012-11-16;2012-11-18;2012-11-20,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-13-000041,101830,2013-09-06,8-K,"5.02,9.01",1,1,1267,2013-09-03,d,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001193125-13-364138,101830,2013-09-11,8-K,"5.02,9.01",1,1,1950,2013-09-10;2015-01-02;2016-02-27,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001193125-13-372972,101830,2013-09-20,8-K/A,5.02,1,1,1489,,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001193125-13-372950,101830,2013-09-20,8-K,"5.02,9.01",1,1,4882,2007-12-17;2008-12-31;2012-11-11;2013-09-18,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-13-000053,101830,2013-12-19,8-K,"5.02,5.08",1,1,1409,,,0,0,1,1,0,0,,,0,0,0,1,0,0,0,departure
0000101830-14-000002,101830,2014-01-16,8-K,"5.02,9.01",1,1,2900,2013-10-18;2014-01-16,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0000101830-14-000019,101830,2014-02-24,8-K/A,5.02,1,1,2332,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-14-000015,101830,2014-02-24,8-K,5.02,1,1,4037,2013-09-10;2014-04-01;2015-01-02;2015-03-31,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-14-000021,101830,2014-03-12,8-K,5.02,1,1,395,2013-09-10;2014-03-06;2015-01-02,,1,0,0,0,0,1,2013-09-10,,0,1,0,0,0,0,0,departure
0000101830-14-000049,101830,2014-08-04,8-K,5.02,1,1,1823,2012-11-16;2013-09-10;2014-07-31;2014-08-15;2014-08-16;2015-01-02,,1,0,0,0,0,1,2014-08-16,2014-08-16,0,1,0,0,0,0,0,departure
0001193125-14-297076,101830,2014-08-06,8-K,"5.02,9.01",1,1,11905,2009-02-09;2014-01-01;2014-08-05;2014-08-06;2014-08-11;2015-03-31;2016-08-18,,1,1,0,1,0,1,,2014-08-11,0,0,0,0,1,1,0,departure
0000101830-14-000066,101830,2014-10-09,8-K/A,5.02,1,1,695,2014-02-18;2014-10-03,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-14-000064,101830,2014-10-09,8-K,5.02,1,1,2671,,"b,e",0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-14-000079,101830,2014-11-07,8-K,"5.02,9.01",1,1,1584,,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0000101830-14-000081,101830,2014-11-12,8-K,"5.02,9.01",1,1,3092,2008-12-31;2010-12-20;2012-11-20;2013-11-11;2014-08-05;2014-08-11;2014-11-05;2014-11-10;2015-11-05,,1,0,0,0,0,1,,,0,0,0,0,1,1,0,departure
0001193125-15-275046,101830,2015-08-03,8-K,"5.02,9.01",1,1,8212,2015-06-01;2015-07-27;2015-08-03;2015-08-31;2019-05-31,,1,0,0,0,0,1,,,0,0,0,0,0,0,0,departure
0000101830-15-000025,101830,2015-08-11,8-K,"5.02,9.01",1,1,3050,2015-08-07,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-15-000024,101830,2015-08-11,8-K,"5.02,5.07",1,1,564,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-15-000030,101830,2015-10-15,8-K,5.02,1,1,245,2015-10-09;2015-11-06,,1,0,0,0,0,0,2015-10-09,2015-11-06,0,0,0,0,0,0,0,departure
0000101830-15-000043,101830,2015-11-12,8-K,"5.02,9.01",1,1,1466,2010-12-20;2012-11-20;2013-07-24;2013-11-11;2014-05-20;2014-11-14;2015-05-20;2015-10-31;2015-11-06;2015-12-09,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-16-000056,101830,2016-03-01,8-K,5.02,1,1,182,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,other
0000101830-16-000063,101830,2016-05-06,8-K,5.02,1,1,256,2016-05-03,,0,0,0,0,0,0,,,0,0,0,0,0,0,1,other
0000101830-16-000070,101830,2016-06-24,8-K,5.02,1,1,289,2016-06-22,,0,0,1,0,0,0,2016-06-22,immediately,0,0,0,0,0,0,1,departure
0000101830-16-000092,101830,2016-11-03,8-K,"5.02,5.07",1,1,629,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000101830-16-000094,101830,2016-12-01,8-K,"5.02,9.01",1,1,950,2016-12-01,d,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0000101830-16-000096,101830,2016-12-12,8-K/A,5.02,1,1,358,2016-12-01,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,other
0000101830-17-000003,101830,2017-01-24,8-K,"5.02,9.01",1,1,8538,2017-01-19;2017-01-24;2017-02-02,,0,0,0,1,0,1,,,0,0,0,0,0,0,0,appointment
0000101830-18-000003,101830,2018-01-04,8-K,5.02,1,1,12784,2015-05-31;2015-08-07;2017-04-01;2018-01-03;2018-01-04;2018-01-06;2018-03-31;2022-05-31,,1,0,0,1,1,1,,2018-01-06,0,0,0,0,0,0,0,departure
0000101830-18-000005,101830,2018-01-17,8-K,5.02,1,1,732,,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0000101830-18-000021,101830,2018-05-02,8-K,5.02,1,1,974,2018-05-01,,0,0,0,1,0,0,,,0,0,0,0,0,0,0,appointment
0000101830-18-000027,101830,2018-05-30,8-K,5.02,1,1,1366,,d,0,0,1,0,1,1,,2018-05-31,0,0,0,0,0,0,0,departure
0000101830-18-000029,101830,2018-07-02,8-K,"5.02,9.01",1,1,9101,2018-04-01;2018-05-31;2018-06-29;2018-07-02;2019-03-31,,1,1,0,1,0,1,,2018-05-31,1,0,0,0,0,0,0,departure
0000101830-18-000057,101830,2018-12-06,8-K,5.02,1,1,176,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,other
0000101830-19-000017,101830,2019-05-22,8-K,5.02,1,1,2657,2018-10-29,,0,0,0,1,0,1,,,0,0,0,0,0,0,0,appointment
0001193125-20-093630,101830,2020-04-01,8-K,"1.01,1.02,2.01,2.03,3.01,5.01,5.02,5.03,9.01",1,1,1529,,,1,0,0,0,0,0,,,0,0,0,0,0,0,0,departure
0001104659-16-137921,277135,2016-08-08,8-K,"5.02,5.03,9.01",1,1,2053,2015-08-01;2016-08-08;2016-10-01,,1,1,0,1,1,1,2016-08-08,2016-10-01,0,0,0,0,0,0,0,departure
0000277135-16-000057,277135,2016-10-03,8-K,5.02,1,1,705,,,1,0,0,0,0,0,,2016-10-01,0,0,0,0,0,0,0,departure
0000277135-17-000020,277135,2017-07-19,8-K,"2.02,5.02,9.01",1,1,165,2017-07-19,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,other
0000277135-17-000023,277135,2017-07-25,8-K,"5.02,9.01",1,1,2292,,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0000277135-17-000028,277135,2017-08-02,8-K,"5.02,9.01",1,1,863,2017-08-02;2017-10-01,,1,0,0,0,0,0,2017-08-02,2017-10-01,0,1,0,0,0,0,0,departure
0000277135-17-000044,277135,2017-12-13,8-K,"5.02,9.01",1,1,2298,,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001104659-18-021832,277135,2018-04-02,8-K,"5.02,9.01",1,1,4894,2010-12-31;2011-02-28;2018-04-02;2018-05-02;2018-08-31,,1,0,0,1,0,1,2018-04-02,2018-05-02,0,1,1,0,0,1,0,departure
0001193125-19-165112,315293,2019-06-04,8-K,"5.02,9.01",1,1,1407,2019-12-31;2020-12-31,,1,0,0,0,0,1,,2020-12-31,0,1,0,0,0,1,0,departure
0001193125-19-181180,315293,2019-06-25,8-K,"5.02,9.01",1,1,1100,2016-07-01;2019-06-25,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001193125-20-045455,315293,2020-02-24,8-K,5.02,1,1,371,2020-02-20,,1,0,0,1,0,0,2020-02-20,immediately,0,0,0,0,0,0,0,departure
0001193125-20-093512,315293,2020-04-01,8-K12B,"1.01,2.03,3.01,3.02,3.03,5.02,5.03,8.01,9.01",1,1,919,,,0,0,1,0,0,0,,,0,0,0,0,0,0,0,departure
0001193125-20-120011,315293,2020-04-27,8-K,"5.02,7.01,9.01",1,1,950,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001193125-20-178023,315293,2020-06-25,8-K,"5.02,5.07,9.01",1,1,1128,2016-07-01;2020-06-19,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001193125-20-282544,315293,2020-10-30,8-K,"1.01,5.02,9.01",1,1,1183,,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001193125-21-022598,315293,2021-01-29,8-K,5.02,1,1,1093,2021-01-25;2021-01-27,,1,0,0,1,0,0,2021-01-25,immediately,1,0,0,0,0,0,0,departure
0001193125-21-206409,315293,2021-07-01,8-K,5.02,1,1,1121,2021-06-25,,1,0,0,1,0,0,2021-06-25,,0,0,0,0,0,0,0,departure
0001193125-21-223710,315293,2021-07-26,8-K,"1.01,1.02,5.02,7.01,9.01",1,1,1521,2007-10-03;2012-03-27;2015-01-16;2015-02-20;2018-04-19;2018-04-20;2018-05-15;2021-07-26;2023-04-01;2026-04-01,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001193125-19-272011,318154,2019-10-23,8-K,"5.02,9.01",1,1,4882,2019-10-22;2020-01-01,"b,c",1,0,0,1,0,1,,,0,1,0,0,0,0,0,departure
0001193125-20-197806,318154,2020-07-23,8-K,5.02,1,1,1598,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001193125-20-197795,318154,2020-07-23,8-K,5.02,1,1,2704,,d,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001193125-21-229599,318154,2021-07-30,8-K,"5.02,9.01",1,1,2995,,d,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001193125-22-211269,318154,2022-08-03,8-K,"5.02,9.01",1,1,2362,,d,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001193125-23-203033,318154,2023-08-04,8-K,5.02,1,1,1994,,,1,0,0,0,0,1,,2023-08-14,0,0,0,0,0,0,0,departure
0001193125-23-295027,318154,2023-12-14,8-K,"5.02,9.01",1,1,1411,2023-12-14,,0,0,0,1,0,0,,,0,0,0,0,0,0,0,appointment
0001193125-24-153221,318154,2024-06-03,8-K,"5.02,5.07",1,1,1511,,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001181431-09-003017,320193,2009-01-16,8-K,5.02,1,1,1508,2009-01-09;2009-01-14;2009-01-16,c,0,0,0,0,0,0,,,0,0,0,0,0,0,0,other
0001181431-09-037492,320193,2009-08-04,8-K,5.02,1,1,96,,b,0,0,1,0,0,0,,2009-07-31,0,0,0,0,0,0,0,departure
0001193125-10-044765,320193,2010-03-01,8-K,"5.02,5.07,9.01",1,1,2337,2010-02-25;2019-11-09,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001181431-10-016054,320193,2010-03-12,8-K,5.02,1,1,743,,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001181431-10-056327,320193,2010-11-17,8-K,"5.02,5.03,9.01",1,1,1196,,d,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001181431-11-047179,320193,2011-08-26,8-K,5.02,1,1,1573,2011-01-07,e,1,1,0,1,1,1,,,0,0,0,0,0,0,0,departure
0001181431-11-056354,320193,2011-11-16,8-K,5.02,1,1,1160,,d,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001181431-12-032458,320193,2012-05-24,8-K,5.02,1,1,2139,2012-03-19,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001181431-12-038301,320193,2012-06-28,8-K,5.02,1,1,152,,b,1,0,0,0,0,0,,2012-10-19,0,1,0,0,0,0,0,departure
0001193125-13-267629,320193,2013-06-21,8-K,5.02,1,1,8332,,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001181431-13-041847,320193,2013-07-30,8-K,5.02,1,1,181,,,1,0,0,0,0,0,,2013-07-25,0,0,0,0,0,0,0,departure
0001193125-14-084697,320193,2014-03-05,8-K,"5.02,5.03,5.07,9.01",1,1,3744,2013-11-11;2014-03-04,,1,0,0,0,0,1,2014-03-04,,0,1,0,0,0,0,0,departure
0001181431-14-021923,320193,2014-05-30,8-K,5.02,1,1,3396,2013-03-30;2013-04-24;2014-05-29,e,1,0,0,1,0,1,,,1,1,0,0,0,0,0,departure
0001193125-14-271698,320193,2014-07-17,8-K,5.02,1,1,1251,,d,0,0,1,0,0,1,,,0,1,0,0,0,0,0,departure
0001193125-15-336615,320193,2015-10-02,8-K,5.02,1,1,1032,,d,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001193125-15-406279,320193,2015-12-17,8-K,5.02,1,1,501,,d,0,0,0,1,0,0,,,0,0,0,0,0,0,0,appointment
0001193125-16-488223,320193,2016-03-01,8-K,"5.02,5.07,9.01",1,1,797,,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
