final_cik,breach_date,reported_date,fcc_form499,exec_departure_30_rd,ceo_departure_30_rd,director_departure_30_rd,any_502_30_rd,exec_departure_nopre_30_rd,exec_departure_90_rd,ceo_departure_90_rd,director_departure_90_rd,any_502_90_rd,exec_departure_nopre_90_rd,exec_departure_180_rd,ceo_departure_180_rd,director_departure_180_rd,any_502_180_rd,exec_departure_nopre_180_rd,days_to_first_exec_departure_rd,placebo_exec_departure_rd,baseline_exec_departures_rd,baseline_exec_rate_py_rd,exec_departure_30_bd,ceo_departure_30_bd,director_departure_30_bd,any_502_30_bd,exec_departure_nopre_30_bd,exec_departure_90_bd,ceo_departure_90_bd,director_departure_90_bd,any_502_90_bd,exec_departure_nopre_90_bd,exec_departure_180_bd,ceo_departure_180_bd,director_departure_180_bd,any_502_180_bd,exec_departure_nopre_180_bd,days_to_first_exec_departure_bd,placebo_exec_departure_bd,baseline_exec_departures_bd,baseline_exec_rate_py_bd
47217,2007-08-16,2007-08-16 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,4,2.6545,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,4,2.6545
47217,2008-12-04,2008-12-04 00:00:00,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,,0,2,1.3273,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,,0,2,1.3273
47217,2008-12-08,2008-12-08 00:00:00,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,,0,2,1.3273,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,,0,2,1.3273
47217,2010-02-09,2010-02-09 00:00:00,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,178.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,178.0,0,0,0.0
51143,2007-02-23,2007-04-26 00:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0.0
51143,2011-04-14,2011-04-14 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0
73309,2023-05-26,2023-06-28 00:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,1,0.6636,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,1,0.6636
75362,2018-01-22,2018-02-14 00:00:00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,1,0.6636,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,1,0.6636
76334,2022-03-11,2022-05-12 00:00:00,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,77.0,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,139.0,0,1,0.6636
77476,2021-02-24,2022-10-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,1,0.6636
78003,2006-12-01,2007-08-24 00:00:00,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,67.0,1,2,1.3273,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,20.0,1,0,0.0
91419,2010-04-05,2010-04-29 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,2,1.3273,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,2,1.3273
91440,2022-03-01,2022-04-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636
92380,2017-10-01,2018-04-20 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1.3273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0.6636
92380,2018-03-01,2018-04-20 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1.3273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1.3273
96021,2023-01-14,2023-05-16 00:00:00,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,115.0,1,1,0.6636,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,73.0,1,1,0.6636
101830,2009-02-01,2009-06-12 00:00:00,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,126.0,1,4,2.6545,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,30.0,1,2,1.3273
101830,2012-08-01,2009-03-30 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,2,1.3273,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,1,2,1.3273
101830,2015-08-17,2020-04-09 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0.6636,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,59.0,1,4,2.6545
101830,2017-05-01,2017-09-20 00:00:00,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,106.0,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1.3273
101830,2017-05-07,2017-09-20 00:00:00,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,106.0,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1.3273
101830,2018-03-02,2018-03-30 00:00:00,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,94.0,1,0,0.0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,122.0,1,0,0.0
101830,2019-03-14,2019-05-09 00:00:00,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,2,1.3273,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,2,1.3273
101830,2019-05-09,2019-05-09 00:00:00,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,2,1.3273,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,2,1.3273
101830,2019-06-02,2019-07-11 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1.3273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1.3273
101830,2019-06-08,2019-06-08 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1.3273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1.3273
101830,2019-06-22,2019-07-11 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1.3273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1.3273
101830,2019-08-13,2020-03-31 00:00:00,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1.0,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1.3273
277135,2017-08-23,2017-09-18 00:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,1,2,1.3273,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,2,1.3273
277135,2017-09-26,2018-04-20 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,3,1.9909,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,1,2,1.3273
315293,2020-12-17,2021-05-21 00:00:00,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,41.0,1,2,1.3273,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,43.0,0,2,1.3273
318154,2021-04-21,2021-06-22 00:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,1,0.6636
318154,2023-08-16,2024-09-25 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,0,0.0
320193,2010-06-01,2010-06-09 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0.0
320193,2013-07-18,2013-07-21 00:00:00,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,9.0,0,2,1.3273,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,12.0,0,2,1.3273
320193,2014-08-31,2014-08-31 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0.6636
320193,2015-07-01,2015-08-25 00:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,2,1.3273,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,3,1.9909
320193,2015-09-18,2015-09-16 00:00:00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,2,1.3273,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,2,1.3273
320193,2019-02-02,2019-05-30 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,1,1,0.6636,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,4.0,0,1,0.6636
320193,2020-11-01,2020-11-01 00:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,1,0.6636,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,1,0.6636
354190,2017-06-01,2017-11-13 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0
354190,2017-06-18,2017-11-13 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0
354950,2014-02-10,2014-03-14 00:00:00,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,160.0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0
723254,2020-09-16,2021-02-18 00:00:00,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,67.0,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636
732712,2008-06-27,2008-06-27 00:00:00,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,96.0,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,96.0,0,1,0.6636
732712,2014-01-20,2014-02-25 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0
732712,2014-02-26,2014-02-26 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0
732712,2016-08-10,2017-07-20 00:00:00,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,76.0,0,2,1.3273,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,22.0,1,2,1.3273
732712,2017-07-20,2017-07-20 00:00:00,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,76.0,0,2,1.3273,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,76.0,0,2,1.3273
732712,2019-03-12,2019-10-07 00:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,,0,1,0.6636,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,2,1.3273
732712,2019-04-24,2019-05-31 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1.3273,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,2,1.3273
732712,2019-06-03,2019-06-03 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1.3273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1.3273
732712,2023-05-11,2023-05-11 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,4,2.6545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,4,2.6545
732712,2023-09-21,2024-02-05 00:00:00,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,108.0,0,4,2.6545,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,0,4,2.6545
732712,2024-02-06,2024-02-06 00:00:00,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,107.0,0,4,2.6545,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,107.0,0,4,2.6545
732717,2008-05-23,2008-05-23 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,2,1.3273,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,2,1.3273
732717,2012-01-01,2012-02-13 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,2,1.3273,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,2,1.3273
732717,2013-01-01,2015-04-21 00:00:00,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,121.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,2,1.3273
732717,2013-11-05,2014-06-11 00:00:00,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0
